Antibody,Primary_Review,Review_Sources,ADA_Rate,Verification_Status
Adalimumab,PMC7461797,PMC7461797,28%,review_confirmed
Alemtuzumab,PMC7461797,PMC7461797,67.1-75.4%,review_confirmed
Alirocumab,PMC7461797,PMC7461797,5.1%,review_confirmed
Atezolizumab,PMC7461797,PMC7461797,30-48%,review_confirmed
Avelumab,PMC7461797,PMC7461797,4.10%,review_confirmed
Basiliximab,PMC7461797,PMC7461797,1.17%,review_confirmed
Belimumab,PMC7461797,PMC7461797,0-4.8%,review_confirmed
Benralizumab,PMC7461797,PMC7461797,15.62%,review_confirmed
Bevacizumab,PMC7461797,PMC7461797,0%,review_confirmed
Bezlotoxumab,PMC7461797,PMC7461797,0%,review_confirmed
Brodalumab,PMC7461797,PMC7461797,2.70%,review_confirmed
Burosumab,PMC7461797,PMC7461797,0%,review_confirmed
Canakinumab,PMC7461797,PMC7461797,<1%,review_confirmed
Cemiplimab,PMC7461797,PMC7461797,1.30%,review_confirmed
Cetuximab,PMC7461797,PMC7461797,22.36%,review_confirmed
Crizanlizumab,PMC7461797,PMC7461797,0-1.6%,review_confirmed
Daratumumab,PMC7461797,PMC7461797,0.70%,review_confirmed
Denosumab,PMC7461797,PMC7461797,0%,review_confirmed
Dinutuximab,PMC7461797,PMC7461797,28%,review_confirmed
Durvalumab,PMC7461797,PMC7461797,2.90%,review_confirmed
Eculizumab,PMC7461797,PMC7461797,0%,review_confirmed
Elotuzumab,PMC7461797,PMC7461797,33.30%,review_confirmed
Emapalumab,PMC7461797,PMC7461797,5%,review_confirmed
Erenumab,PMC7461797,PMC7461797,8.90%,review_confirmed
Evolocumab,PMC7461797,PMC7461797,0.16%,review_confirmed
Dupilumab,PMC7461797,PMC7461797,2-6%,review_confirmed
Fremanezumab,PMC7461797,PMC7461797,0.4-1.6%,review_confirmed
Galcanezumab,PMC7461797,PMC7461797,12.50%,review_confirmed
Golimumab,PMC7461797,PMC7461797,31.70%,review_confirmed
Guselkumab,PMC7461797,PMC7461797,5.50%,review_confirmed
Ibalizumab,PMC7461797,PMC7461797,0.83%,review_confirmed
Infliximab,PMC7461797,PMC7461797,66.70%,review_confirmed
Ipilimumab,PMC7461797,PMC7461797,"26%, 1.1-5.4%",review_confirmed
Ixekizumab,PMC7461797,PMC7461797,9%,review_confirmed
Lanadelumab,PMC7461797,PMC7461797,12%,review_confirmed
Mepolizumab,PMC7461797,PMC7461797,3%,review_confirmed
Mogamulizumab,PMC7461797,PMC7461797,3.90%,review_confirmed
Natalizumab,PMC7461797,PMC7461797,8-9%,review_confirmed
Necitumumab,PMC7461797,PMC7461797,4.10%,review_confirmed
Nivolumab,PMC7461797,PMC7461797,"12.7%, 4.1-37.8%",review_confirmed
Obiltoxaximab,PMC7461797,PMC7461797,0%,review_confirmed
Obinutuzumab,PMC7461797,PMC7461797,7%,review_confirmed
Ocrelizumab,PMC7461797,PMC7461797,"0.9%, 0.2-0.5%",review_confirmed
Ofatumumab,PMC7461797,PMC7461797,<1%,review_confirmed
Olaratumab,PMC7461797,PMC7461797,3.50%,review_confirmed
Omalizumab,PMC7461797,PMC7461797,0%,review_confirmed
Palivizumab,PMC7461797,PMC7461797,1.80%,review_confirmed
Panitumumab,PMC7461797,PMC7461797,4.60%,review_confirmed
Pembrolizumab,PMC7461797,PMC7461797,1.80%,review_confirmed
Pertuzumab,PMC7461797,PMC7461797,0.60%,review_confirmed
Ramucirumab,PMC7461797,PMC7461797,3.80%,review_confirmed
Ravulizumab,PMC7461797,PMC7461797,>0.5%,review_confirmed
Raxibacumab,PMC7461797,PMC7461797,0%,review_confirmed
Reslizumab,PMC7461797,PMC7461797,"4.8-5.4%, 5%",review_confirmed
Risankizumab,PMC7461797,PMC7461797,24%,review_confirmed
Rituximab,PMC7461797,PMC7461797,"26-37%, 12.5%",review_confirmed
Romosozumab,PMC7461797,PMC7461797,18.10%,review_confirmed
Sarilumab,PMC7461797,PMC7461797,14-19.3%,review_confirmed
Secukinumab,PMC7461797,PMC7461797,0.41%,review_confirmed
Siltuximab,PMC7461797,PMC7461797,0.20%,review_confirmed
Tildrakizumab,PMC7461797,PMC7461797,"6.8-8.8%, 4.1-8.2%",review_confirmed
Tocilizumab,PMC7461797,PMC7461797,5%,review_confirmed
Trastuzumab,PMC7461797,PMC7461797,16.30%,review_confirmed
Ustekinumab,PMC7461797,PMC7461797,6.50%,review_confirmed
Vedolizumab,PMC7461797,PMC7461797,17%,review_confirmed
Tezepelumab,PMC10601343,"PMC10601343, PMC7461797",1.12%,review_confirmed
