antibody_name,ada_value_display,claimed_pcts,verified,matched_pcts,verified_source,verified_snippet
Adalimumab,30%,[30.0],True,[30.0],PMID41199323,pmc J Transl Med J Transl Med 214 transmed Journal of Translational Medicine 1479-5876 BMC PMC12590717 PMC12590717.1 12590717 12590717 41199323 10.1186/s12967-025-07352-y 7352 1 Research Immunogenicity of adalimumab in patients with noninfectious uveitis based on therapeutic drug monitoring Han Jing
Astegolimab,8.0%,[8.0],True,[8.0],PMC12574037,"pmc Respir Res Respir Res 80 rr Respiratory Research 1465-9921 1465-993X BMC PMC12574037 PMC12574037.1 12574037 12574037 41163220 10.1186/s12931-025-03360-0 3360 1 Review Safety and tolerability of astegolimab, an anti-ST2 monoclonal antibody: a narrative review Kelsen Steven G. steven.kelsen@temple"
Bimagrumab,4.0%,[4.0],False,[],,
Brentuximab,"7% (persistently positive antibodies), 30% (transiently positive antibodies)","[7.0, 30.0]",False,[],,
Brolucizumab,Pre-existing ADA: 36–52% in treatment-naïve patients (HAWK/HARRIER trials),[52.0],False,[],,
Budigalimab,1.80%,[1.8],False,[],,
Clazakizumab,1.00%,[1.0],True,[1.0],PMC11371354,pmc Kidney360 Kidney360 4060 kidney360 Kidney360 Kidney360 2641-7650 American Society of Nephrology PMC11371354 PMC11371354.1 11371354 11371354 38995690 10.34067/KID.0000000000000509 K360-2024-000181 1 3 Review New Therapies for Highly Sensitized Patients on the Waiting List https://orcid.org/0000-0
Daclizumab,≤12% (anti-daclizumab antibodies including neutralizing),[12.0],False,[],,
Ecromeximab,1.80%,[1.8],False,[],,
Elezanumab,2.0%,[2.0],False,[],,
Enfortumab,"1% transiently positive (4/365 patients), 0.3% persistently positive (1/365 patients)","[1.0, 0.3]",False,[],,
Enuzovimab,1.50%,[1.5],False,[],,
Eptinezumab,20.6% (Study 1); 18.3% (Study 2); 18% (open-label),"[20.6, 18.3, 18.0]",True,"[20.6, 18.3, 18.0]",PMC8446121,pmc Cureus Cureus 2757 cureus Cureus 2168-8184 Cureus Inc. PMC8446121 PMC8446121.1 8446121 8446121 34540516 10.7759/cureus.18032 1 Family/General Practice Neurology Pain Management A Review of Eptinezumab Use in Migraine Muacevic Alexander Adler John R Datta Abhigyan 1 Maryala Shashi 2 John Rebecca 
Erenumab,"6.3% (70mg dose), 2.6% (140mg dose)","[6.3, 2.6]",True,"[6.3, 2.6]",PMID33413094,J Headache Pain J Headache Pain 1613 headpain The Journal of Headache and Pain 1129-2369 1129-2377 BMC PMC7791637 PMC7791637.1 7791637 7791637 33413094 10.1186/s10194-020-01211-5 1211 1 Review Article Immunogenicity of biologic therapies for migraine: a review of current evidence Cohen Joshua M. Jos
Etaracizumab,5.0%,[5.0],False,[],,
Exidavnemab,7.00%,[7.0],False,[],,
Faricimab,~10%,[10.0],True,[10.0],PMC11563007,pmc Transl Vis Sci Technol Transl Vis Sci Technol 2165 tvst TVST Translational Vision Science & Technology 2164-2591 Association for Research in Vision and Ophthalmology PMC11563007 PMC11563007.1 11563007 11563007 39535744 10.1167/tvst.13.11.14 TVST-24-6914 1 Retina Retina Ocular Pharmacokinetics of
