canonical_id,display_name,in_root_ada_147,in_master_ada_158,in_panel_136,in_combined_db_146,in_batch2,in_batch3,in_negative_library,in_ph3_candidates,in_gap_list,ada_first_pct_panel,ada_first_pct_combined,ada_pct_consistent,thera_genetics_class,vh_germline,vl_germline,source_db_combined,curation_gap_fields,evidence_tier,anomalies
adalimumab,Adalimumab,True,True,True,True,False,False,False,False,False,30.0,30.0,True,fully_human,IGHV3-9*01,IGKV1-27*01,Master,,,
anifrolumab,Anifrolumab,True,True,True,True,False,False,False,False,False,5.1,5.1,True,fully_human,IGHV5-51*01,IGKV3-20*01,Master,,,
astegolimab,Astegolimab,True,True,True,True,False,False,False,False,False,8.0,8.0,True,fully_human,IGHV5-51*01,IGKV1-33*01,Master,,,
bezlotoxumab,Bezlotoxumab,True,True,True,False,False,False,False,False,False,,,,fully_human,IGHV5-51*01,IGKV3-20*01,,,,panel_136_missing_in_combined_db
brodalumab,Brodalumab,True,True,True,True,False,False,False,False,False,3.3,3.3,True,fully_human,IGHV1-18*01,IGKV3-15*01,Master,,,
burosumab,Burosumab,True,True,True,True,False,False,False,False,False,15.0,15.0,True,fully_human,IGHV1-46*01,IGKV1-13*02,Master,,,
canakinumab,Canakinumab,True,True,True,True,False,False,False,False,False,1.5,1.5,True,fully_human,IGHV3-33*01,IGKV6-21*01,Master,,,
cemiplimab,Cemiplimab,True,True,True,True,False,False,False,False,False,1.9,1.9,True,fully_human,IGHV3-23*01,IGKV1-39*01,Master,,,
cilgavimab,Cilgavimab,True,True,True,True,False,False,False,False,False,4.1,4.1,True,fully_human,IGHV3-15*01,IGKV4-1*01,Master,,,
denosumab,Denosumab,True,True,True,True,False,False,False,False,False,1.0,1.0,True,fully_human,IGHV3-23*01,IGKV3-20*01,Master,,,
durvalumab,Durvalumab,True,True,True,True,False,False,False,False,False,0.8,0.8,True,fully_human,IGHV3-7*01,IGKV3-20*01,Master,,,
efalizumab,Efalizumab,True,True,True,True,False,False,False,False,False,5.0,5.0,True,fully_human,IGHV3-23*04,IGKV1-9*03,Master,,,
enfortumab,Enfortumab,True,True,True,True,False,False,False,False,False,1.0,1.0,True,fully_human,IGHV3-48*02,IGKV1-12*01,Master,,,
erenumab,Erenumab,True,True,True,True,False,False,False,False,False,6.3,6.3,True,fully_human,IGHV3-30*03,IGKV3D-20*01,Master,,,
golimumab,Golimumab,True,True,True,True,False,False,False,False,False,4.6,4.6,True,fully_human,IGHV3-30*01,IGKV3-11*01,Master,,,
guselkumab,Guselkumab,True,True,True,True,False,False,False,False,False,14.7,14.7,True,fully_human,IGHV5-51*01,IGKV2/OR22-4*01,Master,,,
lanadelumab,Lanadelumab,True,True,True,True,False,False,False,False,False,12.0,12.0,True,fully_human,IGHV3-23*05,IGKV1-5*03,Master,,,
necitumumab,Necitumumab,True,True,True,True,False,False,False,False,False,4.1,4.1,True,fully_human,IGHV4-30-2*07,IGKV3-11*01,Master,,,
nirsevimab,Nirsevimab,True,True,True,True,False,False,False,False,False,5.0,5.0,True,fully_human,IGHV1-69*01,IGKV1-33*01,Master,,,
ofatumumab,Ofatumumab,True,True,True,True,False,False,False,False,False,0.22,0.22,True,fully_human,IGHV3-9*01,IGKV3-11*01,Master,,,
panitumumab,Panitumumab,True,True,True,True,False,False,False,False,False,1.8,1.8,True,fully_human,IGHV4-61*01,IGKV1-33*01,Master,,,
sarilumab,Sarilumab,True,True,True,True,False,False,False,False,False,4.0,4.0,True,fully_human,IGHV3-9*01,IGKV1-12*01,Master,,,
teprotumumab,Teprotumumab,True,True,True,True,False,False,False,False,False,2.3,2.3,True,fully_human,IGHV3-33*01,IGKV3-11*01,Master,,,
tisotumab,Tisotumab,True,True,True,True,False,False,False,False,False,5.7,5.7,True,fully_human,IGHV3-23*01,IGKV1D-16*01,Master,,,
tixagevimab,Tixagevimab,True,True,True,True,False,False,False,False,False,4.1,4.1,True,fully_human,IGHV1-58*01,IGKV3-20*01,Master,,,
tralokinumab,Tralokinumab,True,True,True,True,False,False,False,False,False,1.2,1.2,True,fully_human,IGHV1-18*01,IGKV1-13*01,Master,,,
ustekinumab,Ustekinumab,True,True,True,True,False,False,False,False,False,2.3,2.3,True,fully_human,IGHV5-51*01,IGKV1D-16*01,Master,,,
alemtuzumab,Alemtuzumab,True,True,True,True,False,False,False,False,False,85.0,85.0,True,humanized,IGHV3-49*04,IGKV1-33*01,Master,,,
atezolizumab,Atezolizumab,True,True,True,True,False,False,False,False,False,30.0,30.0,True,humanized,IGHV3-23*04,IGKV1-12*01,Master,,,
benralizumab,Benralizumab,True,True,True,True,False,False,False,False,False,13.0,13.0,True,humanized,IGHV1-46*01,IGKV1-39*01,Master,,,
bevacizumab,Bevacizumab,True,True,True,True,False,False,False,False,False,0.6,0.6,True,humanized,IGHV3-23*04,IGKV1-16*01,Master,,,
bimekizumab,Bimekizumab,True,True,True,True,False,False,False,False,False,34.0,34.0,True,humanized,IGHV3-7*01,IGKV1-13*02,Master,,,
brolucizumab,Brolucizumab,True,True,True,True,False,False,False,False,False,52.0,52.0,True,humanized,IGHV3-23*04,IGKV1-5*01,Master,,,
camrelizumab,Camrelizumab,True,True,True,True,False,False,False,False,False,20.4,20.4,True,humanized,IGHV3-7*01,IGKV1-39*01,Master,,,
certolizumab,Certolizumab,True,True,True,True,False,False,False,False,False,6.1,6.1,True,humanized,IGHV3-23*04,IGKV1-16*01,Master,,,
clazakizumab,Clazakizumab,True,True,True,True,False,False,False,False,False,1.0,1.0,True,humanized,IGHV3-66*01,IGKV1-39*01,Master,,,
concizumab,Concizumab,True,True,True,True,False,False,False,False,False,25.0,25.0,True,humanized,IGHV3-21*01,IGKV2-29*02,Master,,,
daclizumab,Daclizumab,True,True,True,True,False,False,False,False,False,12.0,12.0,True,humanized,IGHV1-46*01,IGKV1-13*01,Master,,,
dazukibart,Dazukibart,True,True,True,True,False,False,False,False,False,20.0,20.0,True,humanized,IGHV1-69*01,IGKV1-39*01,Master,,,
donanemab,Donanemab,True,True,True,True,False,False,False,False,False,90.0,87.0,False,humanized,IGHV1-3*01,IGKV2-29*02,Master,,,ada_pct_mismatch_panel_vs_combined
dostarlimab,Dostarlimab,True,True,True,True,False,False,False,False,False,2.5,2.5,True,humanized,IGHV3-23*01,IGKV1-9*01,Master,,,
emicizumab,Emicizumab,True,True,True,True,False,False,False,False,False,5.1,5.1,True,humanized,IGHV1/OR15-2*02,IGKV1-NL1*01,Master,,,
