antibody_name,evidence_tier,source_type,source_id,stored_ada,stored_pct,verify_status,source_pct,delta,extracted_pcts,note,source_snippet,pass2_status,pass2_ada_pcts,pass2_note
Astegolimab,A,PMID,41163220.0,8.0%,8.0,DISCREPANCY,29.0,21.0,"[29.0, 41.0, 77.0, 81.0]","Source has [29.0, 41.0, 77.0, 81.0], stored=8.0%","1. Respir Res. 2025 Oct 29;26(1):302. doi: 10.1186/s12931-025-03360-0.  Safety and tolerability of astegolimab, an anti-ST2 monoclonal antibody: a  narrative review.  Kelsen SG(1), Maurer M(2)(3), Wat",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Golimumab,A,PMID,23089571.0,4.1-4.6%,4.6,DISCREPANCY,12.6,8.0,"[12.6, 57.0, 60.9, 69.6, 70.0, 70.9, 75.5, 100.0]","Source has [12.6, 57.0, 60.9, 69.6], stored=4.6%",1. J Pediatr Adolesc Gynecol. 2012 Dec;25(6):367-70. doi:  10.1016/j.jpag.2012.06.008. Epub 2012 Oct 22.  Factors contributing to initial weight loss among adolescents with polycystic  ovary syndrome.,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Guselkumab,A,PMID,35246887.0,"4.1-14.7% (systematic review), 7.94% (pooled), 2% (clinical trial)",14.7,DISCREPANCY,0.6,14.1,"[0.6, 3.2, 14.7, 16.0, 18.0, 31.0]","Source has [0.6], stored=14.7%","1. J Eur Acad Dermatol Venereol. 2022 Aug;36(8):1171-1177. doi: 10.1111/jdv.18042.  Epub 2022 Mar 18.  Anti-drug antibodies of IL-23 inhibitors for psoriasis: a systematic review.  Norden A(1), Moon J",VERIFIED,"[0.6, 3.2, 16.0]",ADA-context match: 16.0% ~ stored 14.7%
Clazakizumab,A,PMID,38995690.0,1.00%,1.0,DISCREPANCY,99.0,98.0,"[99.0, 100.0]","Source has [99.0], stored=1.0%","1. Kidney360. 2024 Aug 1;5(8):1207-1225. doi: 10.34067/KID.0000000000000509. Epub  2024 Jul 12.  New Therapies for Highly Sensitized Patients on the Waiting List.  Vo A(1), Ammerman N, Jordan SC.  Aut",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Ozoralizumab,A,PMID,37055803,29.2% (OHZORA 80 mg+MTX TI/TB ADA by week 52); 30.8% (OHZORA 30 mg+MTX); 46.8%/3,29.2,DISCREPANCY,20.0,9.2,"[20.0, 50.0]","Source has [20.0, 50.0], stored=29.2%","1. Arthritis Res Ther. 2023 Apr 13;25(1):60. doi: 10.1186/s13075-023-03036-4.  Efficacy and pharmacokinetics of ozoralizumab, an anti-TNFα NANOBODY(®)  compound, in patients with rheumatoid arthritis:",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Romosozumab,B,URL,https://www.ncbi.nlm.nih.gov/books/NBK585139/,"17.6% binding antibodies, 2.9% neutralizing antibodies (by month 9)",17.6,DISCREPANCY,5.0,12.6,"[0.3, 0.5, 1.8, 1.9, 2.5, 2.9, 4.9, 5.0]","Source pcts: [2.9, 5.0], stored=17.6%",,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Enuzovimab,A,PMID,39793935.0,1.50%,1.5,DISCREPANCY,50.0,48.5,"[50.0, 64.0]","Source has [50.0, 64.0], stored=1.5%","1. Int J Antimicrob Agents. 2025 Mar;65(3):107439. doi:  10.1016/j.ijantimicag.2024.107439. Epub 2025 Jan 9.  Population pharmacokinetics and pharmacodynamics of HFB30132A, a monoclonal  antibody agai",REAL_DISCREPANCY,[50.0],ADA-context [50.0] vs stored 1.5% (Δ=48.5%)
Fulranumab,A,PMID,24590506.0,6.0%,6.0,DISCREPANCY,60.0,54.0,[60.0],"Source has [60.0], stored=6.0%",1. AAPS J. 2014 May;16(3):464-77. doi: 10.1208/s12248-014-9581-z. Epub 2014 Mar 5.  Development of a method that eliminates false-positive results due to nerve  growth factor interference in the asses,REAL_DISCREPANCY,[60.0],ADA-context [60.0] vs stored 6.0% (Δ=54.0%)
Pemivibart,A,PMID,30265425.0,10-15%,15.0,DISCREPANCY,57.0,42.0,"[57.0, 73.0, 86.0, 91.0, 98.0]","Source has [57.0, 73.0, 86.0, 91.0], stored=15.0%","1. Am J Addict. 2018 Dec;27(8):612-617. doi: 10.1111/ajad.12805. Epub 2018 Sep 28.  Expanding access to buprenorphine treatment in rural areas with the use of  telemedicine.  Weintraub E(1), Greenblat",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Tafolecimab,A,PMID,35326524.0,10-15%,15.0,DISCREPANCY,10.0,5.0,"[10.0, 30.0]","Source has [10.0, 30.0], stored=15.0%","1. Cancers (Basel). 2022 Mar 8;14(6):1373. doi: 10.3390/cancers14061373.  The Role of Endoscopic Ultrasonography in the Diagnosis and Staging of  Pancreatic Cancer.  Zakaria A(1), Al-Share B(2), Klapm",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
