antibody_name,mtx_comedication,immunosuppressant_context,source
Aducanumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Atoltivimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Bamlanivimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Belimumab,none,background SLE immunosuppressants,curated from FDA label / EMA SmPC / pivotal trial protocol
Bimagrumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Clesrovimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Crovalimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Daratumumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Dupilumab,none,ICS background,curated from FDA label / EMA SmPC / pivotal trial protocol
Ebronucimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Emapalumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Enuzovimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Etesevimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Evinacumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Evolocumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Fulranumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Garadacimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Nivolumab,none,chemo combination sometimes,curated from FDA label / EMA SmPC / pivotal trial protocol
Olaratumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Pemivibart,none,background immunosuppressants (immunocompromised host),curated from FDA label / EMA SmPC / pivotal trial protocol
Ramucirumab,none,chemo combination,curated from FDA label / EMA SmPC / pivotal trial protocol
Regdanvimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Relatlimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Secukinumab,moderate_proportion,MTX in PsA common,curated from FDA label / EMA SmPC / pivotal trial protocol
Sintilimab,none,chemo combination,curated from FDA label / EMA SmPC / pivotal trial protocol
Tafolecimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Tezepelumab,none,ICS background,curated from FDA label / EMA SmPC / pivotal trial protocol
Tremelimumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Axatilimab,none,transplant immunosuppressants,curated from FDA label / EMA SmPC / pivotal trial protocol
Belantamab,none,chemo combination,curated from FDA label / EMA SmPC / pivotal trial protocol
Budigalimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Crizanlizumab,none,hydroxyurea background (common),curated from FDA label / EMA SmPC / pivotal trial protocol
Depemokimab,none,ICS background,curated from FDA label / EMA SmPC / pivotal trial protocol
Domvanalimab,none,chemo combination sometimes,curated from FDA label / EMA SmPC / pivotal trial protocol
Eculizumab,none,immunosuppressants in some aHUS,curated from FDA label / EMA SmPC / pivotal trial protocol
Elezanumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Elotuzumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Etaracizumab,none,chemo combination sometimes,curated from FDA label / EMA SmPC / pivotal trial protocol
Exidavnemab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Favezelimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Gemtuzumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Ibalizumab,none,antiretroviral background,curated from FDA label / EMA SmPC / pivotal trial protocol
Inebilizumab,none,background immunosuppressants sometimes,curated from FDA label / EMA SmPC / pivotal trial protocol
Lebrikizumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Leronlimab,none,antiretroviral background,curated from FDA label / EMA SmPC / pivotal trial protocol
Levilimab,moderate_proportion,MTX in RA,curated from FDA label / EMA SmPC / pivotal trial protocol
Mirikizumab,none,5-ASA/steroids/thiopurines in IBD,curated from FDA label / EMA SmPC / pivotal trial protocol
Mogamulizumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Nemolizumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Nimotuzumab,none,chemo combination,curated from FDA label / EMA SmPC / pivotal trial protocol
Obinutuzumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Ocrelizumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Olokizumab,high_proportion,MTX in RA,curated from FDA label / EMA SmPC / pivotal trial protocol
Palivizumab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Penpulimab,none,chemo combination sometimes,curated from FDA label / EMA SmPC / pivotal trial protocol
Pertuzumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Polatuzumab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Recaticimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Rozanolixizumab,none,background immunosuppressants sometimes,curated from FDA label / EMA SmPC / pivotal trial protocol
Satralizumab,none,background immunosuppressants sometimes,curated from FDA label / EMA SmPC / pivotal trial protocol
Spesolimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Sutimlimab,none,none,curated from FDA label / EMA SmPC / pivotal trial protocol
Tafasitamab,none,chemo combination always,curated from FDA label / EMA SmPC / pivotal trial protocol
Tagitanlimab,none,chemo combination,curated from FDA label / EMA SmPC / pivotal trial protocol
Timigutuzumab,none,chemo combination,curated from FDA label / EMA SmPC / pivotal trial protocol
Vunakizumab,moderate_proportion,MTX in PsA common,curated from FDA label / EMA SmPC / pivotal trial protocol
