Therapeutic,Format
Acapatamab,Bispecific scFv
Acimtamig,Bispecific (VH-VK-VH'-VL Homodimer)
Alnuctamab,Bispecific mAb with Domain Crossover
Azerutamig,Bispecific Mixed mAb and scFv-CH2-CH3
Bavunalimab,Bispecific Mixed mAb and scFv
Bexatamig,Bispecific (H-gamma1-VH-G1CH1h_L-kappa)_L-kappa-G1hCH2CH3
Brivekimig1,Trispecific Single Domains (VH-VH-VH'-VH''-VH'); Bispecific entry
Brivekimig2,Trispecific Single Domains (VH-VH-VH'-VH''-VH'); Monospecific entry
Cabotamig,Bispecific (VH-G1CH1h-G4CH2CH3-scFv)
Cadonilimab,Bispecific Mixed mAb and scFv
Cibisatamab,Bispecific mAb with Domain Crossover
Cizutamig,Bispecific Mixed Domains (L-kappa-H-gamma1_[VH-G1(CH1-h)]_L-kappa)
Cugrastomig,Bispecific Mixed mAb and scFv
Danvilostomig,Bispecific Mixed mAb and scFv
Donzakimig1,Trispecific (G1(VH-CH1-h)-scFv_L-kappa-scFv); Bispecific entry
Donzakimig2,Trispecific (G1(VH-CH1-h)-scFv_L-kappa-scFv); Monospecific entry
Duvortuxizumab,Bispecific scFv with Crossover
Eluvixtamab,Bispecific scFv
Emerfetamab,Bispecific scFv
Emfizatamab1,Tetraspecific (scFv-IgG-scFv-scFv; Bispecific entry 1)
Emfizatamab2,Tetraspecific (scFv-IgG-scFv-scFv; Bispecific entry 2)
Emirodatamab,Bispecific scFv-scFv-scFc
Enristomig,Bispecific Single Domains (VH-VH'-G1(h-CH2-CH3) Dimer)
Erfonrilimab,Bispecific Single Domains (VH-VH'-CH)
Etevritamab,Bispecific scFv
Fanastomig,Bispecific (L-kappa-H-gamma1_G1(VH-CH1-h)_L-kappa)
Flotetuzumab,Bispecific scFv with Crossover
Forimtamig,Bispecific mAb with Domain Crossover
Galvokimig1,Trispecific (G1(VH-CH1-h)-scFv_L-kappa-scFv); Bispecific entry
Galvokimig2,Trispecific (G1(VH-CH1-h)-scFv_L-kappa-scFv); Monospecific entry
Gefurulimab,Bispecific Single Domains (VH-VH')
Givastomig,Bispecific (G1-scFv_L-kappa)
Glofitamab,Bispecific mAb with Domain Crossover
Gocatamig1,Trispecific Mixed scFv and Single Domains (scFvhl-VH-VH'); Bispecific entry
Gocatamig2,Trispecific Mixed scFv and Single Domains (scFvhl-VH-VH'); Monospecific entry
Gontivimab,Bispecific Single Domains (VH-VH'-VH')
Gresonitamab,Bispecific scFv-scFv-scFc
Imvotamab,Pentameric IgM with Fused scFv (Bispecific)
Inezetamab,Bispecific Mixed mAb and scFv
Ingitamig,Bispecific Mixed mAb and tandem mAb/scFv
Isecarosmab,Bispecific Single Domains (VH-VH')
Istiratumab,Bispecific Mixed mAb and scFv
