antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Amulirafusp,other,Whole mAb Fusion,Chimeric,MS4A1/CD20,Phase-I/II,ImmuneOnco Biopharmaceuticals,Oncology,,,True,True
Bifikafusp,other,Whole mAb Fusion,,FN extracellular domain B,Preregistration,Philogen,Non-small cell lung cancer;Diffuse large B-cell lymphoma;[With onfekafusp] Malignant melanoma;[With onfekafusp] Basal cell cancer;[With onfekafusp] Squamous cell cancer;[With onfekafusp] Solid tumours,,Radretumab+Bifikafusp+Onfekafusp have identical V domains,True,True
Bintrafusp,other,Whole mAb Fusion,,PDL1/CD274,Approved,AIO Studien gGmbH;Array BioPharma;Chong Kun Dang;Dana-Farber Cancer Institute;Debiopharm;eFFECTOR Therapeutics;EMD Serono;Forty Seven;Fred Hutchinson Cancer Research Center;Gachon University Gil Medical Center;Hellenic Cooperative Oncology Group;Hospices Civils de Lyon;Johannes Gutenberg-University Mainz;M. D. Anderson Cancer Center;Merck KGaA;National Cancer Institute (USA);National Cancer Institute Slovakia;Netherlands Cancer Institute;Pfizer;Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins;Syndax Pharmaceuticals;Transgene;University College London;University of Birmingham;University of California San Diego;University of Iowa;Vaccinex;Vanderbilt-Ingram Cancer Center;VAXIMM;Verastem Oncology;Washington University School of Medicine,Renal cell carcinoma;Breast cancer;Diffuse large B cell lymphoma;Gastric cancer;Head and neck cancer;Non-small cell lung cancer;Ovarian cancer;Bladder cancer;Endometrial cancer;Fallopian tube cancer;Germ cell and embryonal neoplasms;Gestational trophoblastic disease;Glioblastoma;Haemangiosarcoma;Intestinal cancer;Leiomyosarcoma;Nasopharyngeal cancer;Neuroendocrine tumours;Osteosarcoma;Peripheral T-cell lymphoma;Peritoneal cancer;Prostate cancer;Recurrent respiratory papillomatosis;Small cell lung cancer;Solid tumours;Squamous cell cancer;Thymoma;Liposarcoma;Lymphoma;Oropharyngeal cancer;Pancreatic cancer;Acute myeloid leukaemia;Follicular lymphoma;Hodgkin's disease;Liver cancer;Meningioma,Merkel cell carcinoma;Urogenital cancer,Avelumab and Bintrafusp have identical V domains,True,True
Cinrebafusp,other,Fusion Protein,,ERBB2/CD340/HER2,Phase-II,Eli Lilly and Company;Pieris Pharmaceuticals;Seagen,Gastic cancer;Solid tumours,,Identical Fv sequence to Anvatabart; Coprelotamab; Trastuzumab; Timigutuzumab,True,True
Dalutrafusp,other,Whole mAb Fusion,,TGFBR2,Phase-I,Gilead Sciences,,,,True,True
Eciskafusp,other,Fusion Protein,,PDCD1/CD279/PD1,Phase-I,Roche,Solid tumours,,Fv identical in sequence to Tobemstomig and Lomvastomig Fv1.,True,True
Englumafusp,other,Fusion Protein,,CD19,Phase-I,Roche,B cell Lymphoma,,June '22: Corrected CDRH2 sequence. Aug '22: WHO changed name from ensomafusp to englumafusp in PL127.,True,True
Eramkafusp,other,Whole mAb Fusion,Chimeric (Murine/Human),MS4A1/CD20,Phase-I,Spectrum Pharmaceuticals;ImmunGene,,,Possibly a Rituximab biosimilar. (June '22): Corrected IMGT VH 128 S->A,True,True
Ficerafusp,other,Fusion Protein,Chimeric,EGFR/ERBB1/HER1,Phase-II/III,Bicara Therapeutics,Solid tumours,,Chimeric: Mouse/Human,True,True
Gulgafafusp,other,Fusion Protein (whole mAb with protein),,GLP1R,Phase-III,Gmax Biopharm,Type 2 diabetes mellitus,,,True,True
