VH_Gene,IGKV1-12,IGKV1-13,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1-NL1,IGKV1D-16,IGKV2-18,IGKV2-24,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2-40,IGKV2D-29,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV3/OR2-268,IGKV3D-20,IGKV4-1,IGKV6-21,IGKV6D-41,IGKV7-3,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-51,IGLV2-11,IGLV2-14,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-19,IGLV3-21,IGLV3-25,IGLV3-31,IGLV3-9,IGLV5-45,IGLV5-52,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61
IGHV3-11,11,3,0,1,0,9,6,5,1,0,2,2,2,0,0,5,0,2,1,2,15,7,7,0,0,0,6,4,2,0,1,0,1,1,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0
IGHV3-13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3-15,11,5,0,0,3,6,16,5,0,0,3,2,1,1,1,8,0,3,1,3,10,3,7,0,0,2,13,2,0,1,1,2,1,1,1,5,0,2,0,1,4,1,0,2,0,0,1,0,0,0
IGHV3-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
IGHV3-21,5,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,3,0,0,0,2,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
IGHV3-23,34,7,4,1,3,4,25,8,2,0,2,1,2,0,0,5,0,1,0,1,6,1,10,0,1,0,3,0,1,1,5,4,7,0,0,4,0,3,1,0,2,0,1,1,1,0,2,0,0,1
IGHV3-30,22,10,5,5,8,23,36,7,0,1,7,4,1,0,1,15,1,8,1,10,27,9,20,2,0,3,25,2,0,2,6,3,0,3,2,3,0,1,0,2,3,0,0,0,0,0,1,0,1,0
IGHV3-30-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3-38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3-48,2,1,0,1,0,2,2,0,0,0,1,0,3,0,0,2,0,0,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IGHV3-49,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
