antibody_name,ada_first_pct,source_db
Adalimumab,30.0,Master
Anifrolumab,5.1,Master
Astegolimab,8.0,Master
Brodalumab,3.3,Master
Burosumab,15.0,Master
Canakinumab,1.5,Master
Cemiplimab,1.9,Master
Cilgavimab,4.1,Master
Denosumab,1.0,Master
Durvalumab,0.8,Master
Efalizumab,5.0,Master
Enfortumab,1.0,Master
Erenumab,6.3,Master
Golimumab,4.6,Master
Guselkumab,14.7,Master
Lanadelumab,12.0,Master
Necitumumab,4.1,Master
Nirsevimab,5.0,Master
Ofatumumab,0.22,Master
Panitumumab,1.8,Master
Sarilumab,4.0,Master
Teprotumumab,2.3,Master
Tisotumab,5.7,Master
Tixagevimab,4.1,Master
Tralokinumab,1.2,Master
Ustekinumab,2.3,Master
Alemtuzumab,85.0,Master
Atezolizumab,30.0,Master
Benralizumab,13.0,Master
Bevacizumab,0.6,Master
Bimekizumab,34.0,Master
Brolucizumab,52.0,Master
Camrelizumab,20.4,Master
Certolizumab,6.1,Master
Clazakizumab,1.0,Master
Concizumab,25.0,Master
Daclizumab,12.0,Master
Dazukibart,20.0,Master
Donanemab,87.0,Master
Dostarlimab,2.5,Master
Emicizumab,5.1,Master
Eptinezumab,20.6,Master
Etrolizumab,2.0,Master
Faricimab,10.0,Master
Fremanezumab,0.4,Master
Galcanezumab,4.8,Master
Itolizumab,15.75,Master
Ixekizumab,14.29,Master
Lecanemab,3.4,Master
Mepolizumab,2.91,Master
Natalizumab,6.0,Master
Naxitamab,8.0,Master
Omalizumab,0.0,Master
Ozoralizumab,29.2,Master
Pembrolizumab,1.8,Master
Ranibizumab,5.0,Master
Ravulizumab,0.5,Master
Reslizumab,4.39,Master
Retifanlimab,2.8,Master
Risankizumab,24.0,Master
Romosozumab,17.6,Master
Sacituzumab,1.1,Master
Tarlatamab,8.0,Master
Tildrakizumab,6.5,Master
Tocilizumab,2.0,Master
Toripalimab,10.0,Master
Trastuzumab,8.0,Master
Vedolizumab,2.4,Master
Zenocutuzumab,5.0,Master
Aducanumab,0.4,Master
Atoltivimab,0.0,Master
Bamlanivimab,2.1,Master
Belimumab,4.8,Master
Bimagrumab,4.0,Master
Clesrovimab,22.6,Master
Crovalimab,15.0,Master
Daratumumab,0.0,Master
Dupilumab,7.61,Master
Ebronucimab,12.5,Master
Emapalumab,10.0,Master
Enuzovimab,1.5,Master
Evinacumab,2.0,Master
Evolocumab,0.1,Master
Fulranumab,6.0,Master
Garadacimab,2.0,Master
Nivolumab,37.8,Master
Olaratumab,3.5,Master
Pemivibart,15.0,Master
Ramucirumab,3.0,Master
Regdanvimab,10.0,Master
Relatlimab,5.6,Master
Secukinumab,1.0,Master
Sintilimab,2.0,Master
Tafolecimab,15.0,Master
Tezepelumab,4.9,Master
Tremelimumab,16.7,Master
Axatilimab,16.3,Master
Belantamab,17.0,Master
Budigalimab,1.8,Master
Crizanlizumab,0.0,Master
Depemokimab,10.0,Master
Domvanalimab,17.2,Master
Eculizumab,2.0,Master
Elezanumab,2.0,Master
Elotuzumab,15.0,Master
Etaracizumab,5.0,Master
Exidavnemab,7.0,Master
Favezelimab,42.9,Master
Gemtuzumab,1.1,Master
Ibalizumab,2.0,Master
Inebilizumab,15.0,Master
Lebrikizumab,5.2,Master
Leronlimab,15.0,Master
Levilimab,2.0,Master
Mirikizumab,5.6,Master
Mogamulizumab,14.1,Master
Nemolizumab,5.6,Master
Nimotuzumab,15.0,Master
Obinutuzumab,13.0,Master
Ocrelizumab,1.0,Master
Olokizumab,3.2,Master
Palivizumab,0.7,Master
Penpulimab,15.0,Master
Pertuzumab,3.0,Master
Polatuzumab,1.0,Master
Recaticimab,1.0,Master
Rozanolixizumab,37.0,Master
Satralizumab,41.0,Master
Spesolimab,15.0,Master
Sutimlimab,10.0,Master
Tafasitamab,10.0,Master
Tagitanlimab,1.0,Master
Timigutuzumab,15.0,Master
Vunakizumab,15.0,Master
Nipocalimab,48.0,Master
Epcoritamab,2.6,Master
Elranatamab,9.5,Master
Abrezekimab,3.3,Discontinued
Lemalesomab,40.0,Discontinued
Lumiliximab,0.0,Discontinued
Ontamalimab,2.0,Discontinued
Ozanezumab,0.3,Discontinued
Sifalimumab,0.0,Discontinued
Tabalumab,4.2,Discontinued
Tanezumab,2.3,Discontinued
Tibulizumab,3.3,Discontinued
