Therapeutic,IDC_ADA_Incidence,IDC_NAb_Incidence,Clinical_Impact_PK,Clinical_Impact_Safety
Adalimumab,30.7,6.1,Yes,Unknown
Anifrolumab,5.8,1.2,No,Unknown
Astegolimab,8.8,1.8,Unknown,Unknown
Bezlotoxumab,,,Unknown,No
Brodalumab,4.9,1.0,No,Yes
Burosumab,14.8,3.0,No,No
Canakinumab,0.5,0.1,Yes,Unknown
Cemiplimab,1.8,0.4,No,Yes
Cilgavimab,2.0,0.4,Unknown,Unknown
Denosumab,0.7,0.1,Yes,No
Durvalumab,0.9,0.2,Yes,Yes
Efalizumab,5.2,1.0,Unknown,No
Enfortumab,0.0,0.0,Unknown,Yes
Erenumab,7.3,1.5,No,Yes
Golimumab,3.8,0.8,Yes,No
Guselkumab,15.0,3.0,Unknown,No
Lanadelumab,10.7,2.1,Yes,No
Necitumumab,4.4,0.9,Yes,Yes
Nirsevimab,5.7,1.1,Yes,Unknown
Ofatumumab,0.0,0.0,Yes,Yes
Panitumumab,3.0,0.6,No,No
Sarilumab,5.3,1.1,Yes,No
Teprotumumab,2.4,0.5,Yes,Yes
Tisotumab,6.6,1.3,No,No
Tixagevimab,4.4,0.9,Yes,Yes
Tralokinumab,1.0,0.2,Unknown,No
Ustekinumab,2.7,0.5,No,Unknown
Alemtuzumab,86.6,17.3,Unknown,Yes
Atezolizumab,29.3,5.9,No,Unknown
Benralizumab,13.3,2.7,No,No
Bevacizumab,0.0,0.0,Unknown,No
Bimekizumab,32.5,6.5,No,Yes
Brolucizumab,49.7,9.9,Unknown,Unknown
Camrelizumab,21.4,4.3,No,Unknown
Certolizumab,7.7,1.5,Unknown,Unknown
Clazakizumab,0.3,0.1,Yes,No
Concizumab,26.0,5.2,No,Yes
Daclizumab,12.3,2.5,Unknown,Unknown
Dazukibart,21.2,4.2,Yes,Unknown
Donanemab,88.0,17.6,Unknown,Unknown
Dostarlimab,0.9,0.2,Unknown,No
Emicizumab,6.3,1.3,No,No
Eptinezumab,20.8,4.2,Yes,Yes
Etrolizumab,2.9,0.6,Yes,No
Faricimab,10.2,2.0,Yes,Unknown
Fremanezumab,0.5,0.1,Yes,Yes
Galcanezumab,4.6,0.9,Yes,Yes
Itolizumab,14.3,2.9,No,Unknown
Ixekizumab,16.0,3.2,Yes,Yes
Lecanemab,2.1,0.4,No,Yes
Mepolizumab,3.1,0.6,Yes,Unknown
Natalizumab,6.2,1.2,Unknown,Unknown
Naxitamab,9.8,2.0,Yes,Unknown
Omalizumab,0.0,0.0,Yes,Yes
Ozoralizumab,31.0,6.2,No,No
Pembrolizumab,2.2,0.4,No,Unknown
Ranibizumab,4.9,1.0,No,Yes
Ravulizumab,2.4,0.5,Yes,Unknown
Reslizumab,3.0,0.6,Unknown,No
Retifanlimab,3.7,0.7,Unknown,No
Risankizumab,24.4,4.9,Unknown,Yes
Romosozumab,19.0,3.8,Yes,Unknown
Sacituzumab,1.6,0.3,Yes,Yes
Tarlatamab,7.6,1.5,Unknown,No
Tildrakizumab,6.2,1.2,No,Yes
Tocilizumab,2.1,0.4,No,Yes
Toripalimab,9.4,1.9,Yes,Unknown
Trastuzumab,8.4,1.7,No,No
Vedolizumab,1.6,0.3,Yes,Yes
Zenocutuzumab,5.3,1.1,No,No
Aducanumab,0.5,0.1,Yes,No
Atoltivimab,0.0,0.0,Unknown,Unknown
