antibody_name,discovery_source,target,clinical_phase,indication,ada_pct,assay,evidence_source
Abrilumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Acrixolimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Adakitug,transgenic_animal,Unknown,Unknown,Unknown,,,
Adezkibart,transgenic_animal,Unknown,Unknown,Unknown,,,
Afimkibart,transgenic_animal,Unknown,Unknown,Unknown,,,
Alirocumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Amlenetug,transgenic_animal,Unknown,Unknown,Unknown,,,
Ansipastobart,transgenic_animal,Unknown,Unknown,Unknown,,,
Anzurstobart,transgenic_animal,Unknown,Unknown,Unknown,,,
Ascrinvacumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Atenastobart,transgenic_animal,Unknown,Unknown,Unknown,,,
Atidortoxumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Atigotatug,transgenic_animal,Unknown,Unknown,Unknown,,,
Atinumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Balonkibart,transgenic_animal,Unknown,Unknown,Unknown,,,
Balstilimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Bapotulimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Befovacimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Belrestotug,transgenic_animal,Unknown,Unknown,Unknown,,,
Berlimatoxumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Bersanlimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Birinkibart,transgenic_animal,Unknown,Unknown,Unknown,,,
Bleselumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Calotatug,transgenic_animal,Unknown,Unknown,Unknown,,,
Calpurbatug,transgenic_animal,Unknown,Unknown,Unknown,,,
Camoteskimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Carlumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Casdozokitug,transgenic_animal,Unknown,Unknown,Unknown,,,
Cepeprubart,transgenic_animal,Unknown,Unknown,Unknown,,,
Cetrelimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Cifurtilimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Cixutumumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Claseprubart,transgenic_animal,Unknown,Unknown,Unknown,,,
Crebankitug,transgenic_animal,Unknown,Unknown,Unknown,,,
Crotedumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Cudarolimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Dargistotug,transgenic_animal,Unknown,Unknown,Unknown,,,
Dectrekumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Demupitamab,transgenic_animal,Unknown,Unknown,Unknown,,,
Denrakibart,transgenic_animal,Unknown,Unknown,Unknown,,,
Dibotatug,transgenic_animal,Unknown,Unknown,Unknown,,,
Drozitumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Eblasakimab,transgenic_animal,Unknown,Unknown,Unknown,,,
Eldelumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Elgemtumab,transgenic_animal,Unknown,Unknown,Unknown,,,
Elipovimab,transgenic_animal,Unknown,Unknown,Unknown,,,
