antibody,missing_fields,n_missing,origin,evidence_tier
Aducanumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Atoltivimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Bamlanivimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Belimumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Bimagrumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Clesrovimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Crovalimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Daratumumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Dupilumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Ebronucimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Emapalumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Enuzovimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Etesevimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,C
Evinacumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Evolocumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Fulranumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Garadacimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Nivolumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Olaratumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Pemivibart,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Ramucirumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Regdanvimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Relatlimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,C
Secukinumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Sintilimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Tafolecimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,A
Tezepelumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Tremelimumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,natural,B
Axatilimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Belantamab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Budigalimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Crizanlizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Depemokimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Domvanalimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Eculizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Elezanumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Elotuzumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Etaracizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Exidavnemab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Favezelimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Gemtuzumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Ibalizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Inebilizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Lebrikizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Leronlimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Levilimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Mirikizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Mogamulizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Nemolizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Nimotuzumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Obinutuzumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Ocrelizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Olokizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,C
Palivizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Penpulimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Pertuzumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Polatuzumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Recaticimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Rozanolixizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,C
Satralizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,B
Spesolimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Sutimlimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Tafasitamab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Tagitanlimab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Timigutuzumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
Vunakizumab,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",5,engineered,A
