antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Galvokimig1,other,Trispecific (G1(VH-CH1-h)-scFv_L-kappa-scFv); Bispecific entry,Humanised;Humanised,IL17A and IL17F;ALB,TBC,TBC,TBC,TBC,G1(VH-CH1-h)-scFv_L-kappa segment. Fv1 identical to Bimekizumab. Fv2 identical to Donzakimig Fv2.,True,True
Itanistomig,other,Bispecific Mixed Domains (VH-G1CH1-h)-H-gamma1_L-kappa-L-kappa),Genetically human;Humanised,PDL1/CD274;IAP/CD47,TBC,TBC,TBC,TBC,TBC,True,True
Ledostomig,other,Bispecific Mixed mAb and scFv,Chimeric and/or humanised;Chimeric and/or humanised,NT5E/CALJA/CD73;PDCD1/CD279/PD1,TBC,TBC,TBC,TBC,TBC,True,True
Nesfrotamig,other,Bispecific Mixed mAb and scFv,Humanised;Genetically human,ERBB2/CD340/HER2;TNFRSF9/CD137/4-1BB,TBC,TBC,TBC,TBC,TBC,True,True
Ompekimig1,other,Trispecific Mixed mAb and scFv; Bispecific entry,Genetically human;Genetically human,IL13;IL4,TBC,TBC,TBC,TBC,TBC,True,True
Opamistomig,other,Bispecific Mixed mAb and scFv,Humanised;Genetically human,PDL1/CD274;TNFRSF9/CD137/4-1BB,TBC,TBC,TBC,TBC,TBC,True,True
Ramantamig1,other,Trispecific Mixed mAb and scFv; Bispecific entry,Genetically human;Genetically human,CD3E;GPRC5D,TBC,TBC,TBC,TBC,TBC,True,True
Silevimig,other,Bispecific ((G1_L-kappa)_scFv-G1(h-CH2-CH3)),Genetically human,Rabies Lyssavirus Glycoprotein G epitope III;Rabies Lyssavirus Glycoprotein G epitope I,Preregistration,Genrix (Shanghai) Biopharmaceuticals,Rabies,,,True,True
Trevotamig,other,Bispecific Mixed Domains (H-gamma1_L-kappa-scFvhl),Humanised;Chimeric,EPCAM/CD326;CD3E,TBC,TBC,TBC,TBC,TBC,True,True
Velaprumig,other,Bispecific Mixed mAb and scFv,Chimeric and/or humanised;Chimeric and/or humanised,ALB;CD40LG/CD154,TBC,TBC,TBC,TBC,TBC,True,True
Pumitamig1 (BNT327),other,Bispecific Mixed Domains (VHH-Fv); Fv arm entry,Humanised,PD-L1 (CD274);VEGF-A,Phase-II,BioNTech,SCLC;Solid Tumors,TBC,BNT327. PD-L1 x VEGF-A bispecific antibody. Fv arm entry. Phase 2 SCLC (China); global Phase 2/3. Restores effector T-cell function via PD-L1 binding; co-localizes VEGF-A neutralization in tumor microenvironment. Pumitamig+chemo showed encouraging Phase 2 activity in SCLC.,True,True
Umizortamig1,other,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 1),,EGFRvIII;CD3E,TBC,TBC,TBC,TBC,scFv-IgG1 portion. Joint entry with Umizortamig2 (tetraspecific) Tetraspecific: EGFRvIII/CD3E + PDL1/CD137. scFv-IgG-scFv-scFv architecture.,True,True
Umizortamig2,other,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 2),,PDL1/CD274;TNFRSF9/CD137/4-1BB,TBC,TBC,TBC,TBC,scFv-scFv portion. Joint entry with Umizortamig2 (tetraspecific) Tetraspecific: EGFRvIII/CD3E + PDL1/CD137. scFv-IgG-scFv-scFv architecture.,True,True
