Molecule Assessed for ADA INN Name,Therapeutic Assessed for ADA Trade name,Disease Indication Description,IDC_ADA_pct,Verification_Status,True_ADA_pct
A-dmDT390-bisFV,RESIMMUNE,T-Cell Lymphoma,100.0,Pending Manual Verification (FDA Label),
Alirocumab,PRALUENT,"Homozygous Familial Hypercholesterolemia, Hypercholesterolemia",6.3,LITERATURE_VERIFIED,4.8
ATR-107,NONE,Healthy Volunteer,100.0,LITERATURE_VERIFIED,76.0
Avelumab,BAVENCIO,"Renal Cell Cancer, Refractory Or Relapsed Solid Tumors
Lymphoma, Diffuse Large B Cell Lymphoma, Solid Tumors, Locally Advanced (Primary Or Recurrent) Or Metastatic Solid Tumors, Carcinoma, Merkel Cell, Carcinoma, Non Small-Cell Lung, First Line Non Small Cell Lung Cancer, Ovarian Cancer, Non Small Cell Lung Cancer, Hodgkins Lymphoma, Urothelial Cancer, Squamous Cell Carcinoma Of The Head And Neck, Carcinoma, Hepatocellular, Pancreatic Cancer, Squamous Non-Small Cell Lung Cancer, Multiple Oncology, Merkel Cell Carcinoma (Mcc).",50.0,LITERATURE_VERIFIED,4.1
Bermekimab,XILONIX,Atopic Dermatitis,40.0,LITERATURE_VERIFIED,0.0
Blinatumomab,BLINCYTO,"Acute Lymphoblastic Leukemia, Relapsed/Refractory Philadelphia Positive B-Precursor All, Relapsed/Refractory B-Precursor Acute Lymphoblastic Leukemia, Leukemia, Acute Lymphoblastic, Relapsed Refractory B Precursor Acute Lymphoblastic Leukemia",2.923976608,LITERATURE_VERIFIED,2.0
Bococizumab,RN316,"Hypercholesterolemia
Dyslipidemia, Hypercholesterolemia
Dyslipidemia
Hyperlipidemia
Lipid Metabolism Disorders
Metabolic Diseases, Hypercholesterolemia, Hyperlipidemia, Heterozygous Familial Hypercholesterolemia",100.0,LITERATURE_VERIFIED,48.0
Cabiralizumab,FPA008,"Advanced Solid Tumors
Head And Neck Cancer
Pancreatic Cancer
Ovarian Cancer
Renal Cell Carcinoma
Malignant Glioma
Non-Small Cell Lung Cancer",33.3,Pending Manual Verification (FDA Label),
Cetuximab,ERBITUX,"Cancer
Refractory Solid Tumors, Head And Neck Cancer, Advanced Solid Tumors, Squamous Non-Small Cell Lung Cancer, Colorectal Neoplasms",4.705882353,LITERATURE_VERIFIED,5.0
Emibetuzumab,LY2875358,"Advanced Cancer
Gastric Adenocarcinoma
Gastroesophageal Junction Adenocarcinoma
Hepatocellular Cancer
Renal Cell Carcinoma
Non-Small Cell Lung Cancer",7.142857143,LITERATURE_VERIFIED,0.0
GSK3174998,NONE,Neoplasms,75.0,LITERATURE_VERIFIED,20.0
Idarucizumab,PRAXBIND,Hemorrhage,0.0,Pending Manual Verification (FDA Label),
Idursulfase,ELAPRASE,Hunter Syndrome Mucopolysaccharidosis Ii ( 5 Years Of Age+),76.9,Pending Manual Verification (FDA Label),
Imalumab,BAX69,Metastatic Colorectal Cancer,5.6,Pending Manual Verification (FDA Label),
Infliximab,"REMICADE, IXIFI, INFLECTRA","Crohn'S Disease (Cd), Crohn Disease
Ulcerative Colitis
Rheumatoid Arthritis
Ankylosing Spondylitis
Psoriatic Arthritis, Rheumatoid Arthritis, Inflammatory Bowel Diseases, Rheumatoid Diseases
Rheumatoid Arthritis
Ankylosing Spondylitis
Psoriatic Arthritis, Inflammatory Bowel Disease (Ibd)
Crohn'S Disease (Cd)
Ulcerative Colitis (Uc), Psoriasis, Rheumatoid arthritis, Crohn's disease, Ankylosing spondylitis, Rheumatoid arthritis	",89.7,Pending Manual Verification (FDA Label),
Ipilimumab,YERVOY,"Unresectable Stage Iii Or Stage Iv Malignant Melanoma, Advanced Melanoma, Advanced Melanoma (Unresectable Or Advanced), Melanoma, RCC, mCRC, Multiple Oncology",26.0,Pending Manual Verification (FDA Label),
Isatuximab,SARCLISA,"Hematological Malignancy, Plasma Cell Myeloma, Prostate Cancer
Non-Small Cell Lung Cancer, Neoplasm",16.7,Pending Manual Verification (FDA Label),
Itepekimab,REGN3500,Atopic Dermatitis,0.0,Pending Manual Verification (FDA Label),
Magrolimab,HU5F9-G4,"Solid Tumor
Colorectal Cancer",33.3,Pending Manual Verification (FDA Label),
Margetuximab,MARGENZA,"Gastric Cancer, Stomach Cancer, Esophageal Cancer",33.3,Pending Manual Verification (FDA Label),
MEDI0680,NONE,"Select Advanced Malignancies
Kidney Cancer
Clear Cell Renal Cell Carcinoma",66.7,Pending Manual Verification (FDA Label),
MEDI4212,NONE,"Allergic Asthma
Atopic Dermatitis
Allergic Rhinitis
Healthy Volunteer",5.6,Pending Manual Verification (FDA Label),
Monalizumab,IPH-2201,"Advanced Solid Tumors, Mss-Crc, Ovarian, Endometrial Mss, Nsclc",30.6,Pending Manual Verification (FDA Label),
Motavizumab,MEDI-524,"Respiratory Syncytial Virus Infections
Chronic Lung Disease And <= 24 Months Of Age Or
Premature With Gestational Age <=35 Weeks And <=6 Months Of Age",5.063291139240507,Pending Manual Verification (FDA Label),
Oleclumab,NONE,"Prostate Cancer
Metastatic Castration-Resistant Prostate Cancer (Mcrpc)",4.2,Pending Manual Verification (FDA Label),
Otelixizumab,TRX4,"Diabetes Mellitus, Type 1, Type 1 Diabetes Mellitus",100.0,Pending Manual Verification (FDA Label),
Pegaspargase,ONCASPAR,Acute Lymphoblastic Leukemia,18.2,Pending Manual Verification (FDA Label),
Raxibacumab,ABTHRAX,"Healthy, Anthrax",0.0,Pending Manual Verification (FDA Label),
Rituximab,"MABIONCD20, RITUXAN, RIXATHON, RUXIENCE, BI695500, RIABNI, SAIT101","Rheumatoid Arthritis, Diffuse Large B Cell Lymphoma, Relapsed/Refractory Mantle Cell Lymphoma
Marginal Zone Lymphoma
Waldenstrom Macroglobulinemia, Relapsed Or Refractory Follicular Lymphoma
Relapsed Or Refractory Diffuse Large B-Cell Lymphoma, Diffuse Large B-Cell Lymphoma, Lymphoma Follicular, Non-Hodgkins Lymphoma, Pompe Disease
Glycogen Storage Disease Type Ii, Lymphoma, Lymphocytic Leukemia, Chronic, Diffuse Large B Cell Lymphoma, Non-Hodgkins Lymphoma, Non-Hodgkin'S Lymphoma, Follicular Lymphoma, Pemphigus Vulgaris, Lymphoma, Non-Hodgkin, Lymphoma, Follicular, Multiple Sclerosis, Rheumatoid arthritis	",90.47619048,Pending Manual Verification (FDA Label),
Siltuximab,SYLVANT,Multicentric Castleman'S Disease,5.0,Pending Manual Verification (FDA Label),
Tositumomab,BEXXAR,"Lymphoma, Non-Hodgkin, Mantle Cell Lymphoma, Non Hodgkin'S Lymphoma",43.47826087,Pending Manual Verification (FDA Label),
Trebananib,AMG386,Locally Recurrent And Metastatic Breast Cancer,10.90909091,Pending Manual Verification (FDA Label),
