antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Abagovomab,other,Whole mAb,Murine,MUC16/CA125,Phase-III,Menarini,,,,True,True
Abciximab,other,Fab,Chimeric,ITGA2B/CD41,Approved,Janssen Biologics BV;Eli Lilly,,Coronary artery restenosis;Unstable angina pectoris,Sequence sourced through DrugBank. Biosimilars available from ISU Abxis and Harvest Moon Pharmaceuticals,True,True
Amatuximab,other,Whole mAb,Chimeric,MSLN,Phase-II,Eisai Co Ltd;Morphotek;National Cancer Institute (USA),,,,True,True
Amulirafusp,other,Whole mAb Fusion,Chimeric,MS4A1/CD20,Phase-I/II,ImmuneOnco Biopharmaceuticals,Oncology,,,True,True
Andecaliximab,other,Whole mAb,Chimeric,MMP9/GELB,Phase-III,Gilead Sciences,,,,True,True
Anivovetmab,canine,Canine Whole mAb,Chimeric,Minor Capsid VP2 (Canine),Unknown,Kindred Biosciences,Canine parvovirus,,Chimeric: Rat/Dog,True,True
Anselamimab,other,Whole mAb,Chimeric,Light Chain Amyloid Fibrils,Phase-III,Caelum Biosciences,AA amyloidosis,,Oct '22: Amended target. Targets a conserved epitope across light chain amyloid fibrils: Am J Pathol. 2000;157(4):1239–46;Clin Cancer Res. 2003;9(10):3831S-3838S;Biochemistry. 2007;46(5):1240–7. Chimeric: Mouse/Human,True,True
Apamistamab,other,Whole mAb Radiolabelled,Murine,PTPRC/CD45,Phase-III,Actinium Pharmaceuticals;Fred Hutchinson Cancer Research Center,Acute myeloid leukaemia;Myelodysplastic syndromes;Precursor cell lymphoblastic leukaemia-lymphoma,,,True,True
Arcitumomab,other,Whole mAb,Murine,CEA/CEACAM,Approved (w),Immunomedics;Giliad Sciences,,Colorectal cancer,,True,True
Arumakimig,other,Bispecific mAb,Genetically human;Genetically human,IL18;IL1B,TBC,TBC,TBC,TBC,TBC,True,True
Atibuclimab,other,Whole mAb,Chimeric,CD14,Phase-II,ICOS Corporation;Implicit Bioscience,Acute lung injury;COVID-19,,,True,True
Basiliximab,other,Whole mAb,Chimeric,IL2RA/CD25,Approved,Cerimon Pharmaceuticals;Novartis,,Renal transplant rejection;Transplant rejection,,True,True
Bavituximab,other,Whole mAb,Chimeric,Phosphatidylserine,Phase-III,Avid Bioservices;IMV;Massachusetts General Hospital;Merck Sharp & Dohme;Peregrine Pharmaceuticals;University of Arizona;University of Texas Southwestern Medical Center;University of Texas M. D. Anderson Cancer Center,Non-small cell lung cancer;Glioblastoma;Liver cancer;Solid tumours,,,True,True
Bedinvetmab,canine,Canine Whole mAb,Genetically canine,NGFB (Canine),Approved,,Canine lupus familiaris,,June '22: Corrected FWL1 sequence,True,True
Begelomab,other,Whole mAb,Murine,DPP4/ADCP2/CD26,Phase-II/III,ADIENNE,Graft-versus-host disease,,,True,True
Benufutamab,other,Whole mAb,Chimeric,TNFRSF10B/CD262/DR5/TRAILR2,Phase-I/II,Genmab;VU University Medical Center;iDD Biotech,Solid tumours;Multiple myeloma,,Chimeric: Mouse/Human,True,True
Besufetamig,other,Bispecific mAb,Genetically human;Genetically human,PDCD1/CD279/PD1;CD3E,TBC,TBC,TBC,TBC,TBC,True,True
Bifikafusp,other,Whole mAb Fusion,,FN extracellular domain B,Preregistration,Philogen,Non-small cell lung cancer;Diffuse large B-cell lymphoma;[With onfekafusp] Malignant melanoma;[With onfekafusp] Basal cell cancer;[With onfekafusp] Squamous cell cancer;[With onfekafusp] Solid tumours,,Radretumab+Bifikafusp+Onfekafusp have identical V domains,True,True
