format,count
Whole mAb,56
Whole mAb Fusion,16
Whole mAb ADC,10
Bispecific mAb,6
Whole mAb Radiolabelled,6
Fusion Protein,5
Bispecific Mixed mAb and scFv,4
Fusion Protein (whole mAb with protein),3
Trispecific Mixed mAb and scFv; Bispecific entry,2
Whole mAb (Mouse),2
Fab Fusion,2
di-Fab Fusion,1
Fab,1
Fusion Protein (scFv fused to TCR Fab),1
Fusion Protein (Toxin fused to an scFv),1
Trispecific (G1(VH-CH1-h)-scFv_L-kappa-scFv); Bispecific entry,1
Dimerised heavy domain (VH-h-CH2-CH3-CHS dimer),1
Feline Whole mAb,1
Bispecific Mixed Domains (VH-G1CH1-h)-H-gamma1_L-kappa-L-kappa),1
Bispecific Tandem VH Domains fused to G1 Constant Domain,1
Single Domain Variable Fragment;L,1
Trispecific and Pentavalent (sc-5-VH); Monospecific entry,1
Fv Fusion,1
Single Domain Variable Fragment (VL) + Fc,1
Bispec Mixed Domains (Fv entry),1
Bispecific ((G1_L-kappa)_scFv-G1(h-CH2-CH3)),1
scFv Fusion,1
Bispecific Mixed Domains (H-gamma1_L-kappa-scFvhl),1
Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 1),1
Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 2),1
Fab Fusion Protein,1
