antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence,subcategory
Abagovomab,other,Whole mAb,Murine,MUC16/CA125,Phase-III,Menarini,,,,True,True,murine
Abciximab,other,Fab,Chimeric,ITGA2B/CD41,Approved,Janssen Biologics BV;Eli Lilly,,Coronary artery restenosis;Unstable angina pectoris,Sequence sourced through DrugBank. Biosimilars available from ISU Abxis and Harvest Moon Pharmaceuticals,True,True,chimeric
Amatuximab,other,Whole mAb,Chimeric,MSLN,Phase-II,Eisai Co Ltd;Morphotek;National Cancer Institute (USA),,,,True,True,chimeric
Amulirafusp,other,Whole mAb Fusion,Chimeric,MS4A1/CD20,Phase-I/II,ImmuneOnco Biopharmaceuticals,Oncology,,,True,True,fc_fusion
Andecaliximab,other,Whole mAb,Chimeric,MMP9/GELB,Phase-III,Gilead Sciences,,,,True,True,chimeric
Anselamimab,other,Whole mAb,Chimeric,Light Chain Amyloid Fibrils,Phase-III,Caelum Biosciences,AA amyloidosis,,Oct '22: Amended target. Targets a conserved epitope across light chain amyloid fibrils: Am J Pathol. 2000;157(4):1239–46;Clin Cancer Res. 2003;9(10):3831S-3838S;Biochemistry. 2007;46(5):1240–7. Chimeric: Mouse/Human,True,True,chimeric
Apamistamab,other,Whole mAb Radiolabelled,Murine,PTPRC/CD45,Phase-III,Actinium Pharmaceuticals;Fred Hutchinson Cancer Research Center,Acute myeloid leukaemia;Myelodysplastic syndromes;Precursor cell lymphoblastic leukaemia-lymphoma,,,True,True,radiolabelled
Arcitumomab,other,Whole mAb,Murine,CEA/CEACAM,Approved (w),Immunomedics;Giliad Sciences,,Colorectal cancer,,True,True,murine
Arumakimig,other,Bispecific mAb,Genetically human;Genetically human,IL18;IL1B,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Atibuclimab,other,Whole mAb,Chimeric,CD14,Phase-II,ICOS Corporation;Implicit Bioscience,Acute lung injury;COVID-19,,,True,True,chimeric
Basiliximab,other,Whole mAb,Chimeric,IL2RA/CD25,Approved,Cerimon Pharmaceuticals;Novartis,,Renal transplant rejection;Transplant rejection,,True,True,chimeric
