metric,value
N_total_heavy,53
N_total_light,53
heavy_out_of_library_rate,0.0000
light_out_of_library_rate,0.0000
top20_global_germlines_heavy,IGHV3-23*04(8); IGHV1-2*02(6); IGHV4-31*02(5); IGHV1-69*02(4); IGHV1-3*01(4); IGHV3-30*01(4); IGHV3-23*01(3); IGHV7-81*01(3); IGHV1-18*01(2); IGHV5-51*01(2); IGHV1-46*01(2); IGHV1-69*01(2); IGHV3-7*01(1); IGHV1-24*01(1); IGHV3-48*02(1); IGHV4-34*01(1); IGHV4-4*02(1); IGHV3-15*06(1); IGHV1-69*03(1); IGHV6-1*01(1)
top20_global_germlines_light,IGKV1-12*01(13); IGKV3-11*01(6); IGKV1-39*01(5); IGKV1-33*01(3); IGKV1-13*02(3); IGKV3-15*01(3); IGKV1-27*01(3); IGKV2-30*01(2); IGKV3-20*01(2); IGKV7-3*01(2); IGKV1-5*01(2); IGKV4-1*01(2); IGKV2-28*01(2); IGLV2-14*01(1); IGKV2-29*02(1); IGLV1-47*01(1); IGLV1-40*01(1); IGKV1-16*01(1)
top20_library_matches_heavy,IGHV3-23*01(16); IGHV1-46*01(12); IGHV4-59*01(7); IGHV1-69*01(7); IGHV1-2*01(4); IGHV5-51*01(2); IGHV1-18*01(2); IGHV3-7*01(1); IGHV4-39*01(1); IGHV3-21*01(1)
top20_library_matches_light,IGKV1-39*01(27); IGKV3-11*01(8); IGKV2-28*01(5); IGKV4-1*01(4); IGKV3-20*01(3); IGKV1-33*01(3); IGLV1-44*01(2); IGLV2-14*01(1)
delta_identity_distribution_heavy_p50,0.0125
delta_identity_distribution_heavy_p90,0.0750
delta_identity_distribution_heavy_p99,0.1845
delta_identity_distribution_light_p50,0.0000
delta_identity_distribution_light_p90,0.0506
delta_identity_distribution_light_p99,0.0881
list_top_out_of_library_global_germlines_heavy,
list_top_out_of_library_global_germlines_light,
