fc_isotype_primary,PDCD1,CD279,PD1,SARS-CoV-2 Spike RBD,PDL1,CD274,EGFR,ERBB1,HER1,CTLA4,CD152,MS4A1,CD20,TNFRSF5,CD40,APP,IL17A,C5,LAG3,CD223,Total
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1,8,8,10,19,11,11,14,11,11,11,11,11,11,8,12,7,7,5,1,1,188
G2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,0,4,0,0,11
G2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4,22,22,24,0,3,3,0,0,0,0,0,0,1,2,2,1,3,2,8,8,101
G4-G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Total,30,30,34,19,14,14,16,12,12,12,12,11,12,10,14,10,10,12,9,9,302
