antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Abagovomab,other,Whole mAb,Murine,MUC16/CA125,Phase-III,Menarini,,,,True,True
Amatuximab,other,Whole mAb,Chimeric,MSLN,Phase-II,Eisai Co Ltd;Morphotek;National Cancer Institute (USA),,,,True,True
Andecaliximab,other,Whole mAb,Chimeric,MMP9/GELB,Phase-III,Gilead Sciences,,,,True,True
Anselamimab,other,Whole mAb,Chimeric,Light Chain Amyloid Fibrils,Phase-III,Caelum Biosciences,AA amyloidosis,,Oct '22: Amended target. Targets a conserved epitope across light chain amyloid fibrils: Am J Pathol. 2000;157(4):1239–46;Clin Cancer Res. 2003;9(10):3831S-3838S;Biochemistry. 2007;46(5):1240–7. Chimeric: Mouse/Human,True,True
Arcitumomab,other,Whole mAb,Murine,CEA/CEACAM,Approved (w),Immunomedics;Giliad Sciences,,Colorectal cancer,,True,True
Atibuclimab,other,Whole mAb,Chimeric,CD14,Phase-II,ICOS Corporation;Implicit Bioscience,Acute lung injury;COVID-19,,,True,True
Basiliximab,other,Whole mAb,Chimeric,IL2RA/CD25,Approved,Cerimon Pharmaceuticals;Novartis,,Renal transplant rejection;Transplant rejection,,True,True
Bavituximab,other,Whole mAb,Chimeric,Phosphatidylserine,Phase-III,Avid Bioservices;IMV;Massachusetts General Hospital;Merck Sharp & Dohme;Peregrine Pharmaceuticals;University of Arizona;University of Texas Southwestern Medical Center;University of Texas M. D. Anderson Cancer Center,Non-small cell lung cancer;Glioblastoma;Liver cancer;Solid tumours,,,True,True
Begelomab,other,Whole mAb,Murine,DPP4/ADCP2/CD26,Phase-II/III,ADIENNE,Graft-versus-host disease,,,True,True
Benufutamab,other,Whole mAb,Chimeric,TNFRSF10B/CD262/DR5/TRAILR2,Phase-I/II,Genmab;VU University Medical Center;iDD Biotech,Solid tumours;Multiple myeloma,,Chimeric: Mouse/Human,True,True
Boserolimab,other,Whole mAb,,TNFRSF7/CD27,Phase-II,Bionovion;Merck Sharp & Dohme,Non-small cell lung cancer;Small cell lung cancer,,,True,True
Carotuximab,other,Whole mAb,Chimeric,ENG/CD105,Phase-II,National Cancer Institute (USA);Santen Pharmaceutical;TRACON Pharmaceuticals;University of Alabama at Birmingham;University of Minnesota;Roswell Park Cancer Institute,,,,True,True
Cetuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Approved,Array BioPharma;Bristol-Myers Squibb;Celldex Therapeutics Inc;Centre Jean Perrin;Eli Lilly;Merck KGaA;New York University School of Medicine;Novartis;Pierre Fabre;Roche;University Hospital Ghent;University of California;University of Heidelberg;University of Michigan Comprehensive Cancer Center,Non-small cell lung cancer;Bladder cancer;Breast cancer;Gastric cancer;Mesothelioma;Rectal cancer;Squamous cell cancer;Adenoid cystic carcinoma;Oesophageal cancer,Colorectal cancer;Head and neck cancer,Ficerafusp and Cetuximab have the same Fv sequence.,True,True
Coramitug,other,Whole mAb,Chimeric,Misfolded TTR,Phase-II,Neotope Biosciences;Novo Nordisk,Transthyretin-related hereditary amyloidosis;Cardiovascular disorders,,Chimeric: Mouse/Human,True,True
Cosfroviximab,other,Whole mAb,Chimeric,Zaire Ebolavirus Glycoprotein,Phase-II,Mapp Biopharmaceutical;Public Health Agency of Canada;National Institute of Allergy and Infectious Diseases,Ebola virus infections,,,True,True
Dafsolimab,other,Whole mAb,Murine,CD3E,Phase-III,Xenikos,Steroid-refractory acute graft-versus-host disease;Graft-versus-host disease,,ADC with setaritox,True,True
Devextinetug,other,Whole mAb,Chimeric,Metamphetamine,Phase-II,InterveXion Therapeutics;NIDA,Methamphetamine overdose,,,True,True
Dinutuximab,other,Whole mAb,Chimeric,Ganglioside GD2,Approved,National Cancer Institute (USA);New Approaches to Neuroblastoma Therapy Consortium;St. John of God Foundation;United Therapeutics Corporation,Small cell lung cancer,Neuroblastoma,,True,True
Docaravimab,other,Whole mAb (Mouse),Murine,Rabies Virus Strain ERA Glycoprotein Ectodomain Epitope G-III,Approved,Candila Healthcare,,Rabies,Mouse antibody,True,True
Ecromeximab,other,Whole mAb,Chimeric,GD3 ganglioside,Phase-II,Kyowa Hakko;Kyowa Kirin;Life Science Pharmaceuticals;Ludwig Institute for Cancer Research,,,,True,True
Edrecolomab,other,Whole mAb,Murine,EPCAM/CD326,Approved (w),Ajinomoto;Centocor Inc,,Colorectal cancer,,True,True
Elipovimab,other,Whole mAb,Genetically human,HIV-1 gp120,Phase-I,Gilead Sciences,,,,True,True
Ensituximab,other,Whole mAb,Chimeric,MUC5AC,Phase-II,Neogenix Oncology;Duke University Medical Center;H. Lee Moffitt Cancer Center and Research Institute;Johns Hopkins Medical Institutions;Montefiore Medical Center;National Cancer Institute (USA);Precision Biologics;University of North Carolina;University of Texas Southwestern Medical Center;Yale University School of Medicine,Colorectal cancer;Pancreatic cancer,,,True,True
Futuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Phase-III,Symphogen;Merck,Colorectal cancer;Glioma;Non-small cell lung cancer,,,True,True
Galiximab,other,Whole mAb,Chimeric,B7/CD80/CD28LG,Phase-II,Biogen;Biogen Idec,,,,True,True
Grisnilimab,other,Whole mAb,Murine,CD7,Phase-I/II,Xenikos,Steroid-refractory acute graft-versus-host disease;Graft-versus-host disease,,,True,True
Ibritumomab,other,Whole mAb,Murine,MS4A1/CD20,Approved,Biogen;Schering;Spectrum Pharmaceuticals,,Non-Hodgkin's lymphoma,Sequence sourced through DrugBank. ADC with tiuxetan,True,True
Infliximab,other,Whole mAb,Chimeric,TNF/TNFA,Approved,Centocor;Janssen Biotech;Merck & Co;Mitsubishi Tanabe Pharma Corporation;National Jewish Medical and Research Center;Xian-Janssen,,Ankylosing spondylitis;Behcet's syndrome;Crohn's disease;Mucocutaneous lymph node syndrome;Plaque psoriasis;Psoriasis;Psoriatic arthritis;Rheumatoid arthritis;Ulcerative colitis,Danvilostomig Fv1;Ipilimumab; Sovipostobart; and Tazlestobart all have the same sequence. Likely biosimilars.,True,True
Inlecitug,other,Whole mAb,Chimeric,KDR/CD309/VEGFR2,TBC,TBC,TBC,TBC,TBC,True,True
Isatuximab,other,Whole mAb,Chimeric,ADPRC1/CD38,Approved,ImmunoGen;Huntsman Cancer Institute;Roche;Sanofi,Acute myeloid leukaemia;Precursor cell lymphoblastic leukaemia-lymphoma;Colorectal cancer;Diffuse large B cell lymphoma;Hodgkin's disease;Solid tumours;Urogenital cancer,Multiple myeloma,,True,True
Larcaviximab,other,Whole mAb,Chimeric,Zaire Ebolavirus Glycoprotein,Phase-II,Mapp Biopharmaceutical;Public Health Agency of Canada;National Institute of Allergy and Infectious Diseases,Ebola virus infections,,,True,True
Lemalesomab,other,Whole mAb,Murine,NCA90/p95,Phase-I,ND,,,,True,True
Lumiliximab,other,Whole mAb,Chimeric,FCER2/CD23,Phase-II,Biogen Idec,,,Lumiliximab and Gomiliximab are the same mAb,True,True
Margetuximab,other,Whole mAb,Chimeric,ERBB2/CD340/HER2,Approved,Raven biotechnologies;GC Pharma;Green Cross;MacroGenics;Merck Sharp & Dohme,Gastric cancer;Oesophageal cancer,Breast cancer,,True,True
Miromavimab,other,Whole mAb (Mouse),Murine,Rabies Virus Strain ERA Glycoprotein Ectodomain Epitope G-II,Approved,Candila Healthcare,,Rabies,,True,True
Mirzotamab,other,Whole mAb,Chimeric,B7H3/CD276,Phase-I,AbbVie,,,Chimeric: Mouse/Human. ADC with clezutoclax,True,True
Modotuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Phase-III,Symphogen;Merck,Colorectal cancer;Glioma;Non-small cell lung cancer,,Modotuximab is the new name for Zatuximab (PL110),True,True
Muromonab,other,Whole mAb,Murine,CD3E,Approved (withdrawn),Cancer Research UK;Ortho-McNeil;XOMA,,,LC IMGT 127 is N not K as in Jain paper.,True,True
Netakimab,other,Whole mAb,Chimeric,IL17A,Approved,CJSC Biocad,Ankylosing spondylitis;Psoriatic Arthritis;Primary biliary cirrhosis,Plaque psoriasis,Chimeric: Llama/Human,True,True
Obiltoxaximab,other,Whole mAb,Chimeric,Anthrax Protective Antigen,Approved,Elusys Therapeutics,,Anthrax,,True,True
Porgaviximab,other,Whole mAb,Chimeric,Zaire Ebolavirus Glycoprotein,Phase-II,Mapp Biopharmaceutical;Public Health Agency of Canada;National Institute of Allergy and Infectious Diseases,,,,True,True
Pritoxaximab,other,Whole mAb,Chimeric,Shiga Toxin Type 1,Phase-II,Sunol Molecular Corporation;Uniformed Services University of the Health Sciences;BELLUS Health;Taro Pharmaceuticals Inc,,,,True,True
Racotumomab,other,Whole mAb,Murine,Idiotope of anti-NeuGc-ganliosides,Approved,Center of Molecular Immunology;Elea;Innogene Kalbiotech;Recombio,Neuroblastoma,Non-small cell lung cancer,,True,True
Riltovetbart,other,Whole mAb,,IL31 (Canine),Unknown,TBC,Canine Lupus,,,True,True
Ripertamab,other,Whole mAb,Chimeric,MS4A1/CD20,Approved,Sinocelltech,Non-Hodgkin's lymphoma,Diffuse Large B cell Lymphoma,Likely to be a Rituximab biosimilar,True,True
Rituximab,other,Whole mAb,Chimeric,MS4A1/CD20,Approved,Biogen;Biogen Idec;Cedars-Sinai Medical Center;Chugai Pharmaceutical;Genentech;Hackensack University Medical Center;Hoosier Cancer Research Network;Janssen Research & Development;M. D. Anderson Cancer Center;Mayo Clinic;Nagoya University;Oregon Health & Science University;Roche;SCRI Development Innovations;Takeda Oncology;University of Gottingen;University of Texas M. D. Anderson Cancer Center;University of Tours;Zenyaku Kogyo,Mantle-cell lymphoma;Transplant rejection;Neuromyelitis optica;B-cell lymphoma;Chronic inflammatory demyelinating polyradiculoneuropathy;Glomerulonephritis;Precursor cell lymphoblastic leukaemia-lymphoma;Renal transplant rejection,Chronic lymphocytic leukaemia;Diffuse large B cell lymphoma;Follicular lymphoma;Idiopathic thrombocytopenic purpura;Lymphoproliferative disorders;Microscopic polyangiitis;Nephrotic syndrome;Non-Hodgkin's lymphoma;Pemphigus vulgaris;Rheumatoid arthritis;Wegener's granulomatosis,Biosimilars available,True,True
Setoxaximab,other,Whole mAb,Chimeric,Shiga Toxin Type 2,Phase-II,Sunol Molecular Corporation;Uniformed Services University of the Health Sciences;BELLUS Health;Taro Pharmaceuticals Inc,,,,True,True
Siltuximab,other,Whole mAb,Chimeric,IL6,Approved,Centocor Inc;Janssen Biotech;Memorial Sloan-Kettering Cancer Center,Multiple myeloma,Giant lymph node hyperplasia,,True,True
Suciraslimab,other,Whole mAb,Chimeric,SIGLEC2/CD22,Preregistration,Lonn Ryonn Pharma; SinoMab Bioscience Ltd,Rheumatoid arthritis;Non-Hodgkin's lymphoma;Systemic lupus erythematosus;Sjogren's syndrome,,,True,True
Tegoprubart,other,Whole mAb,Chimeric,CD40LG/CD154,Phase-II,ALS Therapy Development Institute;Eledon Pharmaceuticals,Allotransplant rejection;Amyotrophic lateral sclerosis;IgA nephropathy;Renal transplant rejection;Autoimmune disorders,,Same Fv sequence as Ruplizumab,True,True
Teneliximab,other,Whole mAb,Chimeric,TNFRSF5/CD40,Phase-II,Bristol-Myers Squibb,Cancer,,,True,True
Tomuzotuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Phase-II,Glycotope,Head and neck cancer;Colorectal cancer;Gastric cancer;Non-small cell lung cancer;Renal cancer;Solid tumours,,Cetuximab biobetter,True,True
Ublituximab,other,Whole mAb,Chimeric,MS4A1/CD20,Approved,LFB Biotechnologies;rEVO Biologics;Johns Hopkins University;TG Therapeutics Inc,Chronic lymphocytic leukaemia;Diffuse large B cell lymphoma;Follicular lymphoma;Mantle-cell lymphoma;Non-Hodgkin's lymphoma,Multiple sclerosis,Rituximab biobetter,True,True
Veligrotug,other,Whole mAb,Chimeric,IGF1R/CD221,Phase-III,ImmunoGen;sanofi-aventis;Viridian Therapeutics;Zenas BioPharma,Graves ophthalmopathy,,,True,True
Vilobelimab,other,Whole mAb,Chimeric,C5,Approved,InflaRX,Hidradenitis suppurativa;Inflammation;Microscopic polyangiitis;Pyoderma gangrenosum;Sepsis;Systemic inflammatory response syndrome;Squamous cell cancer,COVID-19 pneumonia,,True,True
Volociximab,other,Whole mAb,Chimeric,ITGA5B1,Phase-II,Abbott Biotherapeutics Corp;Biogen Idec;IVERIC bio;National Cancer Institute (USA);PDL BioPharma,,,,True,True
Zolbetuximab,other,Whole mAb,Chimeric,CLDN18,Approved,Ganymed Pharmaceuticals,Oesophageal cancer;Pancreatic cancer,Gastric cancer,Zolbetuximab and Claudiximab are the same mAb,True,True
Zuberitamab,other,Whole mAb,Chimeric,MS4A1/CD20,Phase-II,Zhejiang Hisun Pharmaceutical,,,Rituximab biosimilar,True,True
Zinlirvimab,felinised,Whole mAb,Genetically human,HIV-1 gp120 V3,Phase-II,Gilead,HIV-1 infections;AIDS,,Fully human mAb; anti-HIV-1 gp120 V3; misclassified as feline in source data (no animal Fc). Moved from pet_antibody_atlas.,True,True
