antibody_id,strategy_group,fr23_delta_hu_alp
Brivekimig2,BM,0.0181818181818181
Enristomig,BM,0.0363636363636362
Gefurulimab,BM,0.0181818181818181
Gocatamig2,BM,0.0181818181818181
Letolizumab,BM,0.0363636363636363
Ozekibart,BM,0.0181818181818181
Porustobart,BM,0.0909090909090909
Tarperprumig,BM,0.0181818181818181
Brivekimig1,Native,-0.0727272727272726
Isecarosmab,Native,-0.0545454545454544
Podentamig1,Native,-0.0363636363636362
Sonelokimab1,Native,-0.0181818181818181
Caplacizumab,SR,-0.0363636363636362
Envafolimab,SR,0.0
Erfonrilimab,SR,0.0
Ozoralizumab,SR,0.0
Rimteravimab,SR,-0.0727272727272727
Sonelokimab2,SR,-0.0181818181818181
Vobarilizumab,SR,0.0
