antibody_id,strategy_group,hp_max9
Brivekimig2,BM,0.5555555555555556
Enristomig,BM,0.6666666666666666
Gefurulimab,BM,0.8888888888888888
Gocatamig2,BM,0.7777777777777778
Letolizumab,BM,0.6666666666666666
Ozekibart,BM,0.7777777777777778
Porustobart,BM,0.7777777777777778
Tarperprumig,BM,0.8888888888888888
Brivekimig1,Native,0.7777777777777778
Isecarosmab,Native,0.7777777777777778
Podentamig1,Native,0.5555555555555556
Sonelokimab1,Native,0.6666666666666666
Caplacizumab,SR,0.7777777777777778
Envafolimab,SR,0.6666666666666666
Erfonrilimab,SR,0.6666666666666666
Ozoralizumab,SR,0.7777777777777778
Rimteravimab,SR,0.7777777777777778
Sonelokimab2,SR,0.6666666666666666
Vobarilizumab,SR,0.7777777777777778
