antibody_id,strategy_group,clinical_stage,fusion_module
Brivekimig2,BM,Phase 2,None
Enristomig,BM,Phase 1/2,None
Gefurulimab,BM,Phase 3,HSA
Gocatamig2,BM,Phase 1,None
Letolizumab,BM,Discontinued,None
Ozekibart,BM,Phase 1,None
Porustobart,BM,Phase 1,None
Tarperprumig,BM,Phase 1,None
Brivekimig1,Native,Phase 2,None
Isecarosmab,Native,Preclinical/Early,None
Podentamig1,Native,Phase 1,HSA
Sonelokimab1,Native,Phase 3,HSA
Caplacizumab,SR,Approved,None
Envafolimab,SR,Approved,None
Erfonrilimab,SR,Phase 2,None
Ozoralizumab,SR,Approved,HSA
Rimteravimab,SR,Stalled,None
Sonelokimab2,SR,Phase 3,HSA
Vobarilizumab,SR,Discontinued,HSA
