sequence_id,sequence_length,imgt_success,kabat_success,FR1_len,CDR1_len,FR2_len,CDR2_len,FR3_len,coverage_imgt_1_104,coverage_imgt_1_117,failure_classification
NW_001876796|IGHV1-41*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV1-5*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV1-70*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
NW_001876796|IGHV1-70*02|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
NW_019646341|IGHV1-70*03|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV1-84*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV2-63*01|Equus,100,True,True,25,10,17,7,38,0.9327,0.8547,truncated_before_104
IMGT000040|IGHV2-77*01|Equus,99,True,True,25,9,17,7,38,0.9231,0.8462,truncated_before_104
IMGT000040|IGHV3-58*01|Equus,83,True,True,11,8,17,7,38,0.7788,0.7094,truncated_before_104
IMGT000040|IGHV3-60*01|Equus,92,True,True,11,8,17,8,38,0.7885,0.7179,truncated_before_104
IMGT000040|IGHV3-62*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV3-69*01|Equus,95,True,True,25,8,17,7,36,0.8942,0.812,truncated_before_104
NW_001876796|IGHV3-69*02|Equus,95,True,True,25,8,17,7,36,0.8942,0.812,truncated_before_104
IMGT000040|IGHV3-78*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV3-9*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-10*01|Equus,96,True,True,24,10,16,7,37,0.9038,0.8205,truncated_before_104
IMGT000040|IGHV4-11*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV4-17*01|Equus,100,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
NW_001876796|IGHV4-17*02|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-20*01|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
NW_001876796|IGHV4-20*02|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-20D*01|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-20N*01|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-21*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV4-22*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV4-29*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
NW_001876796|IGHV4-29*02|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
