canonical_id,display_name,origin_tags,in_natural_master_384,in_natural_cmc_384,in_engineered_master_458,in_abref458_27m_458,in_842_combined,in_frozen_abref458,in_frozen_natural384,vh_seq_hash,vl_seq_hash,vh_seq_consistent,vl_seq_consistent,anomalies,vh_germline,vl_germline
abelacimab,Abelacimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,772b7899d170,81211c42e48c,True,True,,IGHV3-23*01,IGKV3-20*02
abrilumab,Abrilumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,606f97827b08,0dad1d7f9640,True,True,,IGHV1-24*01,IGKV1-12*01
acrixolimab,Acrixolimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,79d37936af3e,87aa50ee64eb,True,True,,IGHV3-30*01,IGKV2-40*01
actoxumab,Actoxumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,f083dc878a83,3883d088e148,True,True,,IGHV3-33*01,IGKV1-12*01
adakitug,Adakitug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7e3939d9adb6,b2ff9e3ba69c,True,True,,IGHV3-33*01,IGKV3-20*02
adalimumab,Adalimumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7099defb1c58,ed41b7fa04ee,True,True,,IGHV3-9*01,IGKV1-27*01
adecatumumab,Adecatumumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7455195fd001,bdf8263a2a2e,True,True,,IGHV3-30*18,IGKV1-39*01
adezkibart,Adezkibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,106c007b0c79,d07aa41c94f0,True,True,,IGHV1-69*01,IGKV3D-20*02
adintrevimab,Adintrevimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,494bccafef03,f8f555e8e055,True,True,,IGHV3-21*07,IGKV2/OR22-4*01
aducanumab,Aducanumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b627832d5115,803366b741af,True,True,,IGHV3-33*01,IGKV1-39*01
