antibody_id,origin,pdb_path,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total,structure_errors,canonical_H1,canonical_H2,canonical_H3,canonical_L1,canonical_L2,canonical_L3,sequence_errors,pI,GRAVY,instability_index,net_charge_pH7,hydro_patch_max9,charge_patch_max7,agg_motifs,deamidation_sites,isomerization_sites,cmc_flags,immuno_risk_level,immuno_tcia_score,immuno_n_high,immuno_n_medium,immuno_n_tolerated,immuno_n_clusters,total_cdr_length,psh,ppc,pnc,sfvcsp
Abazistobart,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abazistobart.pdb,87.28083417406727,65,4.71221197189245,2.5336875915527344,460.487350887263,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.66,-0.255,47.5,3.1,0.556,3.0,0,3,0,,HIGH,0.7567,32,2,28,3,62,385.16,3.0,1.0,6.0
Abiprubart,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abiprubart.pdb,86.12334350011254,58,4.680586792453153,2.05556058883667,575.222826708811,,H1-10-1,H2-16-?,H3-5,L1-10-1,L2-7-1,L3-9,,8.78,-0.453,50.0,4.0,0.556,3.0,0,0,0,,HIGH,0.6497,29,9,25,5,58,298.94,4.0,1.0,0.4
Abituzumab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abituzumab.pdb,82.37910445079869,65,4.73282033518741,2.8955745697021484,537.5447884074545,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.78,-0.42,40.8,0.9,0.667,3.0,1,0,0,hydro_patch_moderate (0.67),HIGH,0.5836,21,20,25,5,63,317.47,2.0,1.0,-3.1
Abrezekimab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abrezekimab.pdb,84.47507501874341,95,4.620617084178446,1.601601243019104,495.7916030885641,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.83,-0.221,27.7,-1.2,0.778,3.0,0,2,2,hydro_patch_high (0.78),HIGH,0.6434,19,5,40,4,65,324.53,2.0,4.0,0.2
Adebrelimab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Adebrelimab.pdb,77.88678122422911,71,4.681173166266423,2.6926941871643066,532.9458868436867,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.06,-0.422,41.3,0.1,0.667,3.0,0,1,0,hydro_patch_moderate (0.67),HIGH,0.653,17,7,35,5,68,455.96,3.0,4.0,-1.6
Adimanebart,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Adimanebart.pdb,88.44076578468815,88,4.608368346711251,1.0054962635040283,553.6610252026823,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.262,35.7,0.9,0.778,4.0,0,2,1,hydro_patch_high (0.78),HIGH,0.6875,10,1,63,4,72,1159.04,2.0,1.0,-5.7
Alacizumab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Alacizumab.pdb,87.836209518903,58,4.711153704288939,2.2298583984375,521.3433215125315,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.34,-0.225,45.9,1.8,0.556,3.0,0,1,2,,HIGH,0.6683,17,8,52,4,62,461.45,1.0,2.0,0.0
Alemtuzumab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Alemtuzumab.pdb,81.99304697101933,79,4.703817378216927,2.369065046310425,479.9473156434003,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.14,-0.386,40.2,5.9,0.556,3.0,0,0,0,,HIGH,0.7431,40,4,19,4,66,291.13,5.1,2.0,16.81
Aletekitug,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Aletekitug.pdb,82.45096026320981,86,4.55860645123991,1.638128399848938,560.5790399913544,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.55,-0.442,43.4,-2.2,0.556,4.0,0,0,3,,HIGH,0.6973,23,9,31,4,71,542.39,3.0,5.0,-4.0
Alpitatug,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Alpitatug.pdb,78.56802351391035,72,4.702588360421609,1.4076496362686157,539.4567590784353,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.77,-0.303,28.8,0.8,0.556,2.0,0,1,1,,HIGH,0.7251,24,3,43,4,66,272.05,2.0,1.0,0.0
Amdokitug,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Amdokitug.pdb,86.76766204438451,53,4.755340543511796,2.6982004642486572,475.64490188631527,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.35,-0.354,40.3,1.9,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7619,11,1,44,4,60,229.36,4.0,1.0,3.3
Amtabafusp,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Amtabafusp.pdb,89.87482489170374,83,4.496501929919516,0.6005469560623169,463.44637642877416,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.02,-0.239,38.0,5.1,0.556,4.0,0,2,2,,HIGH,0.4547,7,22,30,5,73,685.21,5.1,2.0,8.61
Anrukinzumab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Anrukinzumab.pdb,81.72870906366354,77,4.5902040488943605,0.815462589263916,506.11217739657195,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.85,-0.304,41.1,-0.1,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7778,16,1,51,4,67,613.14,3.0,4.0,0.0
Anvatabart,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Anvatabart.pdb,83.95420399348158,71,4.707819249531994,2.683919906616211,495.2073035069108,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.61,-0.334,40.7,3.0,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7327,31,4,32,5,65,365.35,3.1,2.0,6.2
Aplitabart,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Aplitabart.pdb,84.22723473951645,71,4.582785334278955,0.57036292552948,437.6933905624576,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.83,-0.3,38.1,3.9,0.667,3.0,1,1,2,hydro_patch_moderate (0.67),HIGH,0.7444,16,1,49,4,63,300.8,3.0,2.0,8.2
Armocibart,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Armocibart.pdb,75.07294435630509,79,4.623646365571346,0.9073113203048706,553.1029474477108,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.79,-0.318,37.6,-0.2,0.556,3.0,1,0,2,,HIGH,0.6319,22,7,30,3,71,259.95,2.0,4.0,0.2
Aselizumab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Aselizumab.pdb,82.7743147696323,64,4.755208526639377,2.8347036838531494,509.04385406503667,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.76,-0.39,43.7,-5.2,0.667,3.0,0,1,4,pI_unusually_low (4.76); hydro_patch_moderate (0.67),HIGH,0.7154,13,1,52,4,65,183.11,1.0,4.0,-0.0
Atezolizumab,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Atezolizumab.pdb,87.13257874349071,69,4.68634541589509,1.9547312259674072,503.3305811541539,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.232,40.5,1.1,0.667,3.0,0,1,2,hydro_patch_moderate (0.67),HIGH,0.8025,15,0,41,5,63,450.98,2.2,1.0,2.31
Avitotamig,engineered_458,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Avitotamig.pdb,80.44912737960692,60,4.7561706959664285,2.6762101650238037,576.3564979067945,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.54,-0.379,42.4,2.8,0.556,3.0,1,0,0,,HIGH,0.6877,35,3,28,5,63,355.95,2.0,2.0,3.1
