antibody_name,class_evidence_tier,ada_value_display,verification_status,manual_check_reason,manual_check_urls,suggested_action,evidence_source,citation_urls,pmids_extracted
Belimumab,B,"4.8% (1 mg/kg dose), 0.7% (10 mg/kg dose, potentially underestimated)",unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,
Bimagrumab,A,4.0%,unverified_clinical_trial_or_ema_source,investigational; no FDA approval; ADA 4% from clinical trial,https://pubmed.ncbi.nlm.nih.gov/?term=bimagrumab+immunogenicity;https://clinicaltrials.gov/search?term=bimagrumab,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40580805/,40580805
Brentuximab,A,"7% (persistently positive antibodies), 30% (transiently positive antibodies)",unverified_clinical_trial_or_ema_source,FDA label PDF — open Section 6.2 to read 7% / 30%,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125388s099lbl.pdf;https://www.rxlist.com/adcetris-drug.htm,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,FDA标签验证升级,https://www.rxlist.com/adcetris-drug.htm;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125388s099lbl.pdf,
Budigalimab,A,1.80%,unverified_clinical_trial_or_ema_source,investigational ABBV-181; ADA 1.8% from phase-I PMC full text needed,https://pubmed.ncbi.nlm.nih.gov/?term=budigalimab+ABBV-181+immunogenicity,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/41054153/,41054153
Caplacizumab,B,3% ADA incidence in main trial (range: 2.8%-9% across studies),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.nejm.org/doi/full/10.1056/NEJMoa1806311,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa1806311,
Crizanlizumab,B,0% ADA in main trial (no detectable antibody response); 1.6% (1/61) in healthy subject study,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,
Daratumumab,B,0% (no ADA detected in two monotherapy trials),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,
Dinutuximab,B,Overall ADA incidence: 16.8-57.1% across studies; Neutralizing antibodies: 3.6-63.5% of ADA-positive patients,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.oncologynewscentral.com/drugs/monograph/168737-316005/dinutuximab-intravenous,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/168737-316005/dinutuximab-intravenous,
Dupilumab,B,7.61% ADA incidence in dupilumab studies; Neutralizing antibodies: 0.00% to 10.74%,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf;https://www.jaci-inpractice.org/article/S2213-2198(23,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf;https://www.jaci-inpractice.org/article/S2213-2198(23,
Ebronucimab,B,12.5% ADA incidence (3/24 subjects) in healthy volunteer phase I study,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,
Ecromeximab,A,1.80%,unverified_clinical_trial_or_ema_source,abandoned; 1.8% from PMID 28489678 full text needed,https://pubmed.ncbi.nlm.nih.gov/28489678/,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/28489678/,28489678
Eculizumab,B,<2% detection rate (clinical trials),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.drugs.com/monograph/eculizumab.html,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.drugs.com/monograph/eculizumab.html,
Elezanumab,A,2.0%,unverified_clinical_trial_or_ema_source,AbbVie investigational; 2% from PMID 38191982 full text needed,https://pubmed.ncbi.nlm.nih.gov/38191982/,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/38191982/,38191982
Elotuzumab,B,"15% (NEJM), 18.5% (Springer), ~15-40% depending on regimen",unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,
Enuzovimab,A,1.50%,unverified_clinical_trial_or_ema_source,Chinese COVID antibody HFB30132A; 1.5% from PMID 39793935 full text,https://pubmed.ncbi.nlm.nih.gov/39793935/,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/39793935/,39793935
Etaracizumab,A,5.0%,unverified_clinical_trial_or_ema_source,abandoned MEDI-522; 5% from PMID 17390341 full text needed,https://pubmed.ncbi.nlm.nih.gov/17390341/,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/17390341/,17390341
Evolocumab,B,0.1% (7/4846 subjects),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,Open URL with institutional access and search Section 6.2 Immunogenicity,FDA标签验证升级,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,
Exidavnemab,A,7.00%,unverified_clinical_trial_or_ema_source,phase-I BAN0805; 7% from PMID 39105497 PMC full text needed,https://pubmed.ncbi.nlm.nih.gov/39105497/,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/39105497/,39105497
Fulranumab,A,6.0%,unverified_clinical_trial_or_ema_source,abandoned; 6% from PMID 24590506 full text needed,https://pubmed.ncbi.nlm.nih.gov/24590506/,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/24590506/,24590506
