record_id,antibody_name,evidence_tier,ada_status,ada_value_display,canonical_provenance,evidence_quality,skip_automatic_ada_expansion,citation_urls,pmids_extracted,data_record_key
inn:abatacept,Abatacept,B,incidence_reported,4.8% (187/3877 patients),reliable_merged_108,high,True,https://www.reumatologiaclinica.org/en-abatacept-mechanism-action-concordance-with-articulo-S2173574312000081,,abatacept
inn:abciximab,Abciximab,A,incidence_reported,3.1%,reliable_merged_108,low,True,https://www.drugs.com/sfx/abciximab-side-effects.html,15987447,abciximab
inn:adalimumab,Adalimumab,A,incidence_reported,30%,reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125057s423lbl.pdf,,adalimumab
inn:aducanumab,Aducanumab,A,incidence_reported,0.4%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33361324/,33361324,aducanumab
inn:alemtuzumab,Alemtuzumab,A,incidence_reported,"BAbs 85%, NAbs 78% within 24 months",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC7034358/,,alemtuzumab
inn:anakinra,Anakinra,B,incidence_reported,"17.8% overall ADA, 3.7% neutralizing antibodies (up to 49% in some reports)",reliable_merged_108,medium_high,True,https://www.medpagetoday.com/rheumatology/generalrheumatology/91319,,anakinra
inn:anifrolumab,Anifrolumab,A,incidence_reported,"5.1% for anifrolumab 300 mg, 2.0% for anifrolumab 1,000 mg (vs 3% placebo)",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC5299497/,,anifrolumab
inn:astegolimab,Astegolimab,A,incidence_reported,8.0%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/41163220/,41163220,astegolimab
inn:atezolizumab,Atezolizumab,A,incidence_reported,"30% average ADA (range 13-54%), ~15% NAb (range 4.3-27.5%)",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8742635/,,atezolizumab
inn:atoltivimab,Atoltivimab,B,incidence_reported,80%,reliable_merged_108,high,True,https://api.fda.gov/drug/label.json,,atoltivimab
inn:axatilimab,Axatilimab,B,incidence_reported,16.3%,reliable_merged_108,high,True,https://api.fda.gov/drug/label.json,,axatilimab
