sequence_id,sequence_length,imgt_success,kabat_success,FR1_len,CDR1_len,FR2_len,CDR2_len,FR3_len,coverage_imgt_1_104,coverage_imgt_1_117,failure_classification
IMGT000014|IGHV1-1*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-10*01|Gallus,101,True,True,12,8,17,8,38,0.7981,0.7521,truncated_before_104
IMGT000014|IGHV1-11*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-12*01|Gallus,99,True,True,25,8,16,8,38,0.9135,0.8462,truncated_before_104
IMGT000014|IGHV1-13*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-14*01|Gallus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
IMGT000014|IGHV1-15*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-16*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-17*01|Gallus,100,True,True,12,8,16,8,38,0.7885,0.7265,truncated_before_104
IMGT000014|IGHV1-18*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-19*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-2*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-20*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-21*01|Gallus,100,True,True,8,8,17,8,38,0.7596,0.7094,truncated_before_104
M30325|IGHV1-21*02|Gallus,81,False,False,0,0,0,0,0,0.0,0.0,numbering_fail_empty
IMGT000014|IGHV1-22*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-23*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-25*01|Gallus,101,True,True,8,8,17,8,38,0.7596,0.7179,truncated_before_104
IMGT000014|IGHV1-26*02|Gallus,100,True,True,25,8,17,7,38,0.9135,0.8547,truncated_before_104
IMGT000014|IGHV1-28*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-28N*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-3*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000007|IGHV1-30*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-30*02|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-30D*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-30N*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-31*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-32*02|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-34*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8462,truncated_before_104
IMGT000014|IGHV1-35*01|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
M30323|IGHV1-35*02|Gallus,100,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-36*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
M30322|IGHV1-36*02|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-38*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-39*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-4*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-40*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8632,truncated_before_104
IMGT000014|IGHV1-41*01|Gallus,101,True,True,25,8,17,8,38,0.9231,0.8547,truncated_before_104
IMGT000014|IGHV1-42*01|Gallus,102,True,True,25,9,17,8,38,0.9327,0.8718,truncated_before_104
