metric,value
N_total_heavy,333
N_total_light,333
heavy_out_of_library_rate,0.0060
light_out_of_library_rate,0.0060
top20_global_germlines_heavy,IGHV1-46*01(38); IGHV3-23*04(37); IGHV1-69*02(34); IGHV3-7*01(22); IGHV1-3*01(18); IGHV4-4*08(16); IGHV1-2*02(16); IGHV3-48*01(13); IGHV1-69*01(13); IGHV1-18*01(11); IGHV7-81*01(11); IGHV3-23*01(10); IGHV5-51*01(7); IGHV3-30*01(7); IGHV1-24*01(7); IGHV3-72*01(5); IGHV3-15*07(5); IGHV3-66*01(5); IGHV3-21*01(5); IGHV1-8*01(4)
top20_global_germlines_light,IGKV1-39*01(49); IGKV1-12*01(44); IGKV4-1*01(34); IGKV3-11*01(32); IGKV2-28*01(27); IGKV1-33*01(23); IGKV1-13*02(13); IGKV1-27*01(12); IGKV1-5*01(11); IGKV3-20*01(10); IGKV2-29*02(9); IGKV2-30*01(8); IGKV1-9*01(8); IGKV1-16*01(8); IGKV3-15*01(7); IGKV7-3*01(6); IGKV6-21*01(6); IGKV6-21*02(4); IGKV1-17*01(3); IGKV3-7*02(2)
top20_library_matches_heavy,IGHV1-46*01(85); IGHV3-23*01(69); IGHV1-69*01(48); IGHV3-7*01(44); IGHV4-59*01(31); IGHV1-2*01(14); IGHV1-18*01(12); IGHV3-21*01(11); IGHV4-39*01(10); IGHV5-51*01(7); IGHV3-11*01(2)
top20_library_matches_light,IGKV1-39*01(158); IGKV2-28*01(48); IGKV3-11*01(47); IGKV4-1*01(39); IGKV1-33*01(21); IGKV3-20*01(11); IGLV1-44*01(6); IGLV3-1*01(2); IGLV2-14*01(1)
delta_identity_distribution_heavy_p50,0.0125
delta_identity_distribution_heavy_p90,0.0625
delta_identity_distribution_heavy_p99,0.2875
delta_identity_distribution_light_p50,0.0000
delta_identity_distribution_light_p90,0.0506
delta_identity_distribution_light_p99,0.2663
list_top_out_of_library_global_germlines_heavy,IGHV3-30*01(1); IGHV3-15*01(1)
list_top_out_of_library_global_germlines_light,IGLV6-57*01(1); IGLV3-31*01(1)
