antibody_id,strategy,strategy_group,clinical_status,target,human_identity,h2_class,fr23_delta_hu_alp,B_total_1pct,B_total_2pct,B_breadth_1pct,min_rank,score,risk_tier,hp_max9,cp_max7,ngly_count,extra_cys_flag
Brivekimig2,BM (Grafting),BM,Phase 2,TNF x OX40L,0.925,H2-10-1,0.0181818181818181,6,12,3,0.34,91,Low,0.5555555555555556,2,0,0
Enristomig,BM (Grafting),BM,Phase 1/2,PD-L1 x 4-1BB,0.875,H2-9-1,0.0363636363636362,15,28,4,0.06,84,Low,0.6666666666666666,2,0,0
Gefurulimab,BM (Grafting),BM,Phase 3,C5 x HSA,0.9,H2-9-1,0.0181818181818181,17,30,5,0.06,73,Medium,0.8888888888888888,2,0,0
Gocatamig2,BM (Grafting),BM,Phase 1,DLL3/CD3?,0.8625,H2-9-1,0.0181818181818181,26,44,8,0.03,70,Medium,0.7777777777777778,3,0,0
Letolizumab,BM (Grafting),BM,Discontinued/Stalled,CD40L,0.9625,H2-10-1,0.0363636363636363,17,28,4,0.06,85,Low,0.6666666666666666,2,0,0
Ozekibart,BM (Grafting),BM,Phase 1,DR5 (TNFRSF10B),0.8875,H2-10-1,0.0181818181818181,12,26,4,0.1,80,Low,0.7777777777777778,2,0,0
Porustobart,BM (Grafting),BM,Phase 1,CTLA-4,0.975,H2-9-1,0.0909090909090909,10,21,3,0.06,81,Low,0.7777777777777778,2,0,0
Tarperprumig,BM (Grafting),BM,Phase 1,Properdin,0.9,H2-9-1,0.0181818181818181,17,30,5,0.06,73,Medium,0.8888888888888888,2,0,0
Brivekimig1,Native,Native,Phase 2,TNF x OX40L,0.85,H2-10-1,-0.0727272727272726,27,34,7,0.03,73,Medium,0.7777777777777778,2,0,0
Isecarosmab,Native,Native,Preclinical/Early,CD123 x CD33,0.85,H2-10-1,-0.0545454545454544,7,16,3,0.31,73,Medium,0.7777777777777778,2,0,0
Podentamig1,Native,Native,Phase 1,BCMA x CD3 x HSA,0.85,unknown,-0.0363636363636362,4,12,2,0.36,91,Low,0.5555555555555556,2,0,0
Sonelokimab1,Native,Native,Phase 3,IL-17A/F x HSA,0.85,H2-10-1,-0.0181818181818181,10,27,2,0.27,88,Low,0.6666666666666666,2,0,0
Caplacizumab,SR (Surface Only),SR,Approved (EU/US),vWF,0.875,H2-10-1,-0.0363636363636362,13,30,5,0.09,80,Low,0.7777777777777778,2,0,0
Envafolimab,SR (Surface Only),SR,Approved (CN) / Disc (US),PD-L1,0.8875,H2-10-1,0.0,14,19,5,0.02,67,Medium,0.6666666666666666,3,0,1
Erfonrilimab,SR (Surface Only),SR,Phase 2,PD-L1 x CTLA-4,0.8875,H2-10-1,0.0,14,19,5,0.02,67,Medium,0.6666666666666666,3,0,1
Ozoralizumab,SR (Surface Only),SR,Approved (JP),TNFα x TNFα x HSA,0.925,H2-10-1,0.0,2,11,1,0.55,81,Low,0.7777777777777778,2,0,0
Rimteravimab,SR (Surface Only),SR,Stalled,SARS-CoV-2 RBD,0.8625,H2-10-1,-0.0727272727272727,8,20,3,0.17,75,Medium,0.7777777777777778,4,0,0
Sonelokimab2,SR (Surface Only),SR,Phase 3,IL-17A/F x HSA,0.9125,H2-10-1,-0.0181818181818181,19,28,7,0.01,77,Medium,0.6666666666666666,3,0,0
Vobarilizumab,SR (Surface Only),SR,Discontinued,IL-6R x HSA,0.9,H2-9-1,0.0,0,3,0,1.3,83,Low,0.7777777777777778,3,0,0
