fr_id	source_sequence_id	hallmark_label	hallmark_score	proxy_agg	fr_length
VHH_FR_0001	QEHY01024525|IGHV3-43D*05|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0002	M99659|IGHV3-22*01|Homo	ambiguous	0.5000	0.8409	80
VHH_FR_0003	HUMAN_VH3_SCF_21	ambiguous	0.5000	1.0000	74
VHH_FR_0004	M99654|IGHV3-15*02|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0005	AB019437|IGHV3-66*03|Homo	ambiguous	0.5000	0.9182	80
VHH_FR_0006	IMGT000112|IGHV3-53*06|Homo	ambiguous	0.5000	0.9182	80
VHH_FR_0007	J03617|IGHV3-53*03|Homo	ambiguous	0.5000	0.9182	80
VHH_FR_0008	M99406|IGHV3-15*07|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0009	AB019439|IGHV3-21*01|Homo	ambiguous	0.5000	0.9250	80
VHH_FR_0010	MK308859|IGHV3-21*05|Homo	ambiguous	0.5000	0.9250	80
VHH_FR_0011	M99402|IGHV3-15*04|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0012	M99404|IGHV3-15*06|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0013	BK063801|IGHV3-49*05|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0014	IMGT000112|IGHV3-15*09|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0015	HUMAN_VH3_SCF_20	ambiguous	0.5000	1.0000	73
VHH_FR_0016	AM939762|IGHV3S66*01|Vicugna	vhh_like	0.7500	0.8500	80
VHH_FR_0017	IMGT000176|IGHV3-13*03|Homo	ambiguous	0.5000	0.9250	80
VHH_FR_0018	JADDCI010010883|IGHV3-13*06|Homo	ambiguous	0.5000	0.9250	80
VHH_FR_0019	BK063801|IGHV3-13*04|Homo	ambiguous	0.5000	0.9250	80
VHH_FR_0020	AC280057|IGHV3-35*02|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0021	M99666|IGHV3-35*01|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0022	BK063799|IGHV3-48*03|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0023	AB019438|IGHV3-48*02|Homo	ambiguous	0.5000	0.8000	80
VHH_FR_0024	AB019439|IGHV3-22*02|Homo	ambiguous	0.5000	0.8409	80
VHH_FR_0025	HM855666|IGHV3-7*03|Homo	ambiguous	0.5000	0.9000	80
VHH_FR_0026	HM855875|IGHV3-71*02|Homo	ambiguous	0.5000	0.8909	80
VHH_FR_0027	AB019437|IGHV3-71*01|Homo	ambiguous	0.5000	0.8909	80
VHH_FR_0028	AM939741|IGHV3S42*01|Vicugna	ambiguous	0.5000	0.9727	80
VHH_FR_0029	AM939739|IGHV3S40*01|Vicugna	ambiguous	0.5000	0.9500	80
VHH_FR_0030	AM773729|IGHV3-1*01|Vicugna	ambiguous	0.5000	0.9000	80
VHH_FR_0031	AM939711|IGHV3S15*01|Vicugna	ambiguous	0.5000	0.9000	80
VHH_FR_0032	AM939768|IGHV3S10*01|Vicugna	ambiguous	0.5000	0.9429	80
VHH_FR_0033	AM939716|IGHV3S2*01|Vicugna	ambiguous	0.5000	0.8000	80
VHH_FR_0034	X70208|IGHV3-66*04|Homo	ambiguous	0.5000	0.9182	80
VHH_FR_0035	IMGT000158|IGHV3-53*04|Homo	ambiguous	0.5000	0.9182	80
VHH_FR_0036	AM939735|IGHV3S36*01|Vicugna	ambiguous	0.5000	0.8955	80
VHH_FR_0037	AM939730|IGHV3S31*01|Vicugna	ambiguous	0.5000	0.9727	80
VHH_FR_0038	AB019438|IGHV3-49*03|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0039	M99676|IGHV3-49*01|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0040	BK063799|IGHV3-49*04|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0041	M99657|IGHV3-20*01|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0042	MK540646|IGHV3-20*04|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0043	KC713937|IGHV3-20*02|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0044	MH332884|IGHV3-20*03|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0045	J00237|IGHV3-52*03|Homo	ambiguous	0.5000	0.8500	79
VHH_FR_0046	AC279961|IGHV3-52*02|Homo	ambiguous	0.5000	0.8500	79
VHH_FR_0047	IMGT000177|IGHV3-43D*06|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0048	AC242184|IGHV3-43D*04|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0049	M99672|IGHV3-43*01|Homo	ambiguous	0.5000	0.8500	80
VHH_FR_0050	KF698732|IGHV3-38-3*01|Homo	ambiguous	0.5000	0.8682	80
VHH_FR_0051	IMGT000111|IGHV3-38-3*02|Homo	ambiguous	0.5000	0.8682	80
VHH_FR_0052	KF698735|IGHV3-53*02|Homo	ambiguous	0.5000	0.9182	80
VHH_FR_0053	AM939753|IGHV3S59*01|Vicugna	vhh_like	0.7500	0.8500	80
VHH_FR_0054	AM939712|IGHV3S16*01|Vicugna	ambiguous	0.5000	0.8955	80
VHH_FR_0055	AM939734|IGHV3S35*01|Vicugna	ambiguous	0.5000	0.9727	80
VHH_FR_0056	AM939728|IGHV3S3*01|Vicugna	ambiguous	0.5000	0.8000	80
