antibody_id,strategy_group,human_identity,B_total_1pct
Brivekimig2,BM,0.925,6
Enristomig,BM,0.875,15
Gefurulimab,BM,0.9,17
Gocatamig2,BM,0.8625,26
Letolizumab,BM,0.9625,17
Ozekibart,BM,0.8875,12
Porustobart,BM,0.975,10
Tarperprumig,BM,0.9,17
Brivekimig1,Native,0.85,27
Isecarosmab,Native,0.85,7
Podentamig1,Native,0.85,4
Sonelokimab1,Native,0.85,10
Caplacizumab,SR,0.875,13
Envafolimab,SR,0.8875,14
Erfonrilimab,SR,0.8875,14
Ozoralizumab,SR,0.925,2
Rimteravimab,SR,0.8625,8
Sonelokimab2,SR,0.9125,19
Vobarilizumab,SR,0.9,0
