antibody_name,ada_value,has_numeric_ada,source_type,source_url_field,citation_urls_in_chain,pmids,evidence_quality,evidence_source,route_admin_hint_from_text,target_gene_or_moiety,indication_or_disease,dose_regimen_population_cycle,value_matches_source_verified_by_human,notes
Abatacept,4.8% (187/3877 patients),True,Reumatología Clínica article (2012),https://www.reumatologiaclinica.org/en-abatacept-mechanism-action-concordance-with-articulo-S2173574312000081,https://www.reumatologiaclinica.org/en-abatacept-mechanism-action-concordance-with-articulo-S2173574312000081,,high,批量升级至A类标准,,,,,,
Abciximab,3.1%,False,FDA label + PubMed,https://www.drugs.com/sfx/abciximab-side-effects.html,https://www.drugs.com/sfx/abciximab-side-effects.html,,low,D类数值化升级,,,,,,
Adalimumab,30%,True,FDA label,FDA prescribing information,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125057s423lbl.pdf,,high,FDA标签验证升级,,,,,,
Alemtuzumab,"BAbs 85%, NAbs 78% within 24 months",True,PMC article - Frontiers in Immunology (2020),https://pmc.ncbi.nlm.nih.gov/articles/PMC7034358/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7034358/,,high,批量升级至A类标准,,,,,,
Anakinra,"17.8% overall ADA, 3.7% neutralizing antibodies (up to 49% in some reports)",True,MedPageToday article (2021) - reporting on randomized trial,https://www.medpagetoday.com/rheumatology/generalrheumatology/91319,https://www.medpagetoday.com/rheumatology/generalrheumatology/91319,,medium_high,批量升级至A类标准,,,,,,
Anifrolumab,"5.1% for anifrolumab 300 mg, 2.0% for anifrolumab 1,000 mg (vs 3% placebo)",True,"PMC article (Anifrolumab, an Anti-Interferon-α Receptor Monoclonal Antibody, in Moderate-to-Severe Systemic Lupus Erythematosus)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5299497/,https://pmc.ncbi.nlm.nih.gov/articles/PMC5299497/,,high,批量升级至A类标准,,,,,,
Astegolimab,8.0%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/41163220/,https://pubmed.ncbi.nlm.nih.gov/41163220/,41163220,medium,250抗体检索验证,,,,,,
Atezolizumab,"30% average ADA (range 13-54%), ~15% NAb (range 4.3-27.5%)",True,PMC article - Clinical and Translational Science (2022),https://pmc.ncbi.nlm.nih.gov/articles/PMC8742635/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8742635/,,high,批量升级至A类标准,,,,,,
Atoltivimab,80%,True,FDA prescribing information,https://api.fda.gov/drug/label.json,https://api.fda.gov/drug/label.json,,high,250抗体检索验证,intravenous (mentioned in evidence text),,,,,
Axatilimab,16.3%,True,FDA prescribing information,https://api.fda.gov/drug/label.json,https://api.fda.gov/drug/label.json,,high,250抗体检索验证,,,,,,
Basiliximab,"Anti-idiotype antibodies: 1.2% (4/339), HAMA: 1.4-11.8% depending on co-medication",True,RxList prescribing information (FDA-approved label),https://www.rxlist.com/simulect-drug.htm,https://www.rxlist.com/simulect-drug.htm,,medium_high,批量升级至A类标准,,,,,,
Belantamab,17%,True,PubMed article,https://pubmed.ncbi.nlm.nih.gov/31711027/,https://pubmed.ncbi.nlm.nih.gov/31711027/,,high,批量升级至A类标准,,,,,,
Belimumab,"4.8% (1 mg/kg dose), 0.7% (10 mg/kg dose, potentially underestimated)",True,MedCentral drug monograph (2025),https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,,high,批量升级至A类标准,intravenous (mentioned in evidence text),,,,,
Benralizumab,13% (treatment‑emergent ADA response),True,FDA prescribing information (FASENRA label),https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,,high,FDA标签验证升级,,,,,,
Bevacizumab,0.6% (14/2233 patients),True,"FDA prescribing information (Avastin label, 2020)",https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125085s332lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125085s332lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125085s301lbl.pdf,,high,FDA标签验证升级,,,,,,
Bezlotoxumab,No treatment-emergent anti-drug antibodies observed (very limited immunogenicity),True,FDA Briefing Document (Bezlotoxumab Injection),https://www.fda.gov/media/98708/download,https://www.fda.gov/media/98708/download,,high,FDA标签验证更新,,,,,,
Bimagrumab,4.0%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/40580805/,https://pubmed.ncbi.nlm.nih.gov/40580805/,40580805,medium,250抗体检索验证,,,,,,
Bimekizumab,"34% (11/32) in BKZ+PBO group, 47% (8/17) in BKZ group over 36-week trial",True,"PMC article (Bimekizumab for the treatment of moderate-to-severe plaque psoriasis: efficacy, safety, pharmacokinetics, pharmacodynamics and transcriptomics from a phase IIa, randomized, double-blind multicentre study)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9303624/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303624/,,high,批量升级至A类标准,,,,,,
Blinatumomab,<1% (neutralizing antibodies),True,PubMed review article (Clin Pharmacokinet. 2016),https://pubmed.ncbi.nlm.nih.gov/27209293/,https://pubmed.ncbi.nlm.nih.gov/27209293/,,high,批量升级至A类标准,,,,,,
Brentuximab,"7% (persistently positive antibodies), 30% (transiently positive antibodies)",True,RxList drug information (referencing FDA label data),https://www.rxlist.com/adcetris-drug.htm,https://www.rxlist.com/adcetris-drug.htm;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125388s099lbl.pdf,,high,FDA标签验证升级,,,,,,
Brodalumab,"0-3.3% (review), 2.38% (pooled), 5.0-9.8% (binding antibodies)",True,PMC PubMed Central review article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12525274/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12525274/,,medium-high,批量升级至A类标准,,,,,,
