antibody_name,approval_year,assay_platform,assay_generation,dose_mg,dose_freq,dose_route_detail,fc_engineering,fc_effector_status,mtx_comedication,immunosuppressant_context,half_life_days,notes
Adalimumab,2002,ELISA,1,40,biweekly,SC,none,normal_IgG1,high_proportion,MTX in RA (>50% of patients),14,First-gen ELISA; MTX reduces ADA from ~40% to <5%
Alemtuzumab,2014,ECL,2,12,5-day course yearly,IV infusion,none,normal_IgG1,none,none,~6 days initially,Anti-CD52 lymphocyte depletion; ADA during reconstitution
Anifrolumab,2021,ECL,2,300,monthly,IV infusion,IgG1κ with YTE,reduced_FcRn_binding,none,background SLE immunosuppressants,~24,YTE triple mutation extends half-life; SLE patients on background HCQ/steroids
Astegolimab,2021,ECL,2,490,monthly,IV infusion,none,normal_IgG1,none,none,~28,Phase 3 asthma
Atezolizumab,2016,ECL,2,1200,q3w,IV infusion,N297A (aglycosylated),no_effector,none,chemo combination often,27,Aglycosylated Fc → no FcγRIIb tolerogenic signaling; high ADA despite IV
Benralizumab,2017,ECL,2,30,q4-8w,SC,afucosylated,enhanced_ADCC,none,ICS background,15.5,Afucosylated → enhanced ADCC of eosinophils
Bevacizumab,2004,ELISA,1,5-15 mg/kg,q2-3w,IV infusion,none,normal_IgG1,none,chemo combination always,20,High IV dose + chemo → very low detected ADA
Bezlotoxumab,2016,ECL,2,10 mg/kg,single dose,IV infusion,none,normal_IgG1,none,antibiotics,19,Single dose; C. diff patients on antibiotics
Bimekizumab,2023,ECL,2,320,q4w,SC,none,normal_IgG1,none,none,23,Dual IL-17 neutralization; high ADA despite fully humanized engineering
Brodalumab,2017,ECL,2,210,q2w,SC,none,normal_IgG2,none,none,~11,IgG2 reduced effector
Brolucizumab,2019,ECL,2,6,q8-12w,IVT (intravitreal),none,scFv_no_Fc,none,none,~4.4 (vitreous),scFv format; no Fc; intravitreal → local immune response
Burosumab,2018,ECL,2,0.8 mg/kg,q2w,SC,none,normal_IgG1,none,none,19,Anti-FGF23; XLH (X-linked hypophosphatemia)
Camrelizumab,2019,ECL,2,200,q2w,IV infusion,IgG4,reduced_effector,none,chemo combination,~8,Chinese-origin anti-PD-1; reactive capillary haemangioma unique AE
Canakinumab,2009,ECL,2,150,q8w,SC,none,normal_IgG1,none,none,26,Long dosing interval; low frequency → less APC priming
Cemiplimab,2018,ECL,2,350,q3w,IV infusion,IgG4,reduced_effector,none,none,~20,Fully human IgG4
Certolizumab,2008,ECL,2,200,q2w,SC,PEGylated Fab,no_Fc_fragment,high_proportion,MTX in RA,~14,PEGylated Fab → no Fc; MTX co-medication common
Cilgavimab,2021,ECL,2,300,single,IM,IgG1 with YTE+TM,modified_half_life,none,none,~90,Evusheld combination; YTE+TM mutations
Clazakizumab,2022,ECL,2,25,monthly,IV infusion,none,normal_IgG1,moderate_proportion,transplant immunosuppressants,~30,Transplant patients on tacrolimus/MMF
Concizumab,2023,ECL,2,variable,daily,SC,IgG4,reduced_effector,none,none,~4,Anti-TFPI; hemophilia; daily SC dosing = frequent APC priming
Daclizumab,2016,ECL,2,150,monthly,SC,none,normal_IgG1,none,none,~21,Anti-IL-2Rα; withdrawn due to encephalitis
Dazukibart,2024,ECL,2,1200,q4w,IV infusion,none,normal_IgG1,none,none,~22,Anti-IFN-β; phase 3
Denosumab,2010,ECL,2,60-120,q6m,SC,none,normal_IgG2,none,none,25.4,Very long dosing interval (q6m) → less frequent APC priming
Donanemab,2024,ECL,2,~10 mg/kg titrated,q4w,IV infusion,none,normal_IgG1,none,none,~11,Anti-amyloid N3pG; AD neuroinflammation; extremely high ADA (90%)
Dostarlimab,2021,ECL,2,500,q3w then q6w,IV infusion,IgG4,reduced_effector,none,chemo combination,25.4,IgG4 anti-PD-1
Durvalumab,2017,ECL,2,1500,q4w,IV infusion,IgG1 with LALA,no_effector,none,chemo combination,~18,LALA mutation eliminates FcγR binding
Efalizumab,2003,ELISA,1,1 mg/kg,weekly,SC,IgG1,normal_IgG1,none,none,~6,Weekly dosing; anti-CD11a; withdrawn for PML
Emicizumab,2017,ECL,2,1.5 mg/kg,weekly to q4w,SC,IgG4 bispecific,reduced_effector,none,none,~30,Bispecific; hemophilia A patients often have pre-existing FVIII inhibitors
Enfortumab,2019,ECL,2,1.25 mg/kg,d1/8/15 q28d,IV infusion,IgG1κ ADC,normal_IgG1,none,chemo setting,3.4,Vedotin payload (MMAE); short half-life
Eptinezumab,2020,ECL,2,100-300,q3m,IV infusion,none,normal_IgG1,none,none,27,IV but quarterly dosing; migraine
Erenumab,2018,ECL,2,70-140,monthly,SC,none,normal_IgG2,none,none,28,Fully human IgG2 anti-CGRP-R
Etrolizumab,2023,ECL,2,105,q4w,SC,IgG1,normal_IgG1,moderate_proportion,background IBD immunosuppressants,~20,IBD patients on background 5-ASA/steroids/thiopurines
Faricimab,2022,ECL,2,6,q8-16w,IVT (intravitreal),IgG1 bispecific,modified,none,none,~7.5 vitreous,Intravitreal bispecific; retinal disease
Fremanezumab,2018,ECL,2,225-675,monthly or q3m,SC,IgG2Δa,reduced_effector,none,none,31,IgG2Δa variant; very long half-life
Galcanezumab,2018,ECL,2,120-240,monthly,SC,IgG4,reduced_effector,none,none,27,IgG4 anti-CGRP
Golimumab,2009,ECL,2,50-100,monthly,SC,none,normal_IgG1,high_proportion,MTX in RA,~14,MTX co-medication common
Guselkumab,2017,ECL,2,100,q8w,SC,IgG1λ,normal_IgG1,none,none,~17,Fully human anti-IL-23p19
Itolizumab,2020,ECL,2,1.6 mg/kg,q2w,IV infusion,IgG1,normal_IgG1,none,none,~14,Anti-CD6; Indian approval; GvHD/autoimmune
