id	length	vhh_score	aa37	aa44	aa45	aa47	FR1_len	CDR1_len	FR2_len	CDR2_len	FR3_len	CDR3_len	FR4_len
AM773729|IGHV1-1*01|Vicugna pacos|F|V-REGION|32643..32938|296 nt|1| | | | |296+24=320| |rev-compl|	98	2.5	Y	Q	A	G	25	8	17	8	38	2	0
AM939697|IGHV1S2*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939698|IGHV1S3*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939699|IGHV1S4*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939700|IGHV1S5*01|Vicugna pacos|P|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	16	8	38	0	0
AM939701|IGHV1S6*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM773729|IGHV3-1*01|Vicugna pacos|F|V-REGION|12791..13086|296 nt|1| | | | |296+24=320| | |	98	2.5	Y	Q	A	G	25	8	17	8	38	2	0
AM773729|IGHV3-2*01|Vicugna pacos|F|V-REGION|27864..28159|296 nt|1| | | | |296+24=320| |rev-compl|	98	2.5	Y	Q	A	G	25	8	17	8	38	2	0
AM773729|IGHV3-3*01|Vicugna pacos|F|V-REGION|685..980|296 nt|1| | | | |296+24=320| | |	98	2.5	Y	Q	A	G	25	8	17	8	38	2	0
AM773548|IGHV3S1*01|Vicugna pacos|F|V-REGION|6852..7147|296 nt|1| | | | |296+24=320| | |	98	2.5	Y	Q	A	G	25	8	17	8	38	2	0
AM939768|IGHV3S10*01|Vicugna pacos|F|V-REGION|1..285|285 nt|1| | | | |285+27=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	17	7	38	0	0
AM939707|IGHV3S11*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
