antibody_id,origin,pdb_path,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total,structure_errors,canonical_H1,canonical_H2,canonical_H3,canonical_L1,canonical_L2,canonical_L3,sequence_errors,pI,GRAVY,instability_index,net_charge_pH7,hydro_patch_max9,charge_patch_max7,agg_motifs,deamidation_sites,isomerization_sites,cmc_flags,immuno_risk_level,immuno_tcia_score,immuno_n_high,immuno_n_medium,immuno_n_tolerated,immuno_n_clusters
Abelacimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Abelacimab.pdb,89.47911315309405,67,4.62566244329643,0.8703444004058838,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.77,-0.282,40.9,0.7,0.667,4.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.5572,18,6,49,5
Abrilumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Abrilumab.pdb,84.09316940537497,71,4.629423451883704,1.7207772731781006,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.19,-0.343,35.3,-3.2,0.556,3.0,0,1,1,pI_unusually_low (5.19),HIGH,0.6166,22,18,27,5
Acrixolimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Acrixolimab.pdb,79.41979953322543,60,4.662132423196063,1.9872486591339111,,,H1-10-1,H2-16-?,H3-5,L1-11-1,L2-7-1,L3-9,,6.16,-0.295,49.1,-1.1,0.667,3.0,0,2,5,hydro_patch_moderate (0.67),HIGH,0.777,43,6,42,5
Actoxumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Actoxumab.pdb,88.1424563788262,70,4.694565845476953,1.9296605587005615,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.217,44.4,1.9,0.778,3.0,0,3,2,hydro_patch_high (0.78),HIGH,0.6759,8,0,63,5
Adakitug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Adakitug.pdb,84.7749087372468,58,4.685594915301042,2.145777702331543,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.33,-0.28,39.7,1.8,0.778,3.0,0,2,2,hydro_patch_high (0.78),HIGH,0.6232,25,6,58,4
Adalimumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Adalimumab.pdb,83.71670127202445,74,4.656708623930725,1.6568100452423096,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.34,-0.287,44.7,2.0,0.667,3.0,0,3,1,hydro_patch_moderate (0.67),HIGH,0.7701,9,1,77,4
Adecatumumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Adecatumumab.pdb,80.84330479277672,82,4.658890574659276,1.5568822622299194,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.84,-0.457,47.9,0.9,0.667,2.0,1,2,3,hydro_patch_moderate (0.67),HIGH,0.6732,8,5,73,4
Adezkibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Adezkibart.pdb,85.47000036487215,71,4.513622832311042,0.8576231598854065,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.78,-0.472,45.8,0.8,0.556,4.0,0,1,1,,HIGH,0.6993,18,7,26,4
Adintrevimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Adintrevimab.pdb,88.19290996579477,83,4.578796926074018,1.4844292402267456,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.67,-0.247,40.1,-2.0,0.556,4.0,0,3,4,,HIGH,0.7294,30,9,38,5
Aducanumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Aducanumab.pdb,82.35974567474172,70,4.701287881135941,1.9978113174438477,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.41,-0.317,47.6,8.8,0.889,3.0,0,1,2,hydro_patch_high (0.89),HIGH,0.7639,18,1,52,4
Afasevikumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Afasevikumab.pdb,84.8965864614332,73,4.648710356116558,1.8056302070617676,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.38,-0.258,49.5,1.9,0.556,3.0,0,2,1,,HIGH,0.6296,7,0,89,5
Afimkibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Afimkibart.pdb,80.96218241950037,69,4.641341516339792,1.8080607652664185,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.82,-0.42,39.3,3.8,0.556,3.0,0,1,0,,HIGH,0.5359,9,12,56,4
