group,id,vh2,vhh2,delta,tier_v171
POSITIVE_ClinicalVHH42,ALX-0171,0.4613,0.6754,0.2141,EXCELLENT
POSITIVE_ClinicalVHH42,Gontivimab,0.4613,0.6754,0.2141,EXCELLENT
POSITIVE_ClinicalVHH42,Ciltacabtagene_autoleucel_cilta-cel,0.6109,0.8216,0.2107,EXCELLENT
POSITIVE_ClinicalVHH42,LCAR-B38M,0.6109,0.8216,0.2107,EXCELLENT
POSITIVE_ClinicalVHH42,Caplacizumab,0.5721,0.7643,0.1922,EXCELLENT
POSITIVE_ClinicalVHH42,Envafolimab,0.5111,0.6853,0.1742,EXCELLENT
POSITIVE_ClinicalVHH42,Erfonrilimab,0.5111,0.6853,0.1742,EXCELLENT
POSITIVE_ClinicalVHH42,Gocatamig2,0.5919,0.7311,0.1392,EXCELLENT
POSITIVE_ClinicalVHH42,Gefurulimab,0.6293,0.7531,0.1238,EXCELLENT
POSITIVE_ClinicalVHH42,Isecarosmab,0.6292,0.7387,0.1095,EXCELLENT
POSITIVE_ClinicalVHH42,Brivekimig1,0.6935,0.7535,0.06,GOOD
POSITIVE_ClinicalVHH42,Enristomig,0.6511,0.7094,0.0583,GOOD
POSITIVE_ClinicalVHH42,Brivekimig2,0.805,0.8111,0.0061,WARN
POSITIVE_ClinicalVHH42,Letolizumab,0.7536,0.7254,-0.0282,WARN
POSITIVE_ClinicalVHH42,Gocatamig1,0.7168,0.6735,-0.0433,WARN
POSITIVE_ClinicalVHH42,131I-GMIB-Anti-HER2-VHH1,0.9149,0.8503,-0.0646,FAIL
POSITIVE_ClinicalVHH42,68-GaNOTA-Anti-HER2_VHH1,0.9149,0.8503,-0.0646,FAIL
POSITIVE_ClinicalVHH42,CD20_VHH_CAR-T,0.9149,0.8503,-0.0646,FAIL
POSITIVE_ClinicalVHH42,CD33_VHH_CAR-T,0.9149,0.8503,-0.0646,FAIL
POSITIVE_ClinicalVHH42,HER2_VHH_CAR-T,0.9149,0.8503,-0.0646,FAIL
POSITIVE_DB-B_HumCamVHH,3dwt_A,0.3719,0.7578,0.3859,EXCELLENT
POSITIVE_DB-B_HumCamVHH,3eba_A,0.5536,0.8233,0.2697,EXCELLENT
POSITIVE_DB-B_HumCamVHH,9jqt_D,0.6179,0.8487,0.2308,EXCELLENT
POSITIVE_DB-B_HumCamVHH,7q6c_K,0.6179,0.8487,0.2308,EXCELLENT
POSITIVE_DB-B_HumCamVHH,6z10_B,0.5197,0.7472,0.2275,EXCELLENT
POSITIVE_DB-B_HumCamVHH,1yzz_A,0.5941,0.7646,0.1705,EXCELLENT
POSITIVE_DB-B_HumCamVHH,3eak_A,0.5323,0.6774,0.1451,EXCELLENT
POSITIVE_DB-B_HumCamVHH,5do2_H,0.731,0.7856,0.0546,GOOD
POSITIVE_DB-B_HumCamVHH,6cnw_A,0.8271,0.8489,0.0218,PASS
POSITIVE_DB-B_HumCamVHH,6xli_A,0.6871,0.6583,-0.0288,WARN
POSITIVE_DB-B_HumCamVHH,6xdg_B,0.9234,0.7968,-0.1266,FAIL
POSITIVE_DB-B_HumCamVHH,1i9r_H,0.7001,0.3834,-0.3167,FAIL
POSITIVE_DB-B_HumCamVHH,6w9g_H,0.7001,0.3834,-0.3167,FAIL
POSITIVE_DB-B_HumCamVHH,8wz5_H,0.7108,0.3818,-0.329,FAIL
POSITIVE_DB-B_HumCamVHH,2hwz_H,0.725,0.3083,-0.4167,FAIL
POSITIVE_DB-B_HumCamVHH,8elj_S,0.8585,0.3317,-0.5268,FAIL
TEST_Atlas24_EngHumanVH,2x89,0.4556,0.7283,0.2727,EXCELLENT
TEST_Atlas24_EngHumanVH,6sge,0.4907,0.6892,0.1985,EXCELLENT
TEST_Atlas24_EngHumanVH,7eow,0.5721,0.7643,0.1922,EXCELLENT
TEST_Atlas24_EngHumanVH,7d5u,0.7416,0.8944,0.1528,EXCELLENT
TEST_Atlas24_EngHumanVH,7f1g,0.7416,0.8944,0.1528,EXCELLENT
TEST_Atlas24_EngHumanVH,7d5b,0.7416,0.8944,0.1528,EXCELLENT
TEST_Atlas24_EngHumanVH,6jsz,0.7643,0.8716,0.1073,EXCELLENT
TEST_Atlas24_EngHumanVH,7nfr,0.7118,0.8178,0.106,EXCELLENT
TEST_Atlas24_EngHumanVH,7azb,0.5818,0.6618,0.08,GOOD
TEST_Atlas24_EngHumanVH,3p9w,0.5777,0.6243,0.0466,PASS
TEST_Atlas24_EngHumanVH,8di5,0.6659,0.6827,0.0168,PASS
TEST_Atlas24_EngHumanVH,3zhd,0.8133,0.8269,0.0136,PASS
TEST_Atlas24_EngHumanVH,7ooi,0.6266,0.6388,0.0122,WARN
TEST_Atlas24_EngHumanVH,7whi,0.6044,0.6165,0.0121,WARN
TEST_Atlas24_EngHumanVH,7vnd,0.6601,0.6705,0.0104,WARN
TEST_Atlas24_EngHumanVH,7jwb,0.6452,0.6397,-0.0055,WARN
TEST_Atlas24_EngHumanVH,7omn,0.6635,0.6571,-0.0064,WARN
TEST_Atlas24_EngHumanVH,1ol0,0.8215,0.8058,-0.0157,WARN
TEST_Atlas24_EngHumanVH,3b9v,0.7159,0.6975,-0.0184,WARN
TEST_Atlas24_EngHumanVH,7vne,0.6735,0.631,-0.0425,WARN
TEST_Atlas24_EngHumanVH,6j7w,0.8462,0.7791,-0.0671,FAIL
TEST_Atlas24_EngHumanVH,5dmj,0.8444,0.7491,-0.0953,FAIL
TEST_Atlas24_EngHumanVH,7vke,0.8236,0.7145,-0.1091,FAIL
TEST_Atlas24_EngHumanVH,7zf4,0.8716,0.6879,-0.1837,FAIL
TEST_MurineHumanizedVH,Ocrelizumab,0.7032,0.6949,-0.0083,WARN
TEST_MurineHumanizedVH,Obinutuzumab,0.718,0.4318,-0.2862,FAIL
TEST_LofacimigTandemVH,Lofacimig_VH2,0.598,0.8014,0.2034,EXCELLENT
TEST_LofacimigTandemVH,Lofacimig_VH1,0.5566,0.7396,0.183,EXCELLENT
NEGATIVE_FullyHumanIgGVH,Efalizumab,0.6819,0.6539,-0.028,WARN
NEGATIVE_FullyHumanIgGVH,Adalimumab,0.8445,0.7945,-0.05,WARN
NEGATIVE_FullyHumanIgGVH,Cemiplimab,0.8702,0.8108,-0.0594,FAIL
NEGATIVE_FullyHumanIgGVH,Canakinumab,0.8696,0.762,-0.1076,FAIL
NEGATIVE_FullyHumanIgGVH,Denosumab,0.9366,0.8033,-0.1333,FAIL
NEGATIVE_FullyHumanIgGVH,Enfortumab,0.9465,0.8115,-0.135,FAIL
NEGATIVE_FullyHumanIgGVH,Cilgavimab,0.8104,0.6582,-0.1522,FAIL
NEGATIVE_FullyHumanIgGVH,Golimumab,0.8576,0.6902,-0.1674,FAIL
NEGATIVE_FullyHumanIgGVH,Durvalumab,0.9651,0.7938,-0.1713,FAIL
NEGATIVE_FullyHumanIgGVH,Erenumab,0.8494,0.6531,-0.1963,FAIL
NEGATIVE_FullyHumanIgGVH,Bezlotoxumab,0.8803,0.4152,-0.4651,FAIL
NEGATIVE_FullyHumanIgGVH,Brodalumab,0.9352,0.4444,-0.4908,FAIL
NEGATIVE_FullyHumanIgGVH,Astegolimab,0.8839,0.3897,-0.4942,FAIL
NEGATIVE_FullyHumanIgGVH,Anifrolumab,0.8869,0.3835,-0.5034,FAIL
NEGATIVE_FullyHumanIgGVH,Burosumab,0.9082,0.3357,-0.5725,FAIL
NEGATIVE_ChimericVH,Girentuximab,0.6467,0.7216,0.0749,GOOD
NEGATIVE_ChimericVH,Andecaliximab,0.5169,0.5891,0.0722,GOOD
NEGATIVE_ChimericVH,Vadastuximab,0.7465,0.3699,-0.3766,FAIL
NEGATIVE_NaiveMurineVH,Abagovomab,0.5587,0.3666,-0.1921,FAIL
NEGATIVE_NaiveMurineVH,Naptumomab,0.5721,0.3435,-0.2286,FAIL
