ab_id,vh_germline,vl_germline,vh_identity,vl_identity,origin
Abazistobart,IGHV3-23*04,IGKV3-11*01,0.8367,0.8526,engineered_458
Abiprubart,IGHV1-3*01,IGKV1-13*01,0.8367,0.6383,engineered_458
Abituzumab,IGHV1-46*01,IGKV1-33*01,0.7653,0.8632,engineered_458
Abrezekimab,IGHV4-4*08,IGKV1-12*01,0.6082,0.9579,engineered_458
Adebrelimab,IGHV1-46*01,IGKV7-3*01,0.898,0.8586,engineered_458
Adimanebart,IGHV3-23*01,IGKV2-40*01,0.9388,0.1683,engineered_458
Alacizumab,IGHV3-7*01,IGKV1-16*01,0.9082,0.8211,engineered_458
Alemtuzumab,IGHV3-49*04,IGKV1-33*01,0.61,0.8632,engineered_458
Aletekitug,IGHV1-24*01,IGKV1-12*01,0.8265,0.8316,engineered_458
Alpitatug,IGHV4-28*01,IGKV7-3*01,0.898,0.7172,engineered_458
Amdokitug,IGHV3-66*01,IGKV1-NL1*01,0.8969,0.8737,engineered_458
Amtabafusp,IGHV3-72*01,IGKV2-40*01,0.84,0.1485,engineered_458
Anrukinzumab,IGHV3-21*08,IGKV7-3*01,0.8969,0.6566,engineered_458
Anvatabart,IGHV3-23*04,IGKV1-39*01,0.7857,0.8632,engineered_458
Aplitabart,IGHV3-23*03,IGKV1-13*02,0.9082,0.8316,engineered_458
Armocibart,IGHV1-18*01,IGKV2-29*02,0.7755,0.84,engineered_458
Aselizumab,IGHV3-66*01,IGKV7-3*01,0.8969,0.6162,engineered_458
Atezolizumab,IGHV3-23*04,IGKV1-12*01,0.8673,0.8632,engineered_458
Avitotamig,IGHV1-2*02,IGKV1-33*01,0.8571,0.8737,engineered_458
Avizakimab,IGHV1-46*01,IGKV1-NL1*01,0.8878,0.8632,engineered_458
Axatilimab,IGHV2-70*01,IGKV1-6*01,0.89,0.8632,engineered_458
Azintuxizumab,IGHV3-7*01,IGKV2D-29*02,0.9184,0.88,engineered_458
Azirkitug,IGHV3-73*01,IGKV3-11*01,0.84,0.7895,engineered_458
Balertatug,IGHV1-2*02,IGKV7-3*01,0.8673,0.7071,engineered_458
Bapineuzumab,IGHV3-23*03,IGKV2-29*02,0.8878,0.85,engineered_458
Barzolvolimab,IGHV1-2*06,IGKV1-16*01,0.7653,0.8105,engineered_458
Becotatug,IGHV4-4*08,IGKV6-21*02,0.7938,0.8947,engineered_458
Belantamab,IGHV1-69*02,IGKV1-33*01,0.8367,0.9053,engineered_458
Bemarituzumab,IGHV1-46*01,IGKV1-33*01,0.8061,0.8526,engineered_458
Benmelstobart,IGHV4-4*08,IGKV1-33*01,0.5773,0.8211,engineered_458
Benralizumab,IGHV1-46*01,IGKV1-39*01,0.7857,0.8737,engineered_458
Bepranemab,IGHV4-4*08,IGKV2-29*02,0.8351,0.9,engineered_458
Betifisolimab,IGHV1-2*02,IGKV7-3*01,0.7959,0.798,engineered_458
Betinukibart,IGHV7-4-1*03,IGKV2-18*01,0.9011,0.91,engineered_458
Bevacizumab,IGHV3-23*04,IGKV1-16*01,0.7653,0.8842,engineered_458
Bexmarilimab,IGHV2-5*11,IGKV3-20*01,0.9091,0.8021,engineered_458
Bimekizumab,IGHV3-7*01,IGKV1-13*02,0.8776,0.8,engineered_458
Birtamimab,IGHV3-72*01,IGKV2-30*02,0.84,0.87,engineered_458
Blosozumab,IGHV1-24*01,IGKV1-13*02,0.8571,0.8316,engineered_458
Bococizumab,IGHV1-46*01,IGKV1-12*01,0.9082,0.8632,engineered_458
Bocunebart,IGHV3-66*01,IGKV3-20*02,0.8144,0.6444,engineered_458
Bosakitug,IGHV1-46*01,IGKV1-39*01,0.8878,0.8526,engineered_458
Briquilimab,IGHV1-3*01,IGKV7-3*01,0.8776,0.7071,engineered_458
Brivestobart,IGHV4-34*03,IGKV3-11*01,0.9255,0.9579,engineered_458
Brolucizumab,IGHV3-23*04,IGKV1-5*01,0.6429,0.8316,engineered_458
Brontictuzumab,IGHV1-24*01,IGKV2-40*01,0.7959,0.1485,engineered_458
Budigalimab,IGHV1-3*04,IGKV2-28*01,0.7653,0.85,engineered_458
Budoprutug,IGHV1-46*01,IGKV1-13*01,0.6735,0.5851,engineered_458
Bulumtatug,IGHV4-59*05,IGKV4-1*01,0.8021,0.9109,engineered_458
Burfiralimab,IGHV1-2*02,IGKV1-39*01,0.8673,0.8526,engineered_458
Cabiralizumab,IGHV1-46*01,IGKV7-3*01,0.8367,0.6364,engineered_458
Cafelkibart,IGHV3-73*01,IGKV2-28*01,0.88,0.87,engineered_458
Camrelizumab,IGHV3-7*01,IGKV1-39*01,0.9082,0.8737,engineered_458
Cantuzumab,IGHV7-4-1*01,IGKV2-28*01,0.7653,0.82,engineered_458
Caxmotabart,IGHV3-23*04,IGKV1-39*01,0.7857,0.8632,engineered_458
Cendakimab,IGHV2-5*11,IGKV1-33*01,0.798,0.8526,engineered_458
Cenzestotug,IGHV3-66*01,IGKV1-33*01,0.732,0.8737,engineered_458
Cergutuzumab,IGHV1-18*01,IGKV1-16*01,0.8265,0.8211,engineered_458
Certolizumab,IGHV3-23*04,IGKV1-16*01,0.7755,0.8526,engineered_458
Ciletatug,IGHV1-46*01,IGKV2-40*01,0.8367,0.8119,engineered_458
Ciltistotug,IGHV1-2*02,IGKV2-30*02,0.7959,0.88,engineered_458
Clazakizumab,IGHV3-66*01,IGKV1-39*01,0.8351,0.8632,engineered_458
Clivatuzumab,IGHV1-2*02,IGKV3-20*02,0.7959,0.6889,engineered_458
Cobolimab,IGHV3-71*01,IGKV1-39*01,0.5657,0.9158,engineered_458
Codrituzumab,IGHV1-46*01,IGKV2-28*01,0.8265,0.86,engineered_458
Cofetuzumab,IGHV1-3*04,IGKV7-3*01,0.8265,0.6768,engineered_458
Comekibart,IGHV3-48*01,IGKV1-33*01,0.9388,0.8947,engineered_458
Concizumab,IGHV3-21*01,IGKV2-29*02,0.8571,0.9,engineered_458
Coprelotamab,IGHV3-23*04,IGKV1-39*01,0.7857,0.8632,engineered_458
Crefmirlimab,IGHV3-74*01,IGKV1-27*01,0.7041,0.8737,engineered_458
Crenezumab,IGHV3-23*04,IGKV2-28*01,0.8878,0.87,engineered_458
Crizanlizumab,IGHV1-46*01,IGKV7-3*01,0.8163,0.6263,engineered_458
Crusekitug,IGHV4-59*05,IGKV1-12*01,0.8021,0.8737,engineered_458
Cusatuzumab,IGHV3-48*03,IGKV2-40*01,0.9082,0.1584,engineered_458
Dacetuzumab,IGHV3-74*01,IGKV2-30*02,0.7653,0.64,engineered_458
Daclizumab,IGHV1-46*01,IGKV1-13*01,0.8265,0.7766,engineered_458
Dalidnetug,IGHV3-23*03,IGKV2-30*01,0.8776,0.85,engineered_458
Dalotuzumab,IGHV4-38-2*02,IGKV2-28*01,0.8571,0.86,engineered_458
Dapirolizumab,IGHV3-66*01,IGKV1-NL1*01,0.7629,0.8316,engineered_458
Daretabart,IGHV1-46*01,IGKV2-30*02,0.7041,0.82,engineered_458
Datopotamab,IGHV1-3*04,IGKV1-39*01,0.8061,0.8421,engineered_458
Dazukibart,IGHV1-69*01,IGKV1-39*01,0.8469,0.8632,engineered_458
Delpacibart,IGHV1-2*02,IGKV1-NL1*01,0.8776,0.8421,engineered_458
Demcizumab,IGHV1-18*01,IGKV7-3*01,0.8571,0.7172,engineered_458
Denikitug,IGHV3-73*01,IGKV2-28*01,0.9,0.89,engineered_458
Denintuzumab,IGHV4-31*02,IGKV1-13*01,0.8485,0.6596,engineered_458
Depatuxizumab,IGHV4-38-2*02,IGKV1-12*01,0.8061,0.7474,engineered_458
Depemokimab,IGHV4-34*09,IGKV4-1*01,0.5979,0.9109,engineered_458
Dezamizumab,IGHV1-69*02,IGKV1-39*01,0.8571,0.8526,engineered_458
Disitamab,IGHV1-69-2*01,IGKV1-12*01,0.8265,0.8105,engineered_458
