antibody_name,class_evidence_tier,ada_value_display,verification_status,verification_matched_pcts,ada_value_annotation,evidence_source,citation_urls,pmids_extracted
Abatacept,B,4.8% (187/3877 patients),verified_text_match,[4.8],,批量升级至A类标准,https://www.reumatologiaclinica.org/en-abatacept-mechanism-action-concordance-with-articulo-S2173574312000081,
Adalimumab,A,30%,verified_pmc_fulltext,[30.0],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125057s423lbl.pdf,
Alemtuzumab,A,"BAbs 85%, NAbs 78% within 24 months",verified_partial_primary_value_confirmed,[85.0],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC7034358/,
Anakinra,B,"17.8% overall ADA, 3.7% neutralizing antibodies (up to 49% in some reports)",verified_partial_primary_value_confirmed,"[17.8, 3.7]",,批量升级至A类标准,https://www.medpagetoday.com/rheumatology/generalrheumatology/91319,
Anifrolumab,A,"5.1% for anifrolumab 300 mg, 2.0% for anifrolumab 1,000 mg (vs 3% placebo)",verified_text_match,"[5.1, 2.0, 3.0]",,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC5299497/,
Astegolimab,A,8.0%,verified_pmc_fulltext,[8.0],,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/41163220/,41163220
Atezolizumab,A,"30% average ADA (range 13-54%), ~15% NAb (range 4.3-27.5%)",verified_text_match,"[30.0, 54.0, 15.0, 27.5]",,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8742635/,
Basiliximab,B,"Anti-idiotype antibodies: 1.2% (4/339), HAMA: 1.4-11.8% depending on co-medication",verified_partial_primary_value_confirmed,[1.2],,批量升级至A类标准,https://www.rxlist.com/simulect-drug.htm,
Benralizumab,A,13% (treatment‑emergent ADA response),verified_fda_label_dailymed_spl,[],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,
Bevacizumab,A,0.6% (14/2233 patients),verified_fda_label_dailymed_spl,[],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125085s332lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125085s301lbl.pdf,
