metric,value
N_total_heavy,21
N_total_light,4
heavy_out_of_library_rate,0.0000
light_out_of_library_rate,0.0000
top20_global_germlines_heavy,IGHV3-30*02(4); IGHV3-23*04(4); IGHV3-7*01(3); IGHV3-23*01(3); IGHV3-73*01(2); IGHV3-21*01(1); IGHV3-9*01(1); IGHV3-53*01(1); IGHV3-11*01(1); IGHV3-74*01(1)
top20_global_germlines_light,IGLV7-43*01(2); IGKV1-39*01(1); IGKV1-33*01(1)
top20_library_matches_heavy,IGHV3-23*01(13); IGHV3-7*01(6); IGHV3-21*01(1); IGHV3-11*01(1)
top20_library_matches_light,IGLV1-44*01(2); IGKV1-39*01(2)
delta_identity_distribution_heavy_p50,0.0125
delta_identity_distribution_heavy_p90,0.0375
delta_identity_distribution_heavy_p99,0.0500
delta_identity_distribution_light_p50,0.1795
delta_identity_distribution_light_p90,0.3590
delta_identity_distribution_light_p99,0.3590
list_top_out_of_library_global_germlines_heavy,
list_top_out_of_library_global_germlines_light,
