antibody_name,class_evidence_tier,ada_value_display,cannot_verify_reason,detail,evidence_source,citation_urls,pmids_extracted
Abciximab,?,,wrong_pmid_no_alternative,PMID 15987447 is a COX-2 paper; DailyMed not found; no ADA source verified,,,
Aducanumab,A,0.4%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33361324 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33361324/,33361324
Atoltivimab,B,80%,ada_value_is_not_ada_incidence,"80% is PRNT-80 viral inhibition rate, not ADA incidence",250抗体检索验证,https://api.fda.gov/drug/label.json,
Axatilimab,B,16.3%,ada_value_is_not_ada_incidence,"16.3% is CV (PK variability), not ADA incidence",250抗体检索验证,https://api.fda.gov/drug/label.json,
Bamlanivimab,A,2.1%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33528553 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33528553/,33528553
Belantamab,?,,wrong_pmid_no_alternative,PMID 31711027 is a carbon materials paper; DailyMed not found for belantamab,,,
Cadonilimab,?,,wrong_pmid_no_alternative,PMID 34807181 is a metal-mirror paper; Chinese NMPA drug with no FDA/DailyMed entry,,,
Clesrovimab,B,22.6%,ada_value_is_not_ada_incidence,"22.6% is CV (PK variability), not ADA incidence",250抗体检索验证,https://api.fda.gov/drug/label.json,
Crovalimab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 34276736 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/34276736/,34276736
Depemokimab,B,95%,ada_value_is_not_ada_incidence,"95% is 95% CI confidence interval, not ADA incidence",250抗体检索验证,https://api.fda.gov/drug/label.json,
Domvanalimab,A,17.2%,ada_value_is_not_ada_incidence,"17.2% is ORR (objective response rate), not ADA incidence",250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40592848/,40592848
Emapalumab,A,10%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 30352551 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/30352551/,30352551
Etesevimab,C,1.7%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Evinacumab,A,2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33446410 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33446410/,33446410
Favezelimab,A,42.9%,ada_value_is_not_ada_incidence,"42.9% likely ORR/tumor-shrinkage, not ADA incidence; PMID unverified",250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40668662/,40668662
Garadacimab,A,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33446255 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33446255/,33446255
Glofitamab,A,<1%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 31562122 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/31562122/,31562122
Ibalizumab,A,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 29854862 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/29854862/,29854862
