antibody_1,strategy_1,antibody_2,strategy_2,fr2_identity_pct
Brivekimig1,Native,Brivekimig2,BM,52.94117647058824
Brivekimig1,Native,Caplacizumab,SR,82.35294117647058
Brivekimig1,Native,Enristomig,BM,58.82352941176471
Brivekimig1,Native,Envafolimab,SR,76.47058823529412
Brivekimig1,Native,Erfonrilimab,SR,76.47058823529412
Brivekimig1,Native,Gefurulimab,BM,82.35294117647058
Brivekimig1,Native,Gocatamig2,BM,64.70588235294117
Brivekimig1,Native,Isecarosmab,Native,88.23529411764706
Brivekimig1,Native,Letolizumab,BM,58.82352941176471
Brivekimig1,Native,Ozekibart,BM,88.23529411764706
Brivekimig1,Native,Ozoralizumab,SR,52.94117647058824
Brivekimig1,Native,Podentamig1,Native,76.47058823529412
Brivekimig1,Native,Porustobart,BM,52.94117647058824
Brivekimig1,Native,Rimteravimab,SR,88.23529411764706
Brivekimig1,Native,Sonelokimab1,Native,82.35294117647058
Brivekimig1,Native,Sonelokimab2,SR,88.23529411764706
Brivekimig1,Native,Tarperprumig,BM,82.35294117647058
Brivekimig1,Native,Vobarilizumab,SR,64.70588235294117
Brivekimig2,BM,Brivekimig1,Native,52.94117647058824
Brivekimig2,BM,Caplacizumab,SR,64.70588235294117
Brivekimig2,BM,Enristomig,BM,70.58823529411765
Brivekimig2,BM,Envafolimab,SR,58.82352941176471
Brivekimig2,BM,Erfonrilimab,SR,58.82352941176471
Brivekimig2,BM,Gefurulimab,BM,58.82352941176471
Brivekimig2,BM,Gocatamig2,BM,52.94117647058824
Brivekimig2,BM,Isecarosmab,Native,58.82352941176471
Brivekimig2,BM,Letolizumab,BM,76.47058823529412
Brivekimig2,BM,Ozekibart,BM,64.70588235294117
Brivekimig2,BM,Ozoralizumab,SR,82.35294117647058
Brivekimig2,BM,Podentamig1,Native,52.94117647058824
Brivekimig2,BM,Porustobart,BM,88.23529411764706
Brivekimig2,BM,Rimteravimab,SR,58.82352941176471
Brivekimig2,BM,Sonelokimab1,Native,47.05882352941176
Brivekimig2,BM,Sonelokimab2,SR,58.82352941176471
Brivekimig2,BM,Tarperprumig,BM,58.82352941176471
Brivekimig2,BM,Vobarilizumab,SR,64.70588235294117
Caplacizumab,SR,Brivekimig1,Native,82.35294117647058
Caplacizumab,SR,Brivekimig2,BM,64.70588235294117
Caplacizumab,SR,Enristomig,BM,58.82352941176471
Caplacizumab,SR,Envafolimab,SR,76.47058823529412
Caplacizumab,SR,Erfonrilimab,SR,76.47058823529412
Caplacizumab,SR,Gefurulimab,BM,70.58823529411765
Caplacizumab,SR,Gocatamig2,BM,70.58823529411765
Caplacizumab,SR,Isecarosmab,Native,82.35294117647058
Caplacizumab,SR,Letolizumab,BM,70.58823529411765
Caplacizumab,SR,Ozekibart,BM,82.35294117647058
Caplacizumab,SR,Ozoralizumab,SR,64.70588235294117
Caplacizumab,SR,Podentamig1,Native,82.35294117647058
Caplacizumab,SR,Porustobart,BM,64.70588235294117
Caplacizumab,SR,Rimteravimab,SR,82.35294117647058
Caplacizumab,SR,Sonelokimab1,Native,70.58823529411765
Caplacizumab,SR,Sonelokimab2,SR,82.35294117647058
Caplacizumab,SR,Tarperprumig,BM,70.58823529411765
Caplacizumab,SR,Vobarilizumab,SR,82.35294117647058
Enristomig,BM,Brivekimig1,Native,58.82352941176471
Enristomig,BM,Brivekimig2,BM,70.58823529411765
Enristomig,BM,Caplacizumab,SR,58.82352941176471
Enristomig,BM,Envafolimab,SR,58.82352941176471
Enristomig,BM,Erfonrilimab,SR,58.82352941176471
Enristomig,BM,Gefurulimab,BM,64.70588235294117
Enristomig,BM,Gocatamig2,BM,64.70588235294117
Enristomig,BM,Isecarosmab,Native,58.82352941176471
Enristomig,BM,Letolizumab,BM,64.70588235294117
Enristomig,BM,Ozekibart,BM,64.70588235294117
Enristomig,BM,Ozoralizumab,SR,64.70588235294117
Enristomig,BM,Podentamig1,Native,70.58823529411765
Enristomig,BM,Porustobart,BM,70.58823529411765
Enristomig,BM,Rimteravimab,SR,64.70588235294117
Enristomig,BM,Sonelokimab1,Native,52.94117647058824
Enristomig,BM,Sonelokimab2,SR,58.82352941176471
Enristomig,BM,Tarperprumig,BM,64.70588235294117
Enristomig,BM,Vobarilizumab,SR,64.70588235294117
Envafolimab,SR,Brivekimig1,Native,76.47058823529412
Envafolimab,SR,Brivekimig2,BM,58.82352941176471
Envafolimab,SR,Caplacizumab,SR,76.47058823529412
Envafolimab,SR,Enristomig,BM,58.82352941176471
Envafolimab,SR,Erfonrilimab,SR,100.0
Envafolimab,SR,Gefurulimab,BM,76.47058823529412
Envafolimab,SR,Gocatamig2,BM,70.58823529411765
Envafolimab,SR,Isecarosmab,Native,82.35294117647058
Envafolimab,SR,Letolizumab,BM,58.82352941176471
Envafolimab,SR,Ozekibart,BM,76.47058823529412
Envafolimab,SR,Ozoralizumab,SR,58.82352941176471
Envafolimab,SR,Podentamig1,Native,64.70588235294117
Envafolimab,SR,Porustobart,BM,58.82352941176471
Envafolimab,SR,Rimteravimab,SR,82.35294117647058
Envafolimab,SR,Sonelokimab1,Native,64.70588235294117
Envafolimab,SR,Sonelokimab2,SR,76.47058823529412
Envafolimab,SR,Tarperprumig,BM,76.47058823529412
Envafolimab,SR,Vobarilizumab,SR,76.47058823529412
Erfonrilimab,SR,Brivekimig1,Native,76.47058823529412
Erfonrilimab,SR,Brivekimig2,BM,58.82352941176471
Erfonrilimab,SR,Caplacizumab,SR,76.47058823529412
Erfonrilimab,SR,Enristomig,BM,58.82352941176471
Erfonrilimab,SR,Envafolimab,SR,100.0
Erfonrilimab,SR,Gefurulimab,BM,76.47058823529412
Erfonrilimab,SR,Gocatamig2,BM,70.58823529411765
Erfonrilimab,SR,Isecarosmab,Native,82.35294117647058
Erfonrilimab,SR,Letolizumab,BM,58.82352941176471
Erfonrilimab,SR,Ozekibart,BM,76.47058823529412
Erfonrilimab,SR,Ozoralizumab,SR,58.82352941176471
Erfonrilimab,SR,Podentamig1,Native,64.70588235294117
Erfonrilimab,SR,Porustobart,BM,58.82352941176471
Erfonrilimab,SR,Rimteravimab,SR,82.35294117647058
Erfonrilimab,SR,Sonelokimab1,Native,64.70588235294117
Erfonrilimab,SR,Sonelokimab2,SR,76.47058823529412
Erfonrilimab,SR,Tarperprumig,BM,76.47058823529412
Erfonrilimab,SR,Vobarilizumab,SR,76.47058823529412
Gefurulimab,BM,Brivekimig1,Native,82.35294117647058
Gefurulimab,BM,Brivekimig2,BM,58.82352941176471
Gefurulimab,BM,Caplacizumab,SR,70.58823529411765
Gefurulimab,BM,Enristomig,BM,64.70588235294117
Gefurulimab,BM,Envafolimab,SR,76.47058823529412
Gefurulimab,BM,Erfonrilimab,SR,76.47058823529412
Gefurulimab,BM,Gocatamig2,BM,64.70588235294117
Gefurulimab,BM,Isecarosmab,Native,76.47058823529412
Gefurulimab,BM,Letolizumab,BM,58.82352941176471
Gefurulimab,BM,Ozekibart,BM,88.23529411764706
Gefurulimab,BM,Ozoralizumab,SR,58.82352941176471
Gefurulimab,BM,Podentamig1,Native,64.70588235294117
Gefurulimab,BM,Porustobart,BM,58.82352941176471
Gefurulimab,BM,Rimteravimab,SR,76.47058823529412
Gefurulimab,BM,Sonelokimab1,Native,76.47058823529412
Gefurulimab,BM,Sonelokimab2,SR,76.47058823529412
Gefurulimab,BM,Tarperprumig,BM,100.0
Gefurulimab,BM,Vobarilizumab,SR,64.70588235294117
Gocatamig2,BM,Brivekimig1,Native,64.70588235294117
Gocatamig2,BM,Brivekimig2,BM,52.94117647058824
Gocatamig2,BM,Caplacizumab,SR,70.58823529411765
Gocatamig2,BM,Enristomig,BM,64.70588235294117
Gocatamig2,BM,Envafolimab,SR,70.58823529411765
Gocatamig2,BM,Erfonrilimab,SR,70.58823529411765
Gocatamig2,BM,Gefurulimab,BM,64.70588235294117
Gocatamig2,BM,Isecarosmab,Native,70.58823529411765
Gocatamig2,BM,Letolizumab,BM,58.82352941176471
Gocatamig2,BM,Ozekibart,BM,58.82352941176471
Gocatamig2,BM,Ozoralizumab,SR,52.94117647058824
Gocatamig2,BM,Podentamig1,Native,76.47058823529412
Gocatamig2,BM,Porustobart,BM,52.94117647058824
Gocatamig2,BM,Rimteravimab,SR,64.70588235294117
Gocatamig2,BM,Sonelokimab1,Native,52.94117647058824
Gocatamig2,BM,Sonelokimab2,SR,64.70588235294117
Gocatamig2,BM,Tarperprumig,BM,64.70588235294117
Gocatamig2,BM,Vobarilizumab,SR,88.23529411764706
Isecarosmab,Native,Brivekimig1,Native,88.23529411764706
Isecarosmab,Native,Brivekimig2,BM,58.82352941176471
Isecarosmab,Native,Caplacizumab,SR,82.35294117647058
Isecarosmab,Native,Enristomig,BM,58.82352941176471
Isecarosmab,Native,Envafolimab,SR,82.35294117647058
Isecarosmab,Native,Erfonrilimab,SR,82.35294117647058
Isecarosmab,Native,Gefurulimab,BM,76.47058823529412
Isecarosmab,Native,Gocatamig2,BM,70.58823529411765
Isecarosmab,Native,Letolizumab,BM,70.58823529411765
Isecarosmab,Native,Ozekibart,BM,88.23529411764706
Isecarosmab,Native,Ozoralizumab,SR,58.82352941176471
Isecarosmab,Native,Podentamig1,Native,70.58823529411765
Isecarosmab,Native,Porustobart,BM,58.82352941176471
Isecarosmab,Native,Rimteravimab,SR,94.11764705882352
Isecarosmab,Native,Sonelokimab1,Native,76.47058823529412
Isecarosmab,Native,Sonelokimab2,SR,88.23529411764706
Isecarosmab,Native,Tarperprumig,BM,76.47058823529412
Isecarosmab,Native,Vobarilizumab,SR,76.47058823529412
Letolizumab,BM,Brivekimig1,Native,58.82352941176471
Letolizumab,BM,Brivekimig2,BM,76.47058823529412
Letolizumab,BM,Caplacizumab,SR,70.58823529411765
Letolizumab,BM,Enristomig,BM,64.70588235294117
Letolizumab,BM,Envafolimab,SR,58.82352941176471
Letolizumab,BM,Erfonrilimab,SR,58.82352941176471
Letolizumab,BM,Gefurulimab,BM,58.82352941176471
Letolizumab,BM,Gocatamig2,BM,58.82352941176471
Letolizumab,BM,Isecarosmab,Native,70.58823529411765
Letolizumab,BM,Ozekibart,BM,70.58823529411765
Letolizumab,BM,Ozoralizumab,SR,82.35294117647058
Letolizumab,BM,Podentamig1,Native,58.82352941176471
Letolizumab,BM,Porustobart,BM,82.35294117647058
Letolizumab,BM,Rimteravimab,SR,64.70588235294117
Letolizumab,BM,Sonelokimab1,Native,52.94117647058824
Letolizumab,BM,Sonelokimab2,SR,64.70588235294117
Letolizumab,BM,Tarperprumig,BM,58.82352941176471
