antibody_id,pdb_path,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total,structure_errors,canonical_H1,canonical_H2,canonical_H3,canonical_L1,canonical_L2,canonical_L3,sequence_errors,pI,GRAVY,instability_index,net_charge_pH7,hydro_patch_max9,charge_patch_max7,agg_motifs,deamidation_sites,isomerization_sites,cmc_flags,immuno_risk_level,immuno_tcia_score,immuno_n_high,immuno_n_medium,immuno_n_tolerated,immuno_n_clusters
Abazistobart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abazistobart.pdb,87.28083417406727,65,4.71221197189245,2.5336875915527344,460.487350887263,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.66,-0.255,47.5,3.1,0.556,3.0,0,3,0,,HIGH,0.7567,32,2,28,3
Abiprubart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abiprubart.pdb,86.12334350011254,58,4.680586792453153,2.05556058883667,575.222826708811,,H1-10-1,H2-16-?,H3-5,L1-10-1,L2-7-1,L3-9,,8.78,-0.453,50.0,4.0,0.556,3.0,0,0,0,,HIGH,0.6497,29,9,25,5
Abituzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abituzumab.pdb,82.37910445079869,65,4.73282033518741,2.8955745697021484,537.5447884074545,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.78,-0.42,40.8,0.9,0.667,3.0,1,0,0,hydro_patch_moderate (0.67),HIGH,0.5836,21,20,25,5
Abrezekimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Abrezekimab.pdb,84.47507501874341,95,4.620617084178446,1.601601243019104,495.7916030885641,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.83,-0.221,27.7,-1.2,0.778,3.0,0,2,2,hydro_patch_high (0.78),HIGH,0.6434,19,5,40,4
Adebrelimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Adebrelimab.pdb,77.88678122422911,71,4.681173166266423,2.6926941871643066,532.9458868436867,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.06,-0.422,41.3,0.1,0.667,3.0,0,1,0,hydro_patch_moderate (0.67),HIGH,0.653,17,7,35,5
Adimanebart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Adimanebart.pdb,88.44076578468815,88,4.608368346711251,1.0054962635040283,553.6610252026823,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.262,35.7,0.9,0.778,4.0,0,2,1,hydro_patch_high (0.78),HIGH,0.6875,10,1,63,4
Alacizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Alacizumab.pdb,87.836209518903,58,4.711153704288939,2.2298583984375,521.3433215125315,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.34,-0.225,45.9,1.8,0.556,3.0,0,1,2,,HIGH,0.6683,17,8,52,4
Alemtuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Alemtuzumab.pdb,81.99304697101933,79,4.703817378216927,2.369065046310425,479.9473156434003,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.14,-0.386,40.2,5.9,0.556,3.0,0,0,0,,HIGH,0.7431,40,4,19,4
Aletekitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Aletekitug.pdb,82.45096026320981,86,4.55860645123991,1.638128399848938,560.5790399913544,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.55,-0.442,43.4,-2.2,0.556,4.0,0,0,3,,HIGH,0.6973,23,9,31,4
Alpitatug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Alpitatug.pdb,78.56802351391035,72,4.702588360421609,1.4076496362686157,539.4567590784353,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.77,-0.303,28.8,0.8,0.556,2.0,0,1,1,,HIGH,0.7251,24,3,43,4
