Name,FR1_len,FR2_len,FR3_len,FR4_len,total_FR_len,CDR1_len,CDR2_len,CDR3_len,total_CDR_len,CDR2_fold,In_Paper_Table1
131I-GMIB-Anti-HER2-VHH1,25,17,38,11,91,8,8,13,29,H2-8-1,N
68-GaNOTA-Anti-HER2 VHH1,25,17,38,11,91,8,8,13,29,H2-8-1,N
ALX-0171,25,17,38,11,91,8,8,19,35,H2-8-1,N
Brivekimig1,25,17,38,11,91,9,8,16,33,H2-10-1,Y
Brivekimig2,25,17,38,11,91,8,8,8,24,H2-10-1,Y
CD20 VHH CAR-T,25,17,38,11,91,8,8,13,29,H2-8-1,N
CD33 VHH CAR-T,25,17,38,11,91,8,8,13,29,H2-8-1,N
Caplacizumab,25,17,38,11,91,8,8,21,37,H2-10-1,Y
Ciltacabtagene autoleucel (cilta-cel),25,17,38,11,91,8,8,12,28,H2-8-1,N
Enristomig,25,17,38,11,91,8,7,5,20,H2-9-1,Y
Envafolimab,25,17,38,11,91,8,8,21,37,H2-10-1,Y
Erfonrilimab,25,17,38,11,91,8,8,21,37,H2-10-1,Y
Gefurulimab,25,17,38,11,91,8,7,17,32,H2-9-1,Y
Gocatamig1,25,17,38,11,91,8,10,16,34,H2-10-1,N
Gocatamig2,25,17,38,11,91,8,7,11,26,H2-9-1,Y
Gontivimab,25,17,38,11,91,8,8,19,35,H2-8-1,N
HER2 VHH CAR-T,25,17,38,11,91,8,8,13,29,H2-8-1,N
Isecarosmab,25,17,38,11,91,8,8,17,33,H2-10-1,Y
LCAR-B38M,25,17,38,11,91,8,8,12,28,H2-8-1,N
Letolizumab,25,17,38,11,91,8,8,11,27,H2-10-1,Y
Nb V565,25,17,38,11,91,8,8,8,24,H2-8-1,N
Ozekibart,25,17,38,11,91,8,8,16,32,H2-10-1,Y
Ozoralizumab,25,17,38,11,91,8,8,8,24,H2-10-1,Y
PD-L1 VHH CAR-T,25,17,38,11,91,8,8,21,37,H2-8-1,N
Podentamig1,25,17,38,11,91,8,6,14,28,unknown,Y
Podentamig2,25,17,38,11,91,8,10,16,34,H2-10-1,N
Porustobart,25,17,38,11,91,8,7,13,28,H2-9-1,Y
Produvofusp,25,17,38,11,91,8,8,22,38,H2-8-1,N
Pumitamig2,25,17,38,11,91,8,8,8,24,H2-8-1,N
Rimteravimab,25,17,38,11,91,8,8,18,34,H2-10-1,Y
Simridarlimab,25,17,38,11,91,8,7,9,24,H2-7-1,N
Sonelokimab (M1095),25,17,38,11,91,8,8,16,32,H2-8-1,N
Sonelokimab1,25,17,38,11,91,8,8,16,32,H2-10-1,Y
Sonelokimab2,25,17,38,11,91,6,8,17,31,H2-10-1,Y
Tarperprumig,25,17,38,11,91,8,7,17,32,H2-9-1,Y
Tixentamig,25,17,38,11,91,8,10,16,34,H2-10-1,N
VHH-ADC (HER2-MMAE),25,17,38,11,91,8,8,13,29,H2-8-1,N
VHH-Cell Therapy (VHH-T cell engager),25,17,38,11,91,8,10,16,34,H2-10-1,N
Vobarilizumab,25,17,38,11,91,8,7,15,30,H2-9-1,Y
