antibody_id,discovery_platform,ADI_natural384,pI,GRAVY,instability_index,net_charge_pH7,charge_patch_max7,Fv_charge_asymmetry,hydro_patch_max9,SAP_score,agg_motifs,hydro_cluster_count,glycosylation_sites,deamidation_sites,isomerization_sites,oxidation_sites,free_cys,total_cdr_length,psh,ppc,pnc,sfvcsp,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total
Abelacimab,phage_display,80.67,7.77,-0.282,40.9,0.73,4.0,0.999,0.667,0.714,4.0,4.0,0.0,2.0,1.0,7.0,4.0,53.0,692.83,1.0,3.0,2.0,89.479113,67.0,4.625662,0.870344,543.246635
Abrilumab,transgenic_animal,59.27,5.19,-0.343,35.3,-3.18,3.0,4.904,0.556,0.714,3.0,2.0,0.0,1.0,1.0,11.0,4.0,45.0,255.9,0.0,3.0,-10.0,84.093169,71.0,4.629423,1.720777,559.466315
Acrixolimab,transgenic_animal,66.0,6.16,-0.295,49.1,-1.09,3.0,8.986,0.667,0.857,5.0,3.0,0.0,2.0,5.0,8.0,4.0,47.0,386.9,2.0,3.0,-14.5,79.4198,60.0,4.662132,1.987249,554.459591
Actoxumab,human_b_cell_derived,65.97,8.35,-0.217,44.4,1.91,3.0,1.991,0.778,0.857,7.0,3.0,0.0,3.0,2.0,12.0,4.0,49.0,757.08,1.0,2.0,6.0,88.142456,70.0,4.694566,1.929661,489.157925
Adakitug,transgenic_animal,72.42,8.33,-0.28,39.7,1.82,3.0,0.012,0.778,0.857,8.0,5.0,0.0,2.0,2.0,7.0,4.0,44.0,355.09,2.0,2.0,4.2,84.774909,58.0,4.685595,2.145778,507.200399
Adalimumab,phage_display,72.59,8.34,-0.287,44.7,1.98,3.0,7.738,0.667,0.714,2.0,2.0,0.0,3.0,1.0,8.0,4.0,48.0,392.22,2.0,2.0,-9.5,83.716701,74.0,4.656709,1.65681,431.59026
Adecatumumab,phage_display,64.33,7.84,-0.457,47.9,0.89,2.0,3.083,0.667,0.857,4.0,2.0,0.0,2.0,3.0,12.0,4.0,54.0,315.79,1.0,3.0,0.0,80.843305,82.0,4.658891,1.556882,493.85103
Adezkibart,transgenic_animal,58.96,7.78,-0.472,45.8,0.82,4.0,4.91,0.556,0.571,2.0,2.0,0.0,1.0,1.0,7.0,4.0,49.0,911.44,3.0,2.0,-1.8,85.47,71.0,4.513623,0.857623,576.970599
Adintrevimab,human_b_cell_derived,63.61,5.67,-0.247,40.1,-2.02,4.0,0.08,0.556,0.571,3.0,3.0,0.0,3.0,4.0,7.0,4.0,57.0,291.68,1.0,2.0,0.0,88.19291,83.0,4.578797,1.484429,525.176994
Aducanumab,transgenic_animal,50.77,9.41,-0.317,47.6,8.81,3.0,5.089,0.889,1.0,7.0,3.0,0.0,1.0,2.0,9.0,4.0,51.0,422.6,2.0,2.0,24.0,82.359746,70.0,4.701288,1.997811,481.444419
Afasevikumab,phage_display,74.45,8.38,-0.258,49.5,1.9,3.0,1.91,0.556,0.571,4.0,4.0,1.0,2.0,1.0,9.0,4.0,51.0,645.97,1.0,2.0,3.0,84.896586,73.0,4.64871,1.80563,531.942103
Afimkibart,transgenic_animal,62.25,8.82,-0.42,39.3,3.82,3.0,2.006,0.556,0.714,4.0,4.0,0.0,1.0,0.0,12.0,4.0,51.0,214.59,2.0,2.0,8.2,80.962182,69.0,4.641342,1.808061,512.50737
Alcestobart,human_b_cell_derived,69.16,8.85,-0.316,48.1,3.72,3.0,1.992,0.667,0.714,1.0,1.0,1.0,2.0,2.0,7.0,4.0,39.0,220.17,1.0,2.0,8.0,86.723496,51.0,4.731034,2.360742,582.631824
Aldastotug,human_b_cell_derived,71.18,7.85,-0.398,40.3,0.9,3.0,2.92,0.667,0.714,6.0,4.0,1.0,0.0,1.0,9.0,4.0,47.0,175.3,1.0,3.0,0.2,82.157915,63.0,4.704935,1.001642,521.912564
Alextatug,phage_display,69.76,8.72,-0.341,44.0,4.85,4.0,1.122,0.667,0.714,4.0,4.0,0.0,1.0,3.0,9.0,8.0,71.0,490.19,3.0,4.0,9.3,81.820725,75.0,4.655741,1.102018,493.222447
Alirocumab,transgenic_animal,62.66,7.86,-0.356,35.0,0.89,2.0,1.162,0.556,0.714,5.0,5.0,0.0,1.0,4.0,9.0,4.0,51.0,358.39,1.0,3.0,1.1,76.607557,71.0,4.600535,1.566077,553.279539
Alomfilimab,phage_display,61.65,5.72,-0.337,46.5,-2.01,3.0,4.0,0.556,0.571,5.0,5.0,0.0,3.0,2.0,8.0,4.0,52.0,312.9,1.0,2.0,-3.8,83.898481,66.0,4.727796,2.856054,445.332701
Alsevalimab,phage_display,67.32,8.84,-0.278,44.7,3.82,2.0,0.168,0.556,0.571,4.0,4.0,0.0,0.0,0.0,6.0,4.0,47.0,172.45,1.0,1.0,9.3,83.822394,66.0,4.702546,1.887284,570.197809
Amlenetug,transgenic_animal,76.11,7.87,-0.321,42.1,0.81,3.0,0.998,0.556,0.714,4.0,4.0,0.0,2.0,2.0,8.0,4.0,44.0,202.48,3.0,1.0,2.0,85.893316,69.0,4.665271,2.208081,555.262058
Amlitelimab,phage_display,77.42,8.66,-0.238,45.8,2.89,2.0,2.991,0.667,0.714,4.0,3.0,0.0,2.0,1.0,9.0,4.0,54.0,717.12,2.0,2.0,5.5,79.652839,76.0,4.654217,1.673735,504.679512
Amrecibart,human_b_cell_derived,74.32,7.86,-0.3,44.9,0.89,3.0,2.834,0.667,0.714,1.0,1.0,0.0,2.0,1.0,9.0,4.0,51.0,428.81,2.0,1.0,0.0,82.229209,71.0,4.741026,2.825824,509.625419
Amubarvimab,transgenic_animal,77.05,7.87,-0.229,39.4,0.9,3.0,0.914,0.667,0.714,5.0,5.0,0.0,2.0,1.0,7.0,4.0,44.0,644.96,1.0,2.0,4.0,85.278269,60.0,4.712631,2.081957,549.480247
Anetumab,unlabeled,63.74,6.77,-0.309,36.6,-0.19,4.0,3.911,0.556,0.714,2.0,2.0,0.0,1.0,2.0,10.0,4.0,52.0,347.91,2.0,4.0,0.2,85.165448,67.0,4.644582,1.432852,668.705482
Anifrolumab,transgenic_animal,72.1,6.86,-0.257,37.8,-0.1,3.0,0.081,0.667,0.714,8.0,5.0,0.0,0.0,2.0,8.0,4.0,45.0,490.12,1.1,3.0,0.1,81.219588,69.0,4.691701,2.059604,585.051344
Ansipastobart,transgenic_animal,69.27,8.37,-0.304,39.1,1.89,4.0,3.989,0.556,0.714,2.0,2.0,0.0,2.0,2.0,7.0,4.0,48.0,346.21,2.0,3.0,0.0,87.596008,67.0,4.588514,1.925153,479.253363
Ansuvimab,human_b_cell_derived,64.16,8.39,-0.12,43.4,2.07,3.0,2.002,0.778,0.714,5.0,5.0,0.0,3.0,2.0,8.0,4.0,46.0,562.46,2.0,2.0,3.2,85.977878,67.0,4.707461,2.29564,582.71682
Anumigilimab,phage_display,71.9,8.35,-0.219,42.3,1.8,3.0,1.915,0.667,0.714,1.0,1.0,0.0,3.0,1.0,9.0,4.0,45.0,406.33,1.0,1.0,3.0,87.848938,64.0,4.726076,2.081981,479.704735
Anzurstobart,transgenic_animal,74.43,8.84,-0.282,41.5,3.73,3.0,0.006,0.667,0.714,3.0,2.0,0.0,0.0,0.0,11.0,4.0,47.0,481.21,1.0,3.0,9.0,85.859439,78.0,4.697746,2.366935,617.242703
Apitegromab,human_b_cell_derived,66.52,6.99,-0.294,43.8,-0.01,4.0,4.087,0.667,0.857,7.0,5.0,0.0,3.0,3.0,9.0,4.0,56.0,935.5,1.0,2.0,-4.1,86.196278,73.0,4.640772,2.256329,578.076233
Aprutumab,unlabeled,68.77,6.85,-0.347,40.3,-0.11,4.0,2.164,0.556,0.714,3.0,3.0,0.0,2.0,2.0,10.0,4.0,53.0,170.93,2.0,2.0,0.0,87.355024,87.0,4.588177,0.82647,544.236057
Ascrinvacumab,transgenic_animal,70.75,8.31,-0.279,33.3,1.82,3.0,0.003,0.556,0.571,4.0,4.0,0.0,0.0,0.0,5.0,4.0,46.0,380.6,1.0,3.0,4.2,83.506816,71.0,4.662192,1.904379,529.762895
Astegolimab,phage_display,50.82,5.15,-0.385,33.7,-3.11,3.0,5.156,0.556,0.714,1.0,1.0,0.0,1.0,0.0,10.0,4.0,48.0,329.67,1.1,5.0,-3.3,81.880501,74.0,4.737369,2.494716,514.489988
Atenastobart,transgenic_animal,64.04,7.85,-0.344,30.2,0.98,4.0,2.905,0.556,0.571,2.0,2.0,0.0,2.0,0.0,8.0,4.0,53.0,679.19,2.0,3.0,-3.2,85.793407,81.0,4.589908,1.643391,530.508364
Atidortoxumab,transgenic_animal,69.98,8.65,-0.2,37.6,2.89,3.0,2.831,0.667,0.714,3.0,2.0,0.0,0.0,0.0,9.0,4.0,46.0,707.8,1.0,3.0,4.4,83.266461,61.0,4.75837,2.77108,577.905565
Atigotatug,transgenic_animal,62.39,7.84,-0.373,48.0,0.8,3.0,0.92,0.556,0.714,2.0,1.0,0.0,3.0,1.0,9.0,4.0,49.0,515.16,4.0,1.0,2.0,85.175117,68.0,4.72524,1.985686,484.19408
Atinumab,transgenic_animal,71.23,8.67,-0.263,45.4,2.81,3.0,1.0,0.556,0.714,5.0,5.0,0.0,2.0,2.0,7.0,4.0,41.0,565.22,2.0,2.0,4.0,88.416861,55.0,4.731716,1.641402,554.287371
