antibody_id,mean_plddt,min_plddt,frac_plddt_ge70,frac_plddt_ge90,mean_plddt_vh,mean_plddt_linker,min_plddt_linker,std_plddt_linker,frac_plddt_linker_ge70,mean_plddt_vl,clash_total,clash_vh_linker,clash_linker_vl,clash_vh_vl,contact_vh_vl,contact_vh_linker,contact_linker_vl,linker_end_to_end_a,junction_vh_vl_a,rg_full,rg_vh,rg_linker,rg_vl,n_residues,vh_len,linker_len,vl_len
Acapatamab,84.4320987654321,30.0,0.9053497942386831,0.4732510288065844,87.6198347107438,37.46666666666667,30.0,6.751460747291819,0.0,87.41121495327103,0,0,0,0,43,22,11,31.030467987060547,31.40856170654297,17.57671356201172,13.53972053527832,10.713796615600586,12.853513717651367,243,121,15,107
Acimtamig,85.74688796680498,26.0,0.9294605809128631,0.5601659751037344,88.125,34.0,26.0,7.874007874011811,0.0,90.37735849056604,0,0,0,0,44,21,8,30.73114776611328,30.057239532470703,17.79175567626953,13.448376655578613,10.64000415802002,12.828714370727539,241,120,15,106
Alnuctamab,86.80833333333334,28.999999999999996,0.9291666666666667,0.625,90.07758620689656,36.733333333333334,28.999999999999996,7.056596598612929,0.0,90.22018348623853,0,0,0,0,38,25,4,33.65936279296875,29.413190841674805,17.66107177734375,13.204997062683105,11.314472198486328,12.9686279296875,240,116,15,109
Azerutamig,82.40983606557377,39.0,0.8729508196721312,0.32786885245901637,85.02459016393442,43.8,39.0,4.860726968948851,0.0,84.8411214953271,0,0,0,0,49,8,4,32.827823638916016,29.329662322998047,17.7968807220459,13.65603256225586,11.364130973815918,12.806234359741211,244,122,15,107
Bavunalimab,85.89878542510121,30.0,0.9190283400809717,0.5708502024291497,88.58677685950413,36.53333333333333,30.0,6.427717756370106,0.0,89.63963963963964,0,0,0,0,40,20,7,33.15227127075195,29.249427795410156,17.821298599243164,13.584527015686035,11.094701766967773,13.110112190246582,247,121,15,111
Bexatamig,85.10887096774194,27.0,0.9112903225806451,0.5161290322580645,87.60833333333333,33.666666666666664,27.0,7.077350414448113,0.0,89.28318584070796,0,0,0,0,35,20,4,34.22239303588867,30.243154525756836,17.970273971557617,13.470391273498535,11.486396789550781,13.292811393737793,248,120,15,113
Cabotamig,83.39075630252101,27.0,0.9117647058823529,0.3445378151260504,86.54310344827586,34.06666666666667,27.0,6.567258856546535,0.0,86.88785046728972,0,0,0,0,34,19,4,33.000831604003906,29.48019790649414,17.72422981262207,13.388312339782715,11.306999206542969,12.789976119995117,238,116,15,107
Cadonilimab,85.48523206751055,28.999999999999996,0.9324894514767933,0.5147679324894515,87.08695652173913,38.06666666666667,28.999999999999996,8.713718430663738,0.0,90.41121495327103,0,0,0,0,36,25,5,33.332393646240234,30.453746795654297,17.709232330322266,13.297636032104492,11.155590057373047,12.812704086303711,237,115,15,107
Cibisatamab,84.80327868852459,32.0,0.889344262295082,0.4959016393442623,86.47933884297521,37.53333333333333,32.0,6.020705015933673,0.0,89.49074074074075,0,0,0,0,37,28,9,31.4016170501709,32.293235778808594,17.6361083984375,13.791878700256348,10.33543872833252,12.903053283691406,244,121,15,108
Cizutamig,85.6872427983539,31.0,0.9094650205761317,0.5637860082304527,87.37190082644628,37.06666666666667,31.0,5.926962872238099,0.0,90.59813084112149,0,0,0,0,48,22,3,34.005191802978516,30.781282424926758,17.724740982055664,13.728554725646973,11.275004386901855,12.757493019104004,243,121,15,107
Cugrastomig,85.65289256198348,35.0,0.9173553719008265,0.5495867768595041,86.7,41.13333333333333,35.0,7.898241717130607,0.0,90.7196261682243,0,0,0,0,36,26,5,34.19795227050781,30.348154067993164,17.667634963989258,13.569767951965332,10.96386432647705,12.80245304107666,242,120,15,107
Danvilostomig,86.81742738589212,28.999999999999996,0.9336099585062241,0.6058091286307054,90.13559322033899,37.4,28.999999999999996,8.089499366462674,0.0,90.05555555555556,0,0,0,0,37,20,5,33.754783630371094,29.808753967285156,17.727371215820312,13.358549118041992,11.121875762939453,12.77311897277832,241,118,15,108
Donzakimig1,84.97560975609755,32.0,0.8861788617886179,0.5487804878048781,88.18487394957984,38.266666666666666,32.0,6.874752520798274,0.0,87.82142857142857,0,0,0,0,42,21,10,32.26765441894531,29.669139862060547,17.71279525756836,13.496131896972656,10.868544578552246,13.490574836730957,246,119,15,112
Donzakimig2,86.18987341772151,28.000000000000004,0.9282700421940928,0.5780590717299579,89.09482758620689,36.13333333333333,28.000000000000004,7.172788083366808,0.0,90.09433962264151,0,0,0,0,29,28,13,31.503854751586914,32.42084503173828,17.665847778320312,13.412440299987793,10.72915267944336,12.736628532409668,237,116,15,106
