sequence_id,cdr1_cluster_id,cdr1_proxy_score,cdr2_cluster_id,cdr2_proxy_score
M99641|IGHV1-18*01|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C1,0.7385
X60503|IGHV1-18*02|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C1,0.7385
HM855463|IGHV1-18*03|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C1,0.7385
KC713938|IGHV1-18*04|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C1,0.7385
X07448|IGHV1-2*01|Homo,cdr1_L8_C2,0.8105,cdr2_L8_C2,0.9692
X62106|IGHV1-2*02|Homo,cdr1_L8_C2,0.8105,cdr2_L8_C2,0.9692
KF698733|IGHV1-2*04|Homo,cdr1_L8_C2,0.8105,cdr2_L8_C2,0.9692
HM855674|IGHV1-2*05|Homo,cdr1_L8_C2,0.8105,cdr2_L8_C2,0.9692
MH267285|IGHV1-2*06|Homo,cdr1_L8_C2,0.8105,cdr2_L8_C2,0.9692
MN337615|IGHV1-2*07|Homo,cdr1_L8_C2,0.8105,cdr2_L8_C2,0.9692
M99642|IGHV1-24*01|Homo,cdr1_L8_C3,0.5895,cdr2_L8_C3,0.5077
X62109|IGHV1-3*01|Homo,cdr1_L8_C1,0.9684,cdr2_L8_C4,0.9538
X62107|IGHV1-3*02|Homo,cdr1_L8_C1,0.9684,cdr2_L8_C4,0.9038
MK540645|IGHV1-3*03|Homo,cdr1_L8_C1,0.9684,cdr2_L8_C4,0.9538
MH779622|IGHV1-3*04|Homo,cdr1_L8_C1,0.9684,cdr2_L8_C4,0.9038
MN337616|IGHV1-3*05|Homo,cdr1_L8_C1,0.9684,cdr2_L8_C4,0.9538
KF698736|IGHV1-38-4*01|Homo,cdr1_L8_C4,0.5895,cdr2_L8_C5,0.4615
AB019438|IGHV1-45*02|Homo,cdr1_L8_C5,0.6684,cdr2_L8_C6,0.5077
IMGT000112|IGHV1-45*03|Homo,cdr1_L8_C5,0.6684,cdr2_L8_C6,0.5077
X92343|IGHV1-46*01|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C7,0.7385
J00240|IGHV1-46*02|Homo,cdr1_L8_C6,0.5895,cdr2_L8_C7,0.7385
L06612|IGHV1-46*03|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C7,0.7385
MK540650|IGHV1-46*04|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C7,0.7385
M29809|IGHV1-58*01|Homo,cdr1_L8_C7,0.7605,cdr2_L8_C8,0.6308
AB019438|IGHV1-58*02|Homo,cdr1_L8_C7,0.7605,cdr2_L8_C8,0.6308
