canonical_id,display_name,entity_class,modality_class,statistical_inclusion,vhh42_role,origin_tags,cohort_platform_tag,canonical_sequence_hash,sequence_status,duplicate_group_id,duplicate_group_size,duplicate_reason,aliases_same_sequence,in_clinical_39,in_master_table_40,in_vhh42_cmc,in_database_b_29,in_structural_union_69,germline_top_match,ada_majority_risk,structural_pdb_model
131i_gmib_anti_her2_vhh1,131I-GMIB-Anti-HER2-VHH1,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,591993115ad6,sequence_present,seqhash:591993115ad6,6,alias_or_reused_construct,131I-GMIB-Anti-HER2-VHH1;68-GaNOTA-Anti-HER2 VHH1;CD20 VHH CAR-T;CD33 VHH CAR-T;HER2 VHH CAR-T;VHH-ADC (HER2-MMAE),True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\131I-GMIB-Anti-HER2-VHH1\rank0_unrefined.pdb
68_ganota_anti_her2_vhh1,68-GaNOTA-Anti-HER2 VHH1,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,591993115ad6,sequence_present,seqhash:591993115ad6,6,alias_or_reused_construct,131I-GMIB-Anti-HER2-VHH1;68-GaNOTA-Anti-HER2 VHH1;CD20 VHH CAR-T;CD33 VHH CAR-T;HER2 VHH CAR-T;VHH-ADC (HER2-MMAE),True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\68-GaNOTA-Anti-HER2_VHH1\rank0_unrefined.pdb
alx_0171,ALX-0171,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,d5aadc3c9dd1,sequence_present,seqhash:d5aadc3c9dd1,2,alias_or_reused_construct,ALX-0171;Gontivimab,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\ALX-0171\rank0_unrefined.pdb
brivekimig1,Brivekimig1,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,851c60cb2790,sequence_present,,1,unique_sequence,Brivekimig1,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Brivekimig1\rank0_unrefined.pdb
brivekimig2,Brivekimig2,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,a5b7bbc85724,sequence_present,,1,unique_sequence,Brivekimig2,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Brivekimig2\rank0_unrefined.pdb
cd20_vhh_car_t,CD20 VHH CAR-T,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,591993115ad6,sequence_present,seqhash:591993115ad6,6,alias_or_reused_construct,131I-GMIB-Anti-HER2-VHH1;68-GaNOTA-Anti-HER2 VHH1;CD20 VHH CAR-T;CD33 VHH CAR-T;HER2 VHH CAR-T;VHH-ADC (HER2-MMAE),True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\CD20_VHH_CAR-T\rank0_unrefined.pdb
cd33_vhh_car_t,CD33 VHH CAR-T,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,591993115ad6,sequence_present,seqhash:591993115ad6,6,alias_or_reused_construct,131I-GMIB-Anti-HER2-VHH1;68-GaNOTA-Anti-HER2 VHH1;CD20 VHH CAR-T;CD33 VHH CAR-T;HER2 VHH CAR-T;VHH-ADC (HER2-MMAE),True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\CD33_VHH_CAR-T\rank0_unrefined.pdb
caplacizumab,Caplacizumab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,5ddb34136fb7,sequence_present,,1,unique_sequence,Caplacizumab,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Caplacizumab\rank0_unrefined.pdb
ciltacabtagene_autoleucel_cilta_cel,Ciltacabtagene autoleucel (cilta-cel),clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,4255a073ce13,sequence_present,seqhash:4255a073ce13,2,alias_or_reused_construct,Ciltacabtagene autoleucel (cilta-cel);LCAR-B38M,True,True,True,False,True,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Ciltacabtagene_autoleucel_cilta-cel\rank0_unrefined.pdb
enristomig,Enristomig,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,977465de673e,sequence_present,,1,unique_sequence,Enristomig,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Enristomig\rank0_unrefined.pdb
