[seq] 1yzz_A
[seq] 1yzz_B
[seq] 3eak_A
[seq] 3eak_B
[seq] 3eba_A
[seq] 6rnk_B
[seq] 6z10_B
[seq] 1bzq_K
[seq] 1bzq_L
[seq] 1bzq_M
[seq] 1bzq_N
[seq] 1f2x_K
[seq] 1f2x_L
[seq] 1kxq_E
[seq] 1kxq_F
[seq] 1kxq_G
[seq] 1kxq_H
[seq] 1kxt_B
[seq] 1kxt_D
[seq] 1kxt_F
[seq] 1kxv_C
[seq] 1kxv_D
[seq] 1mel_A
[seq] 1mel_B
[seq] 1op9_A
[seq] 1xfp_A
[seq] 1yc7_A
[seq] 1yc7_B
[seq] 1yc8_A
[predict] 1yzz_A len=115
[predict] 1yzz_B len=115
[predict] 3eak_A len=127
[predict] 3eak_B len=127
[predict] 3eba_A len=122
[predict] 6rnk_B len=129
[predict] 6z10_B len=128
[predict] 1bzq_K len=124
[predict] 1bzq_L len=124
[predict] 1bzq_M len=124
[predict] 1bzq_N len=124
[predict] 1f2x_K len=126
[predict] 1f2x_L len=126
[predict] 1kxq_E len=120
[predict] 1kxq_F len=120
[predict] 1kxq_G len=120
[predict] 1kxq_H len=120
[predict] 1kxt_B len=123
[predict] 1kxt_D len=123
[predict] 1kxt_F len=123
[predict] 1kxv_C len=119
[predict] 1kxv_D len=121
[predict] 1mel_A len=132
[predict] 1mel_B len=132
[predict] 1op9_A len=121
[predict] 1xfp_A len=131
[predict] 1yc7_A len=116
[predict] 1yc7_B len=116
[predict] 1yc8_A len=116
