antibody_id,ADI_abref458_27m,pI,GRAVY,instability_index,net_charge_pH7,charge_patch_max7,Fv_charge_asymmetry,hydro_patch_max9,SAP_score,agg_motifs,hydro_cluster_count,glycosylation_sites,deamidation_sites,isomerization_sites,oxidation_sites,free_cys,total_cdr_length,psh,ppc,pnc,sfvcsp,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total
Abazistobart,61.21,8.66,-0.255,47.5,3.07,3.0,0.908,0.556,0.714,5.0,5.0,0.0,3.0,0.0,7.0,4.0,62.0,385.16,3.0,1.0,6.0,87.28083417406727,65.0,4.71221197189245,2.5336875915527344,460.487350887263
Abiprubart,62.19,8.78,-0.453,50.0,3.99,3.0,5.829,0.556,0.571,2.0,2.0,0.0,0.0,0.0,9.0,4.0,58.0,298.94,4.0,1.0,0.4,86.12334350011254,58.0,4.680586792453153,2.05556058883667,575.222826708811
Abituzumab,75.69,7.78,-0.42,40.8,0.9,3.0,2.988,0.667,0.714,3.0,3.0,0.0,0.0,0.0,10.0,4.0,63.0,317.47,2.0,1.0,-3.1,82.37910445079869,65.0,4.73282033518741,2.8955745697021484,537.5447884074545
Abrezekimab,52.81,5.83,-0.221,27.7,-1.18,3.0,2.909,0.778,0.714,8.0,6.0,0.0,2.0,2.0,12.0,4.0,65.0,324.53,2.0,4.0,0.2,84.47507501874341,95.0,4.620617084178446,1.601601243019104,495.7916030885641
Adebrelimab,75.26,7.06,-0.422,41.3,0.09,3.0,5.816,0.667,0.714,3.0,3.0,0.0,1.0,0.0,10.0,4.0,68.0,455.96,3.0,4.0,-1.6,77.88678122422911,71.0,4.681173166266423,2.6926941871643066,532.9458868436867
Adimanebart,69.4,7.86,-0.262,35.7,0.89,4.0,4.993,0.778,0.714,2.0,2.0,0.0,2.0,1.0,7.0,4.0,72.0,1159.04,2.0,1.0,-5.7,88.44076578468815,88.0,4.608368346711251,1.0054962635040283,553.6610252026823
Alacizumab,63.54,8.34,-0.225,45.9,1.8,3.0,3.919,0.556,0.714,1.0,1.0,0.0,1.0,2.0,7.0,4.0,62.0,461.45,1.0,2.0,0.0,87.836209518903,58.0,4.711153704288939,2.2298583984375,521.3433215125315
Alemtuzumab,63.24,9.14,-0.386,40.2,5.9,3.0,1.992,0.556,0.714,2.0,2.0,0.0,0.0,0.0,7.0,4.0,66.0,291.13,5.1,2.0,16.81,81.99304697101933,79.0,4.703817378216927,2.369065046310425,479.9473156434003
Aletekitug,55.68,5.55,-0.442,43.4,-2.17,4.0,1.896,0.556,0.714,1.0,1.0,0.0,0.0,3.0,10.0,4.0,71.0,542.39,3.0,5.0,-4.0,82.45096026320981,86.0,4.55860645123991,1.638128399848938,560.5790399913544
Alpitatug,70.69,7.77,-0.303,28.8,0.81,2.0,2.898,0.556,0.714,4.0,4.0,0.0,1.0,1.0,7.0,4.0,66.0,272.05,2.0,1.0,0.0,78.56802351391035,72.0,4.702588360421609,1.4076496362686157,539.4567590784353
Amdokitug,80.31,8.35,-0.354,40.3,1.89,3.0,1.992,0.667,0.857,6.0,3.0,0.0,2.0,1.0,10.0,4.0,60.0,229.36,4.0,1.0,3.3,86.76766204438451,53.0,4.755340543511796,2.6982004642486572,475.64490188631527
