antibody_name,evidence_tier,source_type,source_id,stored_ada,stored_pct,verify_status,source_pct,delta,extracted_pcts,note,source_snippet
Adalimumab,A,URL,FDA prescribing information,30%,30.0,UNREACHABLE,,,[],URL unreachable: FDA prescribing information,
Anifrolumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC5299497/,"5.1% for anifrolumab 300 mg, 2.0% for anifrolumab 1,000 mg (vs 3% placebo)",5.1,VERIFIED,3.0,2.1,"[0.0, 1.0, 2.0, 3.0, 3.8, 4.9, 5.0, 5.1]",,
Astegolimab,A,PMID,41163220.0,8.0%,8.0,DISCREPANCY,29.0,21.0,"[29.0, 41.0, 77.0, 81.0]","Source has [29.0, 41.0, 77.0, 81.0], stored=8.0%","1. Respir Res. 2025 Oct 29;26(1):302. doi: 10.1186/s12931-025-03360-0.  Safety and tolerability of astegolimab, an anti-ST2 monoclonal antibody: a  narrative review.  Kelsen SG(1), Maurer M(2)(3), Wat"
Bezlotoxumab,B,FDA_PI,https://www.fda.gov/media/98708/download,0% (treatment-emergent ADA not detected; <1% equivalent for panel; FDA briefing ,0.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Brodalumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC12525274/,"0-3.3% (review), 2.38% (pooled), 5.0-9.8% (binding antibodies)",3.3,VERIFIED,3.3,0.0,"[0.0, 0.1, 0.2, 0.3, 0.4, 1.0, 2.0, 3.0]",,
Burosumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761068s005lbl.pdf,Adults: 15% (20/131) ADA positive; Children 5-12 years: 19% (10/52); Children 1-,15.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Canakinumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/BLA125319_858687lbl.pdf,"1.5% (CAPS patients), 3.1% (SJIA patients)",1.5,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Cemiplimab,A,PMID,37656820.0,"1.9% (3 mg/kg q2w), 2.5% (350 mg q3w)",1.9,VERIFIED,1.9,0.0,"[1.9, 2.5]",,1. J Clin Pharmacol. 2024 Jan;64(1):125-136. doi: 10.1002/jcph.2340. Epub 2023 Sep  20.  Immunogenicity of Cemiplimab: Low Incidence of Antidrug Antibodies and Cut-Point  Suitability Across Tumor Type
Cilgavimab,A,PMID,40799036.0,Cilgavimab: 4.1% ADA incidence (2/49 participants); AZD7442 combination: 6.1% TE,4.1,VERIFIED,4.1,0.0,"[0.0, 4.1, 6.1, 81.8, 91.8]",,"1. Clin Pharmacol Drug Dev. 2025 Nov;14(11):836-845. doi: 10.1002/cpdd.1583. Epub  2025 Aug 13.  Safety, Tolerability, and Pharmacokinetics of the Long-Acting  SARS-CoV-2-Neutralizing Monoclonal Antib"
Denosumab,B,URL,https://link.springer.com/article/10.1007/s00198-025-07711-x,<1% (exact percentage not specified but below 1% threshold),1.0,VERIFIED,1.0,0.0,"[0.0, 0.4, 0.8, 1.0, 1.45, 3.0, 4.52, 4.55]",,
Durvalumab,B,URL,https://link.springer.com/article/10.1007/s11523-023-01007-y,"0.8% (anti-drug antibodies), 0.8% (neutralizing antibodies)",0.8,VERIFIED,0.8,0.0,"[0.0, 0.6, 0.8, 0.9, 1.0, 1.2, 1.5, 2.0]",,
Efalizumab,A,PMID,16503742.0,approximately 5%,5.0,VERIFIED,5.0,0.0,"[0.0, 0.3, 2.0, 5.0, 26.0, 29.0]",,1. Expert Opin Drug Saf. 2006 Mar;5(2):197-209. doi: 10.1517/14740338.5.2.197.  Efalizumab: a review of events reported during clinical trials and side effects.  Scheinfeld N(1).  Author information: 
Enfortumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761137s000lbl.pdf,"1% transiently positive (4/365 patients), 0.3% persistently positive (1/365 pati",1.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Erenumab,B,URL,https://www.ema.europa.eu/en/documents/product-information/aimovig-epar-product-information_en.pdf,"6.3% (70mg dose), 2.6% (140mg dose)",6.3,URL_LIVE,,,"[0.0, 1.0, 1.7, 2.0, 3.0, 4.0, 5.0, 6.0]",URL live; ADA % not extracted from page,
Golimumab,A,PMID,23089571.0,4.1-4.6%,4.6,DISCREPANCY,12.6,8.0,"[12.6, 57.0, 60.9, 69.6, 70.0, 70.9, 75.5, 100.0]","Source has [12.6, 57.0, 60.9, 69.6], stored=4.6%",1. J Pediatr Adolesc Gynecol. 2012 Dec;25(6):367-70. doi:  10.1016/j.jpag.2012.06.008. Epub 2012 Oct 22.  Factors contributing to initial weight loss among adolescents with polycystic  ovary syndrome.
Guselkumab,A,PMID,35246887.0,"4.1-14.7% (systematic review), 7.94% (pooled), 2% (clinical trial)",14.7,DISCREPANCY,0.6,14.1,"[0.6, 3.2, 14.7, 16.0, 18.0, 31.0]","Source has [0.6], stored=14.7%","1. J Eur Acad Dermatol Venereol. 2022 Aug;36(8):1171-1177. doi: 10.1111/jdv.18042.  Epub 2022 Mar 18.  Anti-drug antibodies of IL-23 inhibitors for psoriasis: a systematic review.  Norden A(1), Moon J"
Lanadelumab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=15f99d8c-efe7-4f7d-aa20-0d0f1e30c6e8,12% (Trial 1: 10 of lanadelumab-flyo-treated patients; 26-week period; US PI §12,12.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Necitumumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125547s000lbl.pdf,4.1% (33/814 patients),4.1,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Nirsevimab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f08fa60-f674-432d-801b-1f9514bd9b39,"5% (Trial 04, Day 361, 95/1778 ADA-positive); 3.3% (Trial 03, Day 361, 16/492)",5.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Ofatumumab,A,PMID,37450172.0,0.22% (2/914 patients),0.22,VERIFIED,1.8,1.58,"[1.8, 2.5, 15.0, 20.0, 51.6, 52.7, 99.8]",,"1. Neurol Ther. 2023 Oct;12(5):1491-1515. doi: 10.1007/s40120-023-00518-0. Epub  2023 Jul 14.  The Development of Ofatumumab, a Fully Human Anti-CD20 Monoclonal Antibody for  Practical Use in Relapsin"
Panitumumab,B,URL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3231982/,"1.8% binding antibodies (20/1124), 0.2% neutralizing antibodies (2/1124)",1.8,VERIFIED,1.8,0.0,"[0.0, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]",,
Sarilumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf,"4.0% with 200 mg dose, 5.7% with 150 mg dose (FDA label data)",4.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Teprotumumab,B,URL,https://link.springer.com/article/10.1007/s40265-022-01804-1,"2.3% ADA incidence (4 patients) in phase II/III trials, or 0% in specific placeb",2.3,VERIFIED,2.3,0.0,"[0.0, 1.0, 2.3, 4.0, 4.9, 5.0, 7.0, 8.0]",,
Tisotumab,B,URL,https://www.pfizermedical.com/tivdak/clinical-pharmacology,5.7% ADA incidence in recurrent/metastatic cervical cancer patients,5.7,VERIFIED,5.7,0.0,"[0.0, 2.2, 5.4, 5.7, 6.0, 17.0, 25.0, 33.0]",,
Tixagevimab,A,PMID,40799036.0,"4.1% for tixagevimab component (2 participants), 6.1% for AZD7442 combination (3",4.1,VERIFIED,4.1,0.0,"[0.0, 4.1, 6.1, 81.8, 91.8]",,"1. Clin Pharmacol Drug Dev. 2025 Nov;14(11):836-845. doi: 10.1002/cpdd.1583. Epub  2025 Aug 13.  Safety, Tolerability, and Pharmacokinetics of the Long-Acting  SARS-CoV-2-Neutralizing Monoclonal Antib"
Tralokinumab,A,PMID,30649752.0,"0.5‑1.2% ADA incidence across dosing regimens (asthma trials), 1.4% ADA in atopi",1.2,VERIFIED,1.2,0.0,"[0.5, 0.8, 1.2, 4.5, 9.0, 13.2, 25.0, 25.5]",,"1. Drug Saf. 2019 Jun;42(6):769-784. doi: 10.1007/s40264-018-00788-w.  Evaluation of Antibody Properties and Clinically Relevant Immunogenicity,  Anaphylaxis, and Hypersensitivity Reactions in Two Pha"
Ustekinumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC10219534/,2.3% incidence (27/1154 patients) in IM-UNITI trial through week 44; 4.6% (23/50,2.3,VERIFIED,2.3,0.0,"[0.0, 0.2, 0.7, 1.0, 2.0, 2.3, 4.0, 4.5]",,
Alemtuzumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC7034358/,"BAbs 85%, NAbs 78% within 24 months",85.0,VERIFIED,85.0,0.0,"[0.0, 0.1, 0.3, 0.4, 0.6, 0.9, 1.0, 1.9]",,
Atezolizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC8742635/,"30% average ADA (range 13-54%), ~15% NAb (range 4.3-27.5%)",30.0,VERIFIED,30.0,0.0,"[0.0, 1.0, 2.0, 3.0, 4.0, 4.3, 4.85, 8.91]",,
Benralizumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,13% (treatment‑emergent ADA response),13.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Bevacizumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125085s332lbl.pdf,0.6% (14/2233 patients),0.6,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Bimekizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303624/,"34% (11/32) in BKZ+PBO group, 47% (8/17) in BKZ group over 36-week trial",34.0,VERIFIED,34.0,0.0,"[0.0, 1.0, 2.0, 3.0, 3.8, 4.0, 5.0, 10.0]",,
Brolucizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC8182886/,Pre-existing ADA: 36–52% in treatment-naïve patients (HAWK/HARRIER trials),52.0,VERIFIED,52.0,0.0,"[0.3, 1.0, 1.6, 2.0, 2.1, 2.9, 3.0, 5.0]",,
Camrelizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC9892498/,20.4% of patients had at least one ADA-positive sample (49 patients evaluated),20.4,VERIFIED,20.4,0.0,"[0.0, 1.0, 5.0, 10.0, 13.6, 20.4, 50.0, 72.45]",,
