antibody_name,class_evidence_tier,class_ada_status,ada_value_display,verification_status,verification_matched_pcts,verification_unmatched,verification_source,ada_value_extraction,ada_value_annotation,canonical_provenance,evidence_source,citation_urls,pmids_extracted,data_record_key
Abatacept,B,incidence_reported,4.8% (187/3877 patients),verified_text_match,[4.8],[],https://www.reumatologiaclinica.org/en-abatacept-mechanism-action-concordance-with-articulo-S2173574312000081,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.reumatologiaclinica.org/en-abatacept-mechanism-action-concordance-with-articulo-S2173574312000081,,abatacept
Adalimumab,A,incidence_reported,30%,verified_pmc_fulltext,[30.0],[30.0],PMID41199323,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125057s423lbl.pdf,,adalimumab
Alemtuzumab,A,incidence_reported,"BAbs 85%, NAbs 78% within 24 months",verified_partial_primary_value_confirmed,[85.0],[78.0],https://pmc.ncbi.nlm.nih.gov/articles/PMC7034358/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC7034358/,,alemtuzumab
Anakinra,B,incidence_reported,"17.8% overall ADA, 3.7% neutralizing antibodies (up to 49% in some reports)",verified_partial_primary_value_confirmed,"[17.8, 3.7]",[49.0],https://www.medpagetoday.com/rheumatology/generalrheumatology/91319,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.medpagetoday.com/rheumatology/generalrheumatology/91319,,anakinra
Anifrolumab,A,incidence_reported,"5.1% for anifrolumab 300 mg, 2.0% for anifrolumab 1,000 mg (vs 3% placebo)",verified_text_match,"[5.1, 2.0, 3.0]",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC5299497/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC5299497/,,anifrolumab
Astegolimab,A,incidence_reported,8.0%,verified_pmc_fulltext,[8.0],[8.0],PMC12574037,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/41163220/,41163220,astegolimab
Atezolizumab,A,incidence_reported,"30% average ADA (range 13-54%), ~15% NAb (range 4.3-27.5%)",verified_text_match,"[30.0, 54.0, 15.0, 27.5]",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC8742635/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8742635/,,atezolizumab
Basiliximab,B,incidence_reported,"Anti-idiotype antibodies: 1.2% (4/339), HAMA: 1.4-11.8% depending on co-medication",verified_partial_primary_value_confirmed,[1.2],[11.8],https://www.rxlist.com/simulect-drug.htm,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.rxlist.com/simulect-drug.htm,,basiliximab
Belimumab,B,incidence_reported,"4.8% (1 mg/kg dose), 0.7% (10 mg/kg dose, potentially underestimated)",unverified_source_403_inaccessible,[],[],https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,,belimumab
Benralizumab,A,incidence_reported,13% (treatment‑emergent ADA response),verified_fda_label_dailymed_spl,[],[13.0],https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,,benralizumab
