sequence_id,cluster_id,length
AM773729|IGHV1-1*01|Vicugna,cdr1_L8_C1,8
AM939697|IGHV1S2*01|Vicugna,cdr1_L8_C1,8
AM939698|IGHV1S3*01|Vicugna,cdr1_L8_C1,8
AM939699|IGHV1S4*01|Vicugna,cdr1_L8_C1,8
AM939700|IGHV1S5*01|Vicugna,cdr1_L8_C1,8
AM939701|IGHV1S6*01|Vicugna,cdr1_L8_C1,8
AM773729|IGHV3-1*01|Vicugna,cdr1_L8_C2,8
AM939711|IGHV3S15*01|Vicugna,cdr1_L8_C2,8
AM939712|IGHV3S16*01|Vicugna,cdr1_L8_C2,8
AM939713|IGHV3S17*01|Vicugna,cdr1_L8_C2,8
AM939735|IGHV3S36*01|Vicugna,cdr1_L8_C2,8
AM939762|IGHV3S66*01|Vicugna,cdr1_L8_C2,8
M99657|IGHV3-20*01|Homo,cdr1_L8_C2,8
KC713937|IGHV3-20*02|Homo,cdr1_L8_C2,8
MH332884|IGHV3-20*03|Homo,cdr1_L8_C2,8
MK540646|IGHV3-20*04|Homo,cdr1_L8_C2,8
M99672|IGHV3-43*01|Homo,cdr1_L8_C2,8
BK068299|IGHV3-43*02|Homo,cdr1_L8_C2,8
KC713950|IGHV3-43D*03|Homo,cdr1_L8_C2,8
AC242184|IGHV3-43D*04|Homo,cdr1_L8_C2,8
QEHY01024525|IGHV3-43D*05|Homo,cdr1_L8_C2,8
IMGT000177|IGHV3-43D*06|Homo,cdr1_L8_C2,8
M99676|IGHV3-49*01|Homo,cdr1_L8_C2,8
AB019438|IGHV3-49*03|Homo,cdr1_L8_C2,8
BK063799|IGHV3-49*04|Homo,cdr1_L8_C2,8
BK063801|IGHV3-49*05|Homo,cdr1_L8_C2,8
M99651|IGHV3-9*01|Homo,cdr1_L8_C2,8
HM855577|IGHV3-9*02|Homo,cdr1_L8_C2,8
KC713947|IGHV3-9*03|Homo,cdr1_L8_C2,8
MN337621|IGHV3-9*04|Homo,cdr1_L8_C2,8
AM773729|IGHV3-2*01|Vicugna,cdr1_L8_C3,8
AM939709|IGHV3S13*01|Vicugna,cdr1_L8_C3,8
AM939710|IGHV3S14*01|Vicugna,cdr1_L8_C3,8
AM939719|IGHV3S21*01|Vicugna,cdr1_L8_C3,8
AM939720|IGHV3S22*01|Vicugna,cdr1_L8_C3,8
AM939721|IGHV3S23*01|Vicugna,cdr1_L8_C3,8
AM939722|IGHV3S24*01|Vicugna,cdr1_L8_C3,8
AM939726|IGHV3S28*01|Vicugna,cdr1_L8_C3,8
AM939727|IGHV3S29*01|Vicugna,cdr1_L8_C3,8
AM939748|IGHV3S5*01|Vicugna,cdr1_L8_C3,8
AM773729|IGHV3-3*01|Vicugna,cdr1_L8_C4,8
AM939707|IGHV3S11*01|Vicugna,cdr1_L8_C4,8
AM939708|IGHV3S12*01|Vicugna,cdr1_L8_C4,8
AM939729|IGHV3S30*01|Vicugna,cdr1_L8_C4,8
AM939730|IGHV3S31*01|Vicugna,cdr1_L8_C4,8
AM939734|IGHV3S35*01|Vicugna,cdr1_L8_C4,8
AM939736|IGHV3S37*01|Vicugna,cdr1_L8_C4,8
AM939737|IGHV3S39*01|Vicugna,cdr1_L8_C4,8
AM939738|IGHV3S4*01|Vicugna,cdr1_L8_C4,8
AM939740|IGHV3S41*01|Vicugna,cdr1_L8_C4,8
AM939741|IGHV3S42*01|Vicugna,cdr1_L8_C4,8
AM939742|IGHV3S43*01|Vicugna,cdr1_L8_C4,8
AM939743|IGHV3S44*01|Vicugna,cdr1_L8_C4,8
AM939765|IGHV3S57*01|Vicugna,cdr1_L8_C4,8
AM939752|IGHV3S58*01|Vicugna,cdr1_L8_C4,8
AM939753|IGHV3S59*01|Vicugna,cdr1_L8_C4,8
AM939766|IGHV3S67*01|Vicugna,cdr1_L8_C4,8
AM939751|IGHV3S8*01|Vicugna,cdr1_L8_C4,8
AM939767|IGHV3S9*01|Vicugna,cdr1_L8_C4,8
M99660|IGHV3-23*01|Homo,cdr1_L8_C4,8
M35415|IGHV3-23*02|Homo,cdr1_L8_C4,8
AM940223|IGHV3-23*03|Homo,cdr1_L8_C4,8
AC245166|IGHV3-23*04|Homo,cdr1_L8_C4,8
AY757302|IGHV3-23*05|Homo,cdr1_L8_C4,8
AC244492|IGHV3-23D*01|Homo,cdr1_L8_C4,8
M83134|IGHV3-30*01|Homo,cdr1_L8_C4,8
L06615|IGHV3-30*04|Homo,cdr1_L8_C4,8
L06614|IGHV3-30*07|Homo,cdr1_L8_C4,8
M77300|IGHV3-30*09|Homo,cdr1_L8_C4,8
M77326|IGHV3-30*10|Homo,cdr1_L8_C4,8
M77331|IGHV3-30*11|Homo,cdr1_L8_C4,8
M77327|IGHV3-30*15|Homo,cdr1_L8_C4,8
M77328|IGHV3-30*16|Homo,cdr1_L8_C4,8
M77329|IGHV3-30*17|Homo,cdr1_L8_C4,8
AC244456|IGHV3-30-3*01|Homo,cdr1_L8_C4,8
M77302|IGHV3-30-3*02|Homo,cdr1_L8_C4,8
KC713945|IGHV3-30-3*03|Homo,cdr1_L8_C4,8
M99682|IGHV3-64*01|Homo,cdr1_L8_C4,8
AB019437|IGHV3-64*02|Homo,cdr1_L8_C4,8
M77298|IGHV3-64*03|Homo,cdr1_L8_C4,8
M77299|IGHV3-64*04|Homo,cdr1_L8_C4,8
M77301|IGHV3-64*05|Homo,cdr1_L8_C4,8
MK540647|IGHV3-64*07|Homo,cdr1_L8_C4,8
KC713941|IGHV3-64D*06|Homo,cdr1_L8_C4,8
MN337624|IGHV3-64D*08|Homo,cdr1_L8_C4,8
MN337625|IGHV3-64D*09|Homo,cdr1_L8_C4,8
AM773548|IGHV3S1*01|Vicugna,cdr1_L8_C5,8
AM939768|IGHV3S10*01|Vicugna,cdr1_L8_C5,8
AM939715|IGHV3S19*01|Vicugna,cdr1_L8_C5,8
AM939723|IGHV3S25*01|Vicugna,cdr1_L8_C5,8
AM939724|IGHV3S26*01|Vicugna,cdr1_L8_C5,8
AM939725|IGHV3S27*01|Vicugna,cdr1_L8_C5,8
AM939732|IGHV3S33*01|Vicugna,cdr1_L8_C5,8
AM939739|IGHV3S40*01|Vicugna,cdr1_L8_C5,8
AM939749|IGHV3S6*01|Vicugna,cdr1_L8_C5,8
X92217|IGHV3-13*01|Homo,cdr1_L8_C5,8
IMGT000176|IGHV3-13*03|Homo,cdr1_L8_C5,8
BK063801|IGHV3-13*04|Homo,cdr1_L8_C5,8
KC713939|IGHV3-13*05|Homo,cdr1_L8_C5,8
JADDCI010010883|IGHV3-13*06|Homo,cdr1_L8_C5,8
AB019439|IGHV3-21*01|Homo,cdr1_L8_C5,8
M99658|IGHV3-21*02|Homo,cdr1_L8_C5,8
MK540646|IGHV3-21*03|Homo,cdr1_L8_C5,8
HM855688|IGHV3-21*04|Homo,cdr1_L8_C5,8
MK308859|IGHV3-21*05|Homo,cdr1_L8_C5,8
MN337623|IGHV3-21*06|Homo,cdr1_L8_C5,8
OU596107|IGHV3-21*07|Homo,cdr1_L8_C5,8
KY110714|IGHV3-21*08|Homo,cdr1_L8_C5,8
L26401|IGHV3-30*02|Homo,cdr1_L8_C5,8
M99663|IGHV3-30*03|Homo,cdr1_L8_C5,8
M77323|IGHV3-30*05|Homo,cdr1_L8_C5,8
L06617|IGHV3-30*06|Homo,cdr1_L8_C5,8
M77338|IGHV3-30*12|Homo,cdr1_L8_C5,8
M77339|IGHV3-30*13|Homo,cdr1_L8_C5,8
X92214|IGHV3-30*18|Homo,cdr1_L8_C5,8
L06616|IGHV3-30*19|Homo,cdr1_L8_C5,8
OU596105|IGHV3-30*20|Homo,cdr1_L8_C5,8
AC244456|IGHV3-30-5*01|Homo,cdr1_L8_C5,8
AC245243|IGHV3-30-5*02|Homo,cdr1_L8_C5,8
AB019439|IGHV3-33*01|Homo,cdr1_L8_C5,8
M99665|IGHV3-33*02|Homo,cdr1_L8_C5,8
M77305|IGHV3-33*03|Homo,cdr1_L8_C5,8
M77335|IGHV3-33*04|Homo,cdr1_L8_C5,8
M77334|IGHV3-33*05|Homo,cdr1_L8_C5,8
HM855436|IGHV3-33*06|Homo,cdr1_L8_C5,8
AC279998|IGHV3-33*08|Homo,cdr1_L8_C5,8
