sequence_id,sequence_length,imgt_success,kabat_success,FR1_len,CDR1_len,FR2_len,CDR2_len,FR3_len,coverage_imgt_1_104,coverage_imgt_1_117,failure_classification
IMGT000046|IGLV1-12*01|Bos,98,True,True,25,8,17,3,36,0.8558,0.8376,truncated_before_104
IMGT000046|IGLV1-16*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8291,truncated_before_104
NW_001493546|IGLV1-16*02|Bos,99,True,True,25,9,17,3,36,0.8654,0.8291,truncated_before_104
IMGT000046|IGLV1-21*01|Bos,98,True,True,25,8,17,3,36,0.8558,0.8291,truncated_before_104
IMGT000046|IGLV1-26*01|Bos,98,True,True,25,9,17,3,36,0.8654,0.8291,truncated_before_104
IMGT000046|IGLV1-31*01|Bos,98,True,True,25,9,17,3,36,0.8654,0.8291,truncated_before_104
U31887|IGLV1-31*02|Bos,83,True,True,25,9,17,3,29,0.7981,0.7094,truncated_before_104
U31894|IGLV1-31*03|Bos,83,True,True,25,9,17,3,29,0.7981,0.7094,truncated_before_104
IMGT000046|IGLV1-36*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8376,truncated_before_104
IMGT000046|IGLV1-40*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8462,truncated_before_104
U31891|IGLV1-40*02|Bos,83,True,True,25,9,17,3,29,0.7981,0.7094,truncated_before_104
IMGT000046|IGLV1-43*01|Bos,98,True,True,25,9,17,3,36,0.8654,0.8291,truncated_before_104
IMGT000046|IGLV1-46*01|Bos,97,True,True,25,9,17,3,35,0.8558,0.8291,truncated_before_104
IMGT000046|IGLV1-47*01|Bos,98,True,True,25,8,17,3,36,0.8558,0.8291,truncated_before_104
U31886|IGLV1-47*02|Bos,82,True,True,25,8,17,3,29,0.7885,0.7009,truncated_before_104
U31895|IGLV1-47*03|Bos,82,True,True,25,8,17,3,29,0.7885,0.7009,truncated_before_104
U31897|IGLV1-47*04|Bos,82,True,True,25,8,17,3,29,0.7885,0.7009,truncated_before_104
U31899|IGLV1-47*05|Bos,82,True,True,25,8,17,3,29,0.7885,0.7009,truncated_before_104
IMGT000046|IGLV1-51*01|Bos,98,True,True,25,9,17,3,35,0.8558,0.8376,truncated_before_104
IMGT000046|IGLV1-52*01|Bos,98,True,True,25,8,17,3,36,0.8558,0.8291,truncated_before_104
IMGT000046|IGLV1-55*01|Bos,98,True,True,25,9,17,3,36,0.8654,0.8291,truncated_before_104
IMGT000046|IGLV1-58*01|Bos,98,True,True,25,8,17,3,36,0.8558,0.8291,truncated_before_104
IMGT000046|IGLV1-63*01|Bos,97,True,True,25,8,17,3,35,0.8462,0.8291,truncated_before_104
IMGT000046|IGLV1-64*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8376,truncated_before_104
IMGT000046|IGLV1-67*01|Bos,98,True,True,25,8,17,3,36,0.8558,0.8291,truncated_before_104
NW_001493549|IGLV1-67*02|Bos,98,True,True,25,8,17,3,36,0.8558,0.8291,truncated_before_104
U31888|IGLV1-67*03|Bos,83,True,True,26,8,17,3,29,0.7981,0.7094,truncated_before_104
U31893|IGLV1-67*04|Bos,82,True,True,25,8,17,3,29,0.7885,0.7009,truncated_before_104
IMGT000046|IGLV1-70*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8376,truncated_before_104
IMGT000046|IGLV1-71*01|Bos,97,True,True,25,8,17,3,35,0.8462,0.8291,truncated_before_104
IMGT000046|IGLV1-73*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8462,truncated_before_104
IMGT000046|IGLV13-23*01|Bos,97,True,True,25,8,17,2,36,0.8462,0.8291,truncated_before_104
IMGT000046|IGLV2-6*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8462,truncated_before_104
IMGT000046|IGLV2-7*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8462,truncated_before_104
IMGT000046|IGLV2-9*01|Bos,99,True,True,25,9,17,3,36,0.8654,0.8462,truncated_before_104
IMGT000046|IGLV3-1*01|Bos,97,True,True,25,6,17,3,36,0.8365,0.8291,truncated_before_104
IMGT000046|IGLV3-2*01|Bos,95,True,True,25,6,17,3,36,0.8365,0.812,truncated_before_104
IMGT000046|IGLV3-3*01|Bos,97,True,True,25,6,17,3,36,0.8365,0.8291,truncated_before_104
IMGT000046|IGLV3-4*01|Bos,96,True,True,25,6,17,3,36,0.8365,0.8205,truncated_before_104
