antibody_id,pet_type,vh_dog_germline,vh_dog_identity_pct,vl_dog_germline,vl_dog_identity_pct,vl_germline_db
Anivovetmab,canine,IMGT000001|IGHV3-72*01|Canis,50.5,IMGT000067|IGKV3-18*01|Canis,64.2,IGKV
Bedinvetmab,canine,IMGT000001|IGHV3-19*01|Canis,91.8,IMGT000003|IGLV1-141*01|Canis,89.8,IGLV
Blontuvetmab,canine,IMGT000001|IGHV1-30*01|Canis,60.2,IMGT000067|IGKV4-15*01|Canis,68.3,IGKV
Cirevetmab,canine,IMGT000001|IGHV1-30*01|Canis,88.8,IMGT000002|IGKV3-18*02|Canis,80.0,IGKV
Dovanvetmab,feline,IMGT000001|IGHV1-30*01|Canis,65.3,IMGT000067|IGKV3-18*01|Canis,68.4,IGKV
Frunevetmab,feline,IMGT000001|IGHV3-52*01|Canis,58.8,IMGT000067|IGKV3-18*01|Canis,58.9,IGKV
Gilvetmab,canine,IMGT000001|IGHV3-54*01|Canis,69.7,IMGT000067|IGKV3-18*01|Canis,60.0,IGKV
Izenivetmab,canine,IMGT000001|IGHV3-67*01|Canis,82.7,IMGT000002|IGKV3-18*02|Canis,82.1,IGKV
Lokivetmab,canine,IMGT000001|IGHV3-35*01|Canis,87.8,IMGT000067|IGKV2-5*01|Canis,53.5,IGKV
Nolavetbart,canine,IMGT000001|IGHV3-8*01|Canis,53.1,BK066061|IGKV4-1*02|Canis,66.3,IGKV
Ranevetmab,canine,IMGT000001|IGHV3-72*01|Canis,68.0,IMGT000002|IGKV3-18*02|Canis,78.9,IGKV
Relfovetmab,feline,IMGT000001|IGHV3-67*01|Canis,76.5,IMGT000067|IGKV3-18*01|Canis,69.5,IGKV
Tamtuvetmab,canine,IMGT000001|IGHV3-16*01|Canis,35.7,IMGT000067|IGKV3-18*01|Canis,64.2,IGKV
Tirnovetmab,canine,IMGT000001|IGHV3-72*01|Canis,53.6,IMGT000067|IGKV2-5*01|Canis,57.6,IGKV
