sequence_id,cdr1_cluster_id,cdr1_proxy_score,cdr2_cluster_id,cdr2_proxy_score
AM773729|IGHV1-1*01|Vicugna,cdr1_L8_C1,0.7545,cdr2_L8_C1,0.8
AM939697|IGHV1S2*01|Vicugna,cdr1_L8_C1,0.7545,cdr2_L8_C1,0.8
AM939698|IGHV1S3*01|Vicugna,cdr1_L8_C1,0.7545,cdr2_L8_C1,0.8
AM939699|IGHV1S4*01|Vicugna,cdr1_L8_C1,0.7545,cdr2_L8_C1,0.8
AM939700|IGHV1S5*01|Vicugna,cdr1_L8_C1,0.7545,cdr2_L8_C1,0.8
AM939701|IGHV1S6*01|Vicugna,cdr1_L8_C1,0.7545,cdr2_L8_C1,0.8
AM773729|IGHV3-1*01|Vicugna,cdr1_L8_C2,0.9455,cdr2_L8_C2,0.9
AM773729|IGHV3-2*01|Vicugna,cdr1_L8_C3,0.8136,cdr2_L8_C3,0.8
AM773729|IGHV3-3*01|Vicugna,cdr1_L8_C4,0.9227,cdr2_L8_C2,0.85
AM773548|IGHV3S1*01|Vicugna,cdr1_L8_C5,0.95,cdr2_L8_C4,0.925
AM939768|IGHV3S10*01|Vicugna,cdr1_L8_C5,0.95,cdr2_L7_C25,0.9429
AM939707|IGHV3S11*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C3,0.8
AM939708|IGHV3S12*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C3,0.8
AM939709|IGHV3S13*01|Vicugna,cdr1_L8_C3,0.8136,cdr2_L8_C5,0.5
AM939710|IGHV3S14*01|Vicugna,cdr1_L8_C3,0.7636,cdr2_L8_C6,0.65
AM939711|IGHV3S15*01|Vicugna,cdr1_L8_C2,0.9455,cdr2_L8_C2,0.9
AM939712|IGHV3S16*01|Vicugna,cdr1_L8_C2,0.8955,cdr2_L8_C2,0.9
AM939713|IGHV3S17*01|Vicugna,cdr1_L8_C2,0.8955,cdr2_L8_C2,0.9
AM939714|IGHV3S18*01|Vicugna,cdr1_L8_C6,0.5955,cdr2_L8_C7,0.625
AM939715|IGHV3S19*01|Vicugna,cdr1_L8_C5,0.9,cdr2_L8_C7,0.625
AM939716|IGHV3S2*01|Vicugna,cdr1_L8_C7,0.8364,cdr2_L8_C3,0.8
AM939718|IGHV3S20*01|Vicugna,cdr1_L8_C8,0.6182,cdr2_L8_C7,0.625
AM939719|IGHV3S21*01|Vicugna,cdr1_L8_C3,0.8636,cdr2_L8_C4,0.975
AM939720|IGHV3S22*01|Vicugna,cdr1_L8_C3,0.8636,cdr2_L8_C4,0.975
AM939721|IGHV3S23*01|Vicugna,cdr1_L8_C3,0.8636,cdr2_L8_C4,0.975
AM939722|IGHV3S24*01|Vicugna,cdr1_L8_C3,0.8636,cdr2_L8_C4,0.975
AM939723|IGHV3S25*01|Vicugna,cdr1_L8_C5,0.95,cdr2_L8_C4,0.975
AM939724|IGHV3S26*01|Vicugna,cdr1_L8_C5,0.95,cdr2_L8_C4,0.975
AM939725|IGHV3S27*01|Vicugna,cdr1_L8_C5,0.9,cdr2_L8_C4,0.975
AM939726|IGHV3S28*01|Vicugna,cdr1_L8_C3,0.8636,cdr2_L8_C4,0.925
AM939727|IGHV3S29*01|Vicugna,cdr1_L8_C3,0.8636,cdr2_L8_C4,0.925
AM939728|IGHV3S3*01|Vicugna,cdr1_L8_C7,0.8364,cdr2_L8_C3,0.8
AM939729|IGHV3S30*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.925
AM939730|IGHV3S31*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.975
AM939731|IGHV3S32*01|Vicugna,cdr1_L8_C9,0.7545,cdr2_L8_C4,0.975
AM939732|IGHV3S33*01|Vicugna,cdr1_L8_C5,0.95,cdr2_L8_C4,0.975
AM939733|IGHV3S34*01|Vicugna,cdr1_L8_C9,0.7045,cdr2_L8_C4,0.975
AM939734|IGHV3S35*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.975
AM939735|IGHV3S36*01|Vicugna,cdr1_L8_C2,0.8955,cdr2_L8_C4,0.975
AM939736|IGHV3S37*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.975
AM939717|IGHV3S38*01|Vicugna,cdr1_L8_C9,0.7545,cdr2_L8_C4,0.975
AM939737|IGHV3S39*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.975
AM939738|IGHV3S4*01|Vicugna,cdr1_L8_C4,0.8727,cdr2_L8_C3,0.8
AM939739|IGHV3S40*01|Vicugna,cdr1_L8_C5,0.95,cdr2_L8_C4,0.975
AM939740|IGHV3S41*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.975
AM939741|IGHV3S42*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.975
AM939742|IGHV3S43*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C4,0.975
AM939743|IGHV3S44*01|Vicugna,cdr1_L8_C4,0.9727,cdr2_L8_C8,0.5
