metric,value
N_total_heavy,125
N_total_light,123
heavy_out_of_library_rate,0.0000
light_out_of_library_rate,0.0000
top20_global_germlines_heavy,IGHV3-23*01(16); IGHV1-46*01(9); IGHV1-3*01(9); IGHV3-30*01(8); IGHV3-9*01(7); IGHV4-4*08(7); IGHV3-23*04(7); IGHV1-69*02(6); IGHV1-18*01(5); IGHV1-2*02(4); IGHV3-7*01(4); IGHV3-66*01(4); IGHV3-11*01(3); IGHV4-34*01(3); IGHV3-21*01(3); IGHV3-48*01(3); IGHV3-15*07(3); IGHV1-69*01(2); IGHV4-31*02(2); IGHV3-30*02(2)
top20_global_germlines_light,IGKV1-39*01(19); IGKV4-1*01(14); IGKV1-12*01(13); IGKV3-20*01(11); IGKV3-11*01(11); IGKV1-33*01(8); IGKV1-5*01(6); IGKV3-15*01(5); IGKV1-16*01(5); IGKV1-13*02(4); IGKV1-27*01(3); IGLV3-21*02(3); IGKV7-3*01(3); IGLV8-61*01(2); IGLV3-1*01(2); IGKV1-17*01(2); IGLV2-14*01(2); IGKV1-9*01(2); IGLV7-46*01(1); IGKV2-24*01(1)
top20_library_matches_heavy,IGHV3-23*01(40); IGHV1-46*01(25); IGHV3-7*01(15); IGHV4-59*01(14); IGHV3-21*01(10); IGHV1-69*01(6); IGHV1-2*01(5); IGHV1-18*01(5); IGHV4-39*01(3); IGHV5-51*01(1); IGHV3-11*01(1)
top20_library_matches_light,IGKV1-39*01(60); IGKV3-11*01(17); IGKV4-1*01(17); IGKV3-20*01(11); IGKV1-33*01(6); IGLV3-1*01(5); IGLV1-44*01(3); IGLV2-14*01(3); IGKV2-28*01(1)
delta_identity_distribution_heavy_p50,0.0125
delta_identity_distribution_heavy_p90,0.0750
delta_identity_distribution_heavy_p99,0.2565
delta_identity_distribution_light_p50,0.0000
delta_identity_distribution_light_p90,0.0608
delta_identity_distribution_light_p99,0.2736
list_top_out_of_library_global_germlines_heavy,
list_top_out_of_library_global_germlines_light,
