sequence_id,reason
AM939771|IGHV4S4*01|Vicugna,kabat_numbering_failed
VHH_SCF_01,empty_segment_CDR1
VHH_SCF_02,empty_segment_CDR1
VHH_SCF_03,empty_segment_CDR2
VHH_SCF_04,empty_segment_CDR1
VHH_SCF_05,empty_segment_CDR1
VHH_SCF_06,empty_segment_CDR1
VHH_SCF_07,empty_segment_CDR1
VHH_SCF_09,empty_segment_CDR1
VHH_SCF_10,empty_segment_CDR1
VHH_SCF_11,empty_segment_CDR1
VHH_SCF_12,empty_segment_CDR1
VHH_SCF_13,empty_segment_CDR1
VHH_SCF_14,empty_segment_CDR2
M77324|IGHV3-30*14|Homo,kabat_numbering_failed
IMGT000158|IGHV3-66*02|Homo,kabat_numbering_failed
Z29979|IGHV3-72*02|Homo,empty_segment_FR1
HUMAN_VH3_SCF_01,empty_segment_CDR1
HUMAN_VH3_SCF_02,empty_segment_CDR1
HUMAN_VH3_SCF_03,empty_segment_CDR1
HUMAN_VH3_SCF_04,empty_segment_CDR1
HUMAN_VH3_SCF_05,empty_segment_CDR1
HUMAN_VH3_SCF_06,empty_segment_CDR1
HUMAN_VH3_SCF_07,empty_segment_CDR1
HUMAN_VH3_SCF_08,empty_segment_CDR1
HUMAN_VH3_SCF_09,empty_segment_FR1
HUMAN_VH3_SCF_10,empty_segment_CDR2
HUMAN_VH3_SCF_12,empty_segment_CDR2
HUMAN_VH3_SCF_13,empty_segment_CDR2
HUMAN_VH3_SCF_14,empty_segment_CDR1
HUMAN_VH3_SCF_15,empty_segment_CDR1
HUMAN_VH3_SCF_16,empty_segment_CDR1
HUMAN_VH3_SCF_17,empty_segment_CDR1
HUMAN_VH3_SCF_18,empty_segment_CDR2
HUMAN_VH3_SCF_22,empty_segment_CDR1
HUMAN_VH3_SCF_23,imgt_numbering_failed
HUMAN_VH3_SCF_24,empty_segment_CDR1
HUMAN_VH3_SCF_25,empty_segment_CDR1
HUMAN_VH3_SCF_26,empty_segment_CDR1
HUMAN_VH3_SCF_27,empty_segment_CDR1
HUMAN_VH3_SCF_28,empty_segment_CDR1
HUMAN_VH3_SCF_30,empty_segment_CDR2
