Antibody Name,Target,Clinical Phase,CDR3 Length (aa),CDR2 Fold,Classification,Human Identity (%)
Enristomig,TBD,TBD,5,H2-9-1,Class 1,87.5
Brivekimig2,TBD,TBD,8,H2-10-1,Class 1,92.5
Ozoralizumab,TBD,TBD,8,H2-10-1,Class 1,92.5
Letolizumab,TBD,TBD,11,H2-10-1,Class 1,96.2
Porustobart,TBD,TBD,13,H2-9-1,Class 1,97.5
Brivekimig1,TBD,TBD,16,H2-10-1,Class 2,85.0
Ozekibart,TBD,TBD,16,H2-10-1,Class 2,88.8
Sonelokimab1,TBD,TBD,16,H2-10-1,Class 2,85.0
Gefurulimab,TBD,TBD,17,H2-9-1,Class 2,90.0
Isecarosmab,TBD,TBD,17,H2-10-1,Class 2,85.0
Sonelokimab2,TBD,TBD,17,H2-10-1,Class 2,91.2
Tarperprumig,TBD,TBD,17,H2-9-1,Class 2,90.0
Rimteravimab,TBD,TBD,18,H2-10-1,Class 2,86.2
Envafolimab,TBD,TBD,21,H2-10-1,Class 2,88.8
Erfonrilimab,TBD,TBD,21,H2-10-1,Class 2,88.8
Gocatamig2,TBD,TBD,11,H2-9-1,Class 3,86.2
Podentamig1,TBD,TBD,14,unknown,Class 3,85.0
Vobarilizumab,TBD,TBD,15,H2-9-1,Class 3,90.0
Caplacizumab,TBD,TBD,21,H2-10-1,Class 3,87.5
