canonical_id,display_name,origin_tags,in_clinical_39,in_master_table_40,in_anarci_38,in_vhh42_cmc,in_vhh42_germline,in_database_b_29,in_structural_union_69,canonical_sequence_hash,sequence_consistent_across_sources,anomalies,vhh42_cmc_origin,germline_top_match,ada_majority_risk,structural_pdb_model,cohort_platform_tag
131i_gmib_anti_her2_vhh1,131I-GMIB-Anti-HER2-VHH1,clinical_vhh,True,True,True,True,True,False,True,591993115ad6,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\131I-GMIB-Anti-HER2-VHH1\rank0_unrefined.pdb,
68_ganota_anti_her2_vhh1,68-GaNOTA-Anti-HER2 VHH1,clinical_vhh,True,True,True,True,True,False,True,591993115ad6,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\68-GaNOTA-Anti-HER2_VHH1\rank0_unrefined.pdb,
alx_0171,ALX-0171,clinical_vhh,True,True,True,True,True,False,True,d5aadc3c9dd1,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\ALX-0171\rank0_unrefined.pdb,
brivekimig1,Brivekimig1,clinical_vhh,True,True,True,True,True,False,True,851c60cb2790,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Brivekimig1\rank0_unrefined.pdb,
brivekimig2,Brivekimig2,clinical_vhh,True,True,True,True,True,False,True,a5b7bbc85724,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Brivekimig2\rank0_unrefined.pdb,
cd20_vhh_car_t,CD20 VHH CAR-T,clinical_vhh,True,True,True,True,True,False,True,591993115ad6,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\CD20_VHH_CAR-T\rank0_unrefined.pdb,
cd33_vhh_car_t,CD33 VHH CAR-T,clinical_vhh,True,True,True,True,True,False,True,591993115ad6,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\CD33_VHH_CAR-T\rank0_unrefined.pdb,
caplacizumab,Caplacizumab,clinical_vhh,True,True,True,True,True,False,True,5ddb34136fb7,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Caplacizumab\rank0_unrefined.pdb,
ciltacabtagene_autoleucel_cilta_cel,Ciltacabtagene autoleucel (cilta-cel),clinical_vhh,True,True,True,True,True,False,True,4255a073ce13,True,,clinical,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Ciltacabtagene_autoleucel_cilta-cel\rank0_unrefined.pdb,
enristomig,Enristomig,clinical_vhh,True,True,True,True,True,False,True,977465de673e,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Enristomig\rank0_unrefined.pdb,
envafolimab,Envafolimab,clinical_vhh,True,True,True,True,True,False,True,e127c7d46461,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Envafolimab\rank0_unrefined.pdb,
erfonrilimab,Erfonrilimab,clinical_vhh,True,True,True,True,True,False,True,e127c7d46461,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Erfonrilimab\rank0_unrefined.pdb,
gefurulimab,Gefurulimab,clinical_vhh,True,True,True,True,True,False,True,71bd8697a2f5,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Gefurulimab\rank0_unrefined.pdb,
gocatamig1,Gocatamig1,clinical_vhh,True,True,True,True,True,False,True,7e5789b31d72,True,,clinical,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Gocatamig1\rank0_unrefined.pdb,
gocatamig2,Gocatamig2,clinical_vhh,True,True,True,True,True,False,True,f1dfa0307e94,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Gocatamig2\rank0_unrefined.pdb,
gontivimab,Gontivimab,clinical_vhh,True,True,True,True,True,False,True,d5aadc3c9dd1,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Gontivimab\rank0_unrefined.pdb,
her2_vhh_car_t,HER2 VHH CAR-T,clinical_vhh,True,True,True,True,True,False,True,591993115ad6,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\HER2_VHH_CAR-T\rank0_unrefined.pdb,
isecarosmab,Isecarosmab,clinical_vhh,True,True,True,True,True,False,True,446675ea6826,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Isecarosmab\rank0_unrefined.pdb,
lcar_b38m,LCAR-B38M,clinical_vhh,True,True,True,True,True,False,True,4255a073ce13,True,,clinical,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\LCAR-B38M\rank0_unrefined.pdb,
letolizumab,Letolizumab,clinical_vhh,True,True,True,True,True,False,True,9e7d277392b3,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Letolizumab\rank0_unrefined.pdb,
nb_v565,Nb V565,clinical_vhh,True,True,True,True,True,False,True,8a23fd303833,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Nb_V565\rank0_unrefined.pdb,
ozekibart,Ozekibart,clinical_vhh,True,True,True,True,True,False,True,91eaa854086a,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Ozekibart\rank0_unrefined.pdb,
ozoralizumab,Ozoralizumab,clinical_vhh,True,True,True,True,True,False,True,8a23fd303833,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Ozoralizumab\rank0_unrefined.pdb,
pd_l1_vhh_car_t,PD-L1 VHH CAR-T,clinical_vhh,True,True,True,True,True,False,True,e127c7d46461,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\PD-L1_VHH_CAR-T\rank0_unrefined.pdb,
podentamig1,Podentamig1,clinical_vhh,True,True,True,True,True,False,True,c4a026be718c,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Podentamig1\rank0_unrefined.pdb,
podentamig2,Podentamig2,clinical_vhh,True,True,True,True,True,False,True,7e5789b31d72,True,,clinical,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Podentamig2\rank0_unrefined.pdb,
porustobart,Porustobart,clinical_vhh,True,True,True,True,True,False,True,5d3abb5ddb59,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Porustobart\rank0_unrefined.pdb,transgenic_mouse_nanobody
produvofusp,Produvofusp,clinical_vhh,True,True,True,True,True,False,True,87efb55579e1,True,,clinical,IGHV3-21*01,MEDIUM,data\vhh_clinical_39_union\immunebuilder_models\Produvofusp\rank0_unrefined.pdb,
pumitamig2,Pumitamig2,clinical_vhh,True,True,True,True,True,False,True,7b8b4b890a67,True,,clinical,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Pumitamig2\rank0_unrefined.pdb,
rimteravimab,Rimteravimab,clinical_vhh,True,True,True,True,True,False,True,ababb0e3fea8,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Rimteravimab\rank0_unrefined.pdb,
simridarlimab,Simridarlimab,clinical_vhh,True,True,True,True,True,False,True,affbdb0ece5b,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Simridarlimab\rank0_unrefined.pdb,
sonelokimab_m1095,Sonelokimab (M1095),clinical_vhh,True,True,True,True,True,False,True,26ea7471fea2,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Sonelokimab_M1095\rank0_unrefined.pdb,
sonelokimab1,Sonelokimab1,clinical_vhh,True,True,True,True,True,False,True,26ea7471fea2,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Sonelokimab1\rank0_unrefined.pdb,
sonelokimab2,Sonelokimab2,clinical_vhh,True,True,True,True,True,False,True,c9ff7629aa09,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Sonelokimab2\rank0_unrefined.pdb,
tarperprumig,Tarperprumig,clinical_vhh,True,True,True,True,True,False,True,938f9336ddcc,True,,clinical,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Tarperprumig\rank0_unrefined.pdb,
tixentamig,Tixentamig,clinical_vhh,True,True,True,True,True,False,True,b01385c8769f,True,,clinical,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Tixentamig\rank0_unrefined.pdb,
vhh_adc_her2_mmae,VHH-ADC (HER2-MMAE),clinical_vhh,True,True,True,True,True,False,True,591993115ad6,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\VHH-ADC_HER2-MMAE\rank0_unrefined.pdb,
vhh_cell_therapy_vhh_t_cell_engager,VHH-Cell Therapy (VHH-T cell engager),clinical_vhh,True,True,True,True,True,False,True,7e5789b31d72,True,,clinical,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\VHH-Cell_Therapy_VHH-T_cell_engager\rank0_unrefined.pdb,
vobarilizumab,Vobarilizumab,clinical_vhh,True,True,True,True,True,False,True,cbab448c059a,True,,clinical,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Vobarilizumab\rank0_unrefined.pdb,
lofacimig,Lofacimig,master_table_only_no_seq,False,True,False,False,False,False,False,,True,,,,,,humanized_camelid_tandem_vh_fc
1yzz_a,1yzz_A,database_b_humanized_camelid;sabdab_humanized_vhh,False,False,False,True,True,True,True,0ceb58f34621,True,,SAbDab_humanized,IGHV3-23*01,HIGH,data\vhh_database_b_union\immunebuilder_models\1yzz_A\rank0_unrefined.pdb,
3eak_a,3eak_A,database_b_humanized_camelid;sabdab_humanized_vhh,False,False,False,True,True,True,True,9d6d30774c37,True,,SAbDab_humanized,IGHV3-23*01,HIGH,data\vhh_database_b_union\immunebuilder_models\3eak_A\rank0_unrefined.pdb,
6rnk_b,6rnk_B,database_b_humanized_camelid;sabdab_humanized_vhh,False,False,False,True,True,True,True,5869a2ddb199,True,,SAbDab_humanized,IGHV3-23*01,HIGH,data\vhh_database_b_union\immunebuilder_models\6rnk_B\rank0_unrefined.pdb,
1yzz_b,1yzz_B,database_b_humanized_camelid,False,False,False,False,False,True,True,b290b649e9f7,True,,,,,data\vhh_database_b_union\immunebuilder_models\1yzz_B\rank0_unrefined.pdb,
3eak_b,3eak_B,database_b_humanized_camelid,False,False,False,False,False,True,True,9d6d30774c37,True,,,,,data\vhh_database_b_union\immunebuilder_models\3eak_B\rank0_unrefined.pdb,
3eba_a,3eba_A,database_b_humanized_camelid,False,False,False,False,False,True,True,c338f4e1474d,True,,,,,data\vhh_database_b_union\immunebuilder_models\3eba_A\rank0_unrefined.pdb,
6z10_b,6z10_B,database_b_humanized_camelid,False,False,False,False,False,True,True,c851b30d9eb1,True,,,,,data\vhh_database_b_union\immunebuilder_models\6z10_B\rank0_unrefined.pdb,
1bzq_k,1bzq_K,database_b_humanized_camelid,False,False,False,False,False,True,True,11163862dbc1,True,,,,,data\vhh_database_b_union\immunebuilder_models\1bzq_K\rank0_unrefined.pdb,
1bzq_l,1bzq_L,database_b_humanized_camelid,False,False,False,False,False,True,True,11163862dbc1,True,,,,,data\vhh_database_b_union\immunebuilder_models\1bzq_L\rank0_unrefined.pdb,
1bzq_m,1bzq_M,database_b_humanized_camelid,False,False,False,False,False,True,True,11163862dbc1,True,,,,,data\vhh_database_b_union\immunebuilder_models\1bzq_M\rank0_unrefined.pdb,
1bzq_n,1bzq_N,database_b_humanized_camelid,False,False,False,False,False,True,True,11163862dbc1,True,,,,,data\vhh_database_b_union\immunebuilder_models\1bzq_N\rank0_unrefined.pdb,
1f2x_k,1f2x_K,database_b_humanized_camelid,False,False,False,False,False,True,True,ef439bacbd7f,True,,,,,data\vhh_database_b_union\immunebuilder_models\1f2x_K\rank0_unrefined.pdb,
1f2x_l,1f2x_L,database_b_humanized_camelid,False,False,False,False,False,True,True,28d991ed17a7,True,,,,,data\vhh_database_b_union\immunebuilder_models\1f2x_L\rank0_unrefined.pdb,
1kxq_e,1kxq_E,database_b_humanized_camelid,False,False,False,False,False,True,True,645d7ad53ea4,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxq_E\rank0_unrefined.pdb,
1kxq_f,1kxq_F,database_b_humanized_camelid,False,False,False,False,False,True,True,645d7ad53ea4,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxq_F\rank0_unrefined.pdb,
1kxq_g,1kxq_G,database_b_humanized_camelid,False,False,False,False,False,True,True,645d7ad53ea4,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxq_G\rank0_unrefined.pdb,
1kxq_h,1kxq_H,database_b_humanized_camelid,False,False,False,False,False,True,True,645d7ad53ea4,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxq_H\rank0_unrefined.pdb,
1kxt_b,1kxt_B,database_b_humanized_camelid,False,False,False,False,False,True,True,a18d79eb2c16,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxt_B\rank0_unrefined.pdb,
1kxt_d,1kxt_D,database_b_humanized_camelid,False,False,False,False,False,True,True,a18d79eb2c16,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxt_D\rank0_unrefined.pdb,
