id	cdr	class	confidence
rituximab	H1	H1-13-3	0.88
rituximab	H2	H2-10-2	0.88
rituximab	L1	L1-11-1	0.88
rituximab	L2	L2-7-3	0.88
rituximab	L3	L3-10-1	0.75
trastuzumab	H1	H1-13-4	0.88
trastuzumab	H2	H2-10-3	0.88
trastuzumab	L1	L1-11-2	0.88
trastuzumab	L2	L2-7-3	0.88
trastuzumab	L3	L3-9-1	0.75
bevacizumab	H1	H1-13-3	0.88
bevacizumab	H2	H2-10-3	0.88
bevacizumab	L1	L1-11-3	0.88
bevacizumab	L2	L2-7-1	0.88
bevacizumab	L3	L3-9-1	0.75
adalimumab	H1	H1-13-2	0.88
adalimumab	H2	H2-10-2	0.88
adalimumab	L1	L1-11-3	0.88
adalimumab	L2	L2-7-3	0.88
adalimumab	L3	L3-10-1	0.75
cetuximab	H1	H1-13-3	0.88
cetuximab	H2	H2-10-3	0.88
cetuximab	L1	L1-11-1	0.88
cetuximab	L2	L2-7-3	0.88
cetuximab	L3	L3-9-1	0.75
